"","GEOID","B06010_001","B06010_002","B06010_003","B06010_004","B06010_005","B06010_006","B06010_007","B06010_008","B06010_009","B06010_010","B06010_011","B06010_012","B06010_013","B06010_014","B06010_015","B06010_016","B06010_017","B06010_018","B06010_019","B06010_020","B06010_021","B06010_022","B06010_023","B06010_024","B06010_025","B06010_026","B06010_027","B06010_028","B06010_029","B06010_030","B06010_031","B06010_032","B06010_033","B06010_034","B06010_035","B06010_036","B06010_037","B06010_038","B06010_039","B06010_040","B06010_041","B06010_042","B06010_043","B06010_044","B06010_045","B06010_046","B06010_047","B06010_048","B06010_049","B06010_050","B06010_051","B06010_052","B06010_053","B06010_054","B06010_055"
"Appling County, Georgia","13001",14184,2341,11843,2478,1683,2583,1936,1233,884,257,789,10104,1564,8540,2003,1166,1678,1271,930,694,199,599,2893,577,2316,462,195,537,463,303,108,58,190,19,0,19,0,0,0,19,0,0,0,0,1168,200,968,13,322,368,183,0,82,0,0
"Atkinson County, Georgia","13003",6161,941,5220,1386,868,1113,838,578,223,40,174,3997,548,3449,831,564,675,603,509,125,40,102,1271,213,1058,353,173,237,125,69,59,0,42,18,0,18,0,0,0,0,0,0,0,18,875,180,695,202,131,201,110,0,39,0,12
"Bacon County, Georgia","13005",8498,1561,6937,1637,1116,1470,1078,657,267,226,486,6106,998,5108,1217,858,1039,838,504,179,149,324,2005,480,1525,379,229,326,170,94,88,77,162,25,8,17,0,0,17,0,0,0,0,0,362,75,287,41,29,88,70,59,0,0,0
"Baker County, Georgia","13007",2740,539,2201,437,366,530,413,209,125,18,103,2229,400,1829,422,270,491,348,136,70,0,92,493,139,354,15,96,39,65,55,55,18,11,18,0,18,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Baldwin County, Georgia","13009",39217,9683,29534,7776,3467,6038,4122,3630,1955,884,1662,30475,7545,22930,5992,2740,4898,3320,2897,1390,655,1038,7062,1523,5539,1542,609,997,667,590,474,198,462,455,224,231,75,27,12,50,32,15,0,20,1225,391,834,167,91,131,85,111,76,31,142
"Banks County, Georgia","13011",14024,2129,11895,2801,1577,2299,1647,1846,728,367,630,10401,1660,8741,1987,1085,1816,1206,1414,515,203,515,3020,376,2644,754,390,414,308,346,186,131,115,70,0,70,0,30,3,0,35,2,0,0,533,93,440,60,72,66,133,51,25,33,0
"Barrow County, Georgia","13013",50472,6932,43540,9478,4842,7342,6603,7030,4327,1145,2773,27582,4034,23548,5757,2845,4075,3717,3081,2164,610,1299,18205,2091,16114,2840,1378,2536,2452,3069,1950,490,1399,412,13,399,83,17,14,64,146,29,12,34,4273,794,3479,798,602,717,370,734,184,33,41
"Bartow County, Georgia","13015",75486,12149,63337,12637,7899,10623,9655,9311,5842,2324,5046,44684,7382,37302,8523,4686,5750,5852,5773,3315,1128,2275,25988,3568,22420,3560,2664,3699,3107,3292,2360,1083,2655,345,84,261,33,21,46,75,48,22,13,3,4469,1115,3354,521,528,1128,621,198,145,100,113
"Ben Hill County, Georgia","13017",13774,2378,11396,3063,1805,2730,1528,1020,580,276,394,10176,1704,8472,2466,1370,1922,1041,694,415,246,318,2936,567,2369,473,418,658,284,302,165,30,39,0,0,0,0,0,0,0,0,0,0,0,662,107,555,124,17,150,203,24,0,0,37
"Berrien County, Georgia","13019",14789,2381,12408,3286,1920,2345,2151,1391,838,134,343,10913,1731,9182,2649,1349,1748,1532,942,609,77,276,3355,458,2897,579,498,481,559,427,229,57,67,76,0,76,6,4,57,0,9,0,0,0,445,192,253,52,69,59,60,13,0,0,0
