"","GEOID","B06001_001","B06001_002","B06001_003","B06001_004","B06001_005","B06001_006","B06001_007","B06001_008","B06001_009","B06001_010","B06001_011","B06001_012","B06001_013","B06001_014","B06001_015","B06001_016","B06001_017","B06001_018","B06001_019","B06001_020","B06001_021","B06001_022","B06001_023","B06001_024","B06001_025","B06001_026","B06001_027","B06001_028","B06001_029","B06001_030","B06001_031","B06001_032","B06001_033","B06001_034","B06001_035","B06001_036","B06001_037","B06001_038","B06001_039","B06001_040","B06001_041","B06001_042","B06001_043","B06001_044","B06001_045","B06001_046","B06001_047","B06001_048","B06001_049","B06001_050","B06001_051","B06001_052","B06001_053","B06001_054","B06001_055","B06001_056","B06001_057","B06001_058","B06001_059","B06001_060"
"Stewart County School District, Georgia","1304590",5831,305,1050,455,493,835,861,365,164,169,554,580,4705,297,924,355,402,629,678,337,103,116,433,431,1078,8,116,100,91,186,177,22,61,53,117,147,22,0,10,0,0,0,6,6,0,0,0,0,26,0,0,0,0,20,0,0,0,0,4,2
"Sumter County School District, Georgia","1304620",32865,2354,6311,4211,4078,3988,4274,1914,938,775,2111,1911,26713,2267,5824,3504,3223,2801,3157,1583,657,649,1612,1436,4712,87,335,413,555,889,889,264,217,114,486,463,156,0,45,17,0,16,54,0,0,12,0,12,1284,0,107,277,300,282,174,67,64,0,13,0
"Talbot County School District, Georgia","1304650",6920,350,1210,453,607,979,1194,657,205,209,565,491,5745,350,984,372,565,712,1018,530,189,202,402,421,1148,0,226,71,41,262,176,123,16,7,156,70,10,0,0,10,0,0,0,0,0,0,0,0,17,0,0,0,1,5,0,4,0,0,7,0
"Taliaferro County School District, Georgia","1304680",2041,100,324,184,257,247,290,87,89,90,224,149,1536,74,218,139,170,180,217,75,88,70,199,106,450,26,95,45,72,67,60,12,1,18,18,36,1,0,0,0,0,0,0,0,0,0,1,0,54,0,11,0,15,0,13,0,0,2,6,7
"Tattnall County School District, Georgia","1304770",24263,1529,3733,2822,3710,3538,3577,1424,495,596,1692,1147,17434,1428,3076,1819,2264,2280,2606,1031,322,482,1231,895,5007,92,529,587,861,893,808,348,173,67,404,245,262,9,9,73,48,28,81,14,0,0,0,0,1560,0,119,343,537,337,82,31,0,47,57,7
"Taylor County School District, Georgia","1304800",8875,554,1722,665,1167,1170,1271,560,275,246,669,576,7673,494,1590,597,959,921,1198,415,225,206,531,537,1045,60,132,68,109,191,73,145,50,40,138,39,62,0,0,0,48,14,0,0,0,0,0,0,95,0,0,0,51,44,0,0,0,0,0,0
"Telfair County School District, Georgia","1304830",16052,969,2222,1612,2310,2447,2456,1018,285,601,1126,1006,12073,915,2040,1299,1221,1468,1741,817,241,487,913,931,1983,40,174,191,361,362,345,122,25,99,189,75,35,0,8,18,9,0,0,0,0,0,0,0,1961,14,0,104,719,617,370,79,19,15,24,0
"Terrell County School District, Georgia","1304860",9647,712,1775,936,970,1202,1454,614,228,381,770,605,8223,681,1576,824,861,1056,1251,446,162,258,638,470,1166,31,177,94,53,100,138,168,66,110,132,97,18,0,0,0,12,0,6,0,0,0,0,0,240,0,22,18,44,46,59,0,0,13,0,38
"Thomas County School District, Georgia","1304890",26078,1685,4775,1909,2490,3904,4012,1837,679,864,2353,1570,17942,1503,3317,1259,1835,2585,2213,1362,493,565,1608,1202,7424,182,1423,566,568,1115,1617,460,179,287,704,323,176,0,0,0,0,98,76,2,0,0,0,0,536,0,35,84,87,106,106,13,7,12,41,45
"Thomasville City School District, Georgia","1304950",18373,1280,3532,1752,2489,1976,2700,1221,331,459,1202,1431,13295,1111,2919,1244,1768,1289,1859,848,161,381,791,924,4627,169,594,403,559,644,799,341,170,78,387,483,33,0,0,0,9,12,0,12,0,0,0,0,418,0,19,105,153,31,42,20,0,0,24,24
"Tift County School District, Georgia","1304980",39823,3049,7417,4556,5273,4950,5406,2227,682,1263,2842,2158,29084,2933,6323,3306,3224,3150,3404,1651,474,945,1992,1682,7931,116,840,839,1122,1315,1550,487,197,275,732,458,229,0,103,28,37,7,37,0,0,17,0,0,2579,0,151,383,890,478,415,89,11,26,118,18
"Toombs County School District, Georgia","1305040",16766,1242,3601,1386,2220,2245,2400,980,324,473,1159,736,12682,1161,3090,906,1289,1570,1696,765,271,365,965,604,2578,81,354,242,270,502,501,215,53,93,194,73,163,0,0,54,0,15,94,0,0,0,0,0,1343,0,157,184,661,158,109,0,0,15,0,59
"Towns County School District, Georgia","1305070",10430,376,1230,1133,928,1070,1036,604,445,653,1724,1231,5646,275,1053,893,557,600,499,306,130,244,602,487,4532,95,175,166,355,437,535,265,303,373,1103,725,40,0,2,21,0,0,2,15,0,0,0,0,212,6,0,53,16,33,0,18,12,36,19,19
"Treutlen County School District, Georgia","1305100",6835,490,1227,566,939,1061,850,468,171,166,465,432,6020,478,1142,504,763,935,680,445,136,143,410,384,724,12,85,45,152,126,124,19,35,23,55,48,45,0,0,17,24,0,0,4,0,0,0,0,46,0,0,0,0,0,46,0,0,0,0,0
"Trion City School District, Georgia","1305130",2684,380,621,181,577,245,184,175,5,46,144,126,1894,322,486,73,363,131,144,154,0,33,108,80,481,41,85,31,97,81,25,21,5,13,36,46,36,0,0,0,36,0,0,0,0,0,0,0,273,17,50,77,81,33,15,0,0,0,0,0
"Turner County School District, Georgia","1305190",9025,672,1779,842,1019,1281,1064,424,365,317,701,561,7774,595,1587,734,835,939,920,408,315,291,643,507,1059,77,186,98,132,242,144,16,39,26,45,54,32,0,0,0,0,27,0,0,0,0,5,0,160,0,6,10,52,73,0,0,11,0,8,0
"Twiggs County School District, Georgia","1305220",9385,430,1605,998,782,1349,1503,597,394,355,909,463,8230,430,1459,949,689,1016,1314,526,320,330,734,463,1061,0,146,31,50,329,178,71,56,25,175,0,11,0,0,0,0,0,11,0,0,0,0,0,83,0,0,18,43,4,0,0,18,0,0,0
"Union County School District, Georgia","1305250",21083,911,2886,1233,1776,2337,3122,1696,862,992,3189,2079,11485,800,2426,664,1064,1519,1335,556,470,439,1221,991,8895,111,460,555,590,628,1576,1124,370,515,1888,1078,245,0,0,0,39,67,112,0,0,0,27,0,458,0,0,14,83,123,99,16,22,38,53,10
"Upson County School District, Georgia","1305280",27308,1747,4893,2354,3139,3562,4119,1854,762,756,2330,1792,23023,1522,4408,2069,2425,3089,3522,1529,611,651,1821,1376,3689,218,439,139,514,446,464,314,151,105,493,406,46,0,23,8,0,13,0,2,0,0,0,0,550,7,23,138,200,14,133,9,0,0,16,10
"Valdosta City School District, Georgia","1305310",52332,3903,8785,12064,6861,5791,5302,2442,991,1116,2540,2537,33724,3473,7063,7326,3873,3209,3137,1313,689,727,1372,1542,15704,319,1519,4072,2522,1935,1854,915,260,349,1020,939,641,111,60,236,67,85,22,30,0,0,30,0,2263,0,143,430,399,562,289,184,42,40,118,56
"Vidalia City School District, Georgia","1305340",10636,1060,1866,1123,1176,1093,1429,565,223,412,795,894,8218,1052,1548,878,913,729,919,359,163,345,593,719,2054,8,278,245,137,327,436,160,41,67,189,166,53,0,40,0,0,0,0,0,0,0,13,0,311,0,0,0,126,37,74,46,19,0,0,9
"Walker County School District, Georgia","1305370",64886,4011,11590,5301,8132,9127,9435,4172,1475,2157,5373,4113,32180,2378,6195,3138,4104,4639,4347,1870,669,1009,2161,1670,31575,1626,5304,2103,3825,4091,4960,2300,798,1126,3009,2433,404,7,75,25,59,123,73,0,0,6,29,7,727,0,16,35,144,274,55,2,8,16,174,3
"Walton County School District, Georgia","1305390",77304,5662,15373,5892,9415,12070,11215,5073,1584,2246,5008,3766,52191,5406,12757,3838,6261,7304,5844,3026,1015,1322,2962,2456,21456,212,2240,1605,2308,4010,4735,1791,491,875,1934,1255,810,44,142,133,137,123,75,115,0,31,10,0,2847,0,234,316,709,633,561,141,78,18,102,55
"Ware County School District, Georgia","1305430",36006,2524,6201,3401,4696,4622,4976,2048,975,1230,2685,2648,27335,2327,4945,2751,3233,3231,3513,1465,720,965,2155,2030,7486,197,1095,553,1042,1172,1306,511,233,265,510,602,122,0,26,0,23,10,57,0,0,0,0,6,1063,0,135,97,398,209,100,72,22,0,20,10
"Warren County School District, Georgia","1305460",5936,392,1030,485,527,743,981,463,146,188,501,480,5388,389,1011,450,457,680,853,407,88,176,424,453,530,3,19,35,60,63,123,56,58,12,77,24,15,0,0,0,10,0,5,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3
"Washington County School District, Georgia","1305490",21112,1390,3744,1932,2810,2721,3285,1353,538,549,1499,1291,18045,1315,3463,1560,2223,2097,2832,1152,442,449,1323,1189,2692,75,281,313,407,563,413,191,96,100,170,83,120,0,0,28,58,15,13,6,0,0,0,0,255,0,0,31,122,46,27,4,0,0,6,19
"Wayne County School District, Georgia","1305550",29705,2064,5453,2478,3925,4234,4451,1585,697,1113,2230,1475,21512,1823,4613,1908,2553,2659,2765,1058,433,804,1682,1214,6675,241,600,437,1141,1388,1214,436,240,280,437,261,321,0,6,34,46,26,127,33,0,15,34,0,1197,0,234,99,185,161,345,58,24,14,77,0
"Webster County School District, Georgia","1305580",2727,140,542,174,232,442,392,169,60,155,255,166,2266,97,489,150,200,344,356,137,52,85,225,131,368,43,11,6,15,82,36,32,8,70,30,35,0,0,0,0,0,0,0,0,0,0,0,0,93,0,42,18,17,16,0,0,0,0,0,0
"Wheeler County School District, Georgia","1305640",7093,349,883,716,1430,940,1072,373,230,222,442,436,5992,315,815,567,1216,628,903,350,230,204,411,353,988,34,68,87,206,312,146,23,0,18,11,83,47,0,0,39,8,0,0,0,0,0,0,0,66,0,0,23,0,0,23,0,0,0,20,0
