"","GEOID","B06010_001","B06010_002","B06010_003","B06010_004","B06010_005","B06010_006","B06010_007","B06010_008","B06010_009","B06010_010","B06010_011","B06010_012","B06010_013","B06010_014","B06010_015","B06010_016","B06010_017","B06010_018","B06010_019","B06010_020","B06010_021","B06010_022","B06010_023","B06010_024","B06010_025","B06010_026","B06010_027","B06010_028","B06010_029","B06010_030","B06010_031","B06010_032","B06010_033","B06010_034","B06010_035","B06010_036","B06010_037","B06010_038","B06010_039","B06010_040","B06010_041","B06010_042","B06010_043","B06010_044","B06010_045","B06010_046","B06010_047","B06010_048","B06010_049","B06010_050","B06010_051","B06010_052","B06010_053","B06010_054","B06010_055"
"Dorchester School District 4, South Carolina","4500002",13616,2230,11386,2981,1395,2246,2085,1299,593,224,563,10256,1649,8607,2392,1197,1715,1349,941,402,180,431,3208,581,2627,558,198,523,686,312,188,44,118,40,0,40,5,0,3,18,0,0,0,14,112,0,112,26,0,5,32,46,3,0,0
"Marion School District 7, South Carolina","4500012",5047,665,4382,1125,975,873,583,405,165,24,232,3970,440,3530,981,830,661,401,293,150,24,190,685,196,489,144,78,35,86,89,15,0,42,0,0,0,0,0,0,0,0,0,0,0,392,29,363,0,67,177,96,23,0,0,0
"Abbeville County School District, South Carolina","4500690",19771,2554,17217,5105,2546,3294,2299,2072,1106,333,462,14715,1897,12818,3837,1953,2486,1748,1572,807,168,247,4633,528,4105,1185,593,697,535,460,272,165,198,99,0,99,28,0,0,0,27,27,0,17,324,129,195,55,0,111,16,13,0,0,0
"Aiken County School District, South Carolina","4500720",129306,18478,110828,25084,12533,19393,14743,15261,9756,3276,10782,54667,9063,45604,11304,5663,8855,6579,6080,3287,1177,2659,68023,8498,59525,12703,6120,9083,7495,8533,6099,1901,7591,1489,112,1377,256,109,216,177,226,151,53,189,5127,805,4322,821,641,1239,492,422,219,145,343
"Allendale County School District, South Carolina","4500750",8660,2704,5956,1844,956,1166,578,706,441,85,180,6931,2152,4779,1586,843,898,454,517,262,85,134,1577,508,1069,258,87,220,93,186,179,0,46,33,22,11,0,0,11,0,0,0,0,0,119,22,97,0,26,37,31,3,0,0,0
"Anderson School District 1, South Carolina","4500780",38156,5107,33049,6577,3984,5925,4815,4832,3150,1145,2621,25063,3401,21662,4681,2703,3741,3289,3223,2022,642,1361,11657,1356,10301,1741,1171,1691,1394,1586,1041,495,1182,366,80,286,15,37,115,67,8,36,0,8,1070,270,800,140,73,378,65,15,51,8,70
"Anderson School District 2, South Carolina","4500810",18367,2315,16052,3329,2744,3215,2011,2371,1340,316,726,13818,1781,12037,2633,2122,2561,1516,1662,932,182,429,4117,427,3690,602,540,598,471,674,408,134,263,127,0,127,47,23,0,24,17,0,0,16,305,107,198,47,59,56,0,18,0,0,18
"Anderson School District 3, South Carolina","4500840",11755,1663,10092,2661,1589,2350,1264,1183,593,150,302,8530,1368,7162,1852,1210,1739,865,814,397,90,195,3018,287,2731,714,379,580,344,369,196,51,98,54,0,54,0,0,11,43,0,0,0,0,153,8,145,95,0,20,12,0,0,9,9
"Anderson School District 4, South Carolina","4500870",16356,1609,14747,3252,1775,2443,2288,2038,1282,434,1235,9282,952,8330,1792,1034,1487,1359,1212,746,207,493,6607,601,6006,1354,660,909,901,775,494,208,705,148,11,137,50,0,0,21,34,32,0,0,319,45,274,56,81,47,7,17,10,19,37
"Anderson School District 5, South Carolina","4500900",62448,7095,55353,13995,6904,10180,8033,7007,4127,1486,3621,39278,4984,34294,9163,4669,6332,5063,4307,2300,679,1781,19965,1770,18195,4274,1884,2902,2639,2494,1606,749,1647,381,27,354,56,29,77,47,45,33,11,56,2824,314,2510,502,322,869,284,161,188,47,137
"Bamberg School District 1, South Carolina","4500930",6613,1054,5559,1613,709,966,1011,561,405,122,172,5424,717,4707,1384,651,739,850,467,369,113,134,1096,337,759,220,38,227,118,94,36,9,17,11,0,11,0,0,0,11,0,0,0,0,82,0,82,9,20,0,32,0,0,0,21
"Bamberg School District 2, South Carolina","4500960",6484,1632,4852,1763,429,1059,489,677,171,138,126,4943,1276,3667,1170,383,823,358,596,100,117,120,1384,336,1048,513,46,199,111,81,71,21,6,29,0,29,29,0,0,0,0,0,0,0,128,20,108,51,0,37,20,0,0,0,0
"Barnwell School District 19, South Carolina","4501020",4584,914,3670,1113,500,587,736,394,198,40,102,3537,742,2795,783,403,412,682,330,113,25,47,846,172,674,168,66,175,54,56,85,15,55,5,0,5,0,5,0,0,0,0,0,0,196,0,196,162,26,0,0,8,0,0,0
"Barnwell School District 29, South Carolina","4501050",4112,776,3336,881,442,733,533,215,319,78,135,3105,564,2541,689,289,559,437,199,229,61,78,1007,212,795,192,153,174,96,16,90,17,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Barnwell School District 45, South Carolina","4501080",9280,1759,7521,1947,770,1395,1148,952,679,266,364,6809,1413,5396,1618,607,1037,817,479,485,151,202,2310,296,2014,294,127,336,331,473,176,115,162,90,19,71,35,36,0,0,0,0,0,0,71,31,40,0,0,22,0,0,18,0,0
"Beaufort County School District, South Carolina","4501110",125609,11633,113976,22004,10427,18987,15486,16993,10570,4434,15075,26367,3479,22888,6377,2568,4280,3072,2846,1781,570,1394,83466,6074,77392,13244,6148,11151,10171,12394,7950,3584,12750,1901,265,1636,267,112,344,391,227,151,54,90,13875,1815,12060,2116,1599,3212,1852,1526,688,226,841
"Berkeley County School District, South Carolina","4501170",134125,16907,117218,24291,11981,22060,17610,17909,10917,3851,8599,62147,9195,52952,12446,5969,9892,8635,7796,4430,1276,2508,60721,6017,54704,9796,4736,9871,7871,8827,5642,2408,5553,2298,421,1877,380,81,243,286,382,225,53,227,8959,1274,7685,1669,1195,2054,818,904,620,114,311
"Calhoun County School District, South Carolina","4501250",12469,1444,11025,2697,1385,1944,1541,1521,1001,339,597,9590,1207,8383,2171,1089,1403,1200,1069,746,280,425,2642,226,2416,490,283,488,341,359,233,53,169,7,0,7,0,7,0,0,0,0,0,0,230,11,219,36,6,53,0,93,22,6,3
"Charleston County School District, South Carolina","4501440",281625,32432,249193,54015,24455,41257,34968,36002,21652,7872,28972,134999,18340,116659,30973,13363,21187,16512,14977,8071,2925,8651,125361,10873,114488,20070,8677,15979,16108,18525,12197,4396,18536,3288,483,2805,469,110,479,329,617,236,118,447,17977,2736,15241,2503,2305,3612,2019,1883,1148,433,1338
"Cherokee County School District, South Carolina","4501500",42022,5861,36161,9995,4589,6937,5511,4449,2713,601,1366,29326,4170,25156,7316,3203,4684,3824,3002,1838,392,897,11059,1439,9620,2358,1255,1930,1482,1195,845,187,368,247,7,240,77,0,24,41,71,7,0,20,1390,245,1145,244,131,299,164,181,23,22,81
"Chester County School District, South Carolina","4501530",26543,4736,21807,5418,3306,4174,3378,2842,1221,449,1019,19548,3586,15962,4166,2620,3058,2540,2001,781,310,486,6513,1063,5450,1228,666,1033,741,804,414,119,445,109,19,90,0,0,16,12,35,15,0,12,373,68,305,24,20,67,85,2,11,20,76
"Chesterfield County School District, South Carolina","4501560",36516,5176,31340,8534,4431,5977,4768,4065,1876,623,1066,24180,3557,20623,5587,3131,3906,3287,2572,1104,424,612,11143,1496,9647,2747,1230,1636,1345,1358,734,187,410,65,0,65,29,0,19,17,0,0,0,0,1128,123,1005,171,70,416,119,135,38,12,44
"Clarendon School District 1, South Carolina","4501740",7957,1237,6720,2108,1176,1310,781,604,314,89,338,5807,1024,4783,1482,935,983,579,389,143,68,204,2055,171,1884,595,240,310,198,215,171,21,134,11,11,0,0,0,0,0,0,0,0,0,84,31,53,31,1,17,4,0,0,0,0
"Clarendon School District 2, South Carolina","4501770",15172,2101,13071,3552,1722,2872,1969,1614,585,263,494,10553,1666,8887,2486,1130,1929,1512,996,390,167,277,4139,413,3726,969,516,756,416,593,182,77,217,72,0,72,39,0,33,0,0,0,0,0,408,22,386,58,76,154,41,25,13,19,0
"Clarendon School District 3, South Carolina","4501800",5111,1561,3550,990,501,863,439,354,238,88,77,4538,1289,3249,900,462,785,392,341,226,88,55,495,240,255,75,31,71,44,0,12,0,22,17,17,0,0,0,0,0,0,0,0,0,61,15,46,15,8,7,3,13,0,0,0
"Colleton County School District, South Carolina","4501830",30850,4273,26577,7217,3495,5654,3755,3201,1571,552,1132,21744,3274,18470,5336,2200,3932,2587,2348,1023,319,725,8120,782,7338,1706,1139,1550,1097,733,529,206,378,210,35,175,70,37,18,14,0,0,24,12,776,182,594,105,119,154,57,120,19,3,17
"Darlington County School District, South Carolina","4501860",54660,7949,46711,11728,5915,8972,7200,6015,3190,842,2849,44060,6708,37352,9447,4701,7066,6056,4875,2559,677,1971,9366,963,8403,2134,990,1641,1087,1030,604,165,752,189,41,148,45,16,71,0,0,16,0,0,1045,237,808,102,208,194,57,110,11,0,126
"Dillon School District 1, South Carolina","4501890",3923,459,3464,973,593,771,565,243,118,111,90,3176,385,2791,739,525,625,443,201,83,103,72,693,52,641,234,46,146,112,42,35,8,18,10,0,10,0,0,0,10,0,0,0,0,44,22,22,0,22,0,0,0,0,0,0
"Dillon School District 2, South Carolina","4501920",14469,2201,12268,3594,2115,2879,1491,1218,492,94,385,11672,1887,9785,2921,1857,2086,1201,1018,390,94,218,2318,255,2063,630,249,495,290,200,102,0,97,12,0,12,12,0,0,0,0,0,0,0,467,59,408,31,9,298,0,0,0,0,70
"Dillon School District 3, South Carolina","4501950",6213,1120,5093,1876,561,997,806,459,238,86,70,5280,951,4329,1689,441,881,667,333,208,57,53,890,145,745,184,107,113,139,126,30,29,17,10,0,10,0,10,0,0,0,0,0,0,33,24,9,3,3,3,0,0,0,0,0
"Dorchester School District 2, South Carolina","4502010",87226,10212,77014,14587,6465,11979,11334,13008,8644,3256,7741,33713,4866,28847,6203,2824,5038,4568,4609,2671,920,2014,47323,4276,43047,7436,3067,5954,6178,7747,5277,2181,5207,1496,199,1297,285,45,164,135,231,275,33,129,4694,871,3823,663,529,823,453,421,421,122,391
"Edgefield County School District, South Carolina","4502070",21988,4455,17533,4466,2423,3008,2322,2205,1032,729,1348,10256,1989,8267,2350,1099,1625,970,988,482,306,447,10533,2140,8393,1848,1178,1182,1212,1183,550,406,834,142,23,119,15,30,25,12,0,0,17,20,1057,303,754,253,116,176,128,34,0,0,47
"Fairfield County School District, South Carolina","4502100",19422,3482,15940,3844,1966,3455,2376,2112,927,271,989,15727,3165,12562,3220,1720,2645,2042,1670,589,167,509,3492,285,3207,564,246,810,313,425,330,94,425,50,0,50,0,0,0,9,17,8,0,16,153,32,121,60,0,0,12,0,0,10,39
"Florence School District 1, South Carolina","4502130",76781,9023,67758,15124,8024,11891,9966,10039,5152,1968,5594,51945,6499,45446,11595,5335,8433,6694,6668,2830,1270,2621,21770,1933,19837,3267,2541,2898,2869,3036,2112,555,2559,484,71,413,59,0,102,132,62,19,14,25,2582,520,2062,203,148,458,271,273,191,129,389
"Florence School District 2, South Carolina","4502160",5499,814,4685,1075,765,1106,788,533,257,53,108,4588,692,3896,873,639,896,681,438,226,42,101,704,119,585,145,84,120,107,93,18,11,7,9,0,9,7,0,0,0,2,0,0,0,198,3,195,50,42,90,0,0,13,0,0
"Florence School District 3, South Carolina","4502190",15455,2324,13131,4071,1939,2173,2174,1516,574,289,395,13175,1974,11201,3356,1625,1938,1957,1267,471,267,320,2037,331,1706,634,304,190,217,195,72,22,72,37,2,35,8,0,13,0,0,14,0,0,206,17,189,73,10,32,0,54,17,0,3
"Florence School District 4, South Carolina","4502220",5366,845,4521,1287,606,931,702,498,330,28,139,4279,706,3573,1042,357,722,634,401,306,28,83,738,78,660,227,139,97,68,73,19,0,37,24,6,18,18,0,0,0,0,0,0,0,325,55,270,0,110,112,0,24,5,0,19
"Florence School District 5, South Carolina","4502250",4157,638,3519,1004,420,764,457,429,300,70,75,3658,555,3103,934,400,677,341,370,253,63,65,482,83,399,60,16,84,116,59,47,7,10,3,0,3,3,0,0,0,0,0,0,0,14,0,14,7,4,3,0,0,0,0,0
"Georgetown County School District, South Carolina","4502280",49335,6804,42531,10935,4818,8291,5482,4956,3281,1162,3606,28703,4622,24081,7220,3014,4958,2957,2599,1576,431,1326,18833,1789,17044,3367,1564,3039,2365,2258,1638,670,2143,211,30,181,52,0,14,60,20,0,13,22,1588,363,1225,296,240,280,100,79,67,48,115
"Greenville County School District, South Carolina","4502310",360406,44569,315837,69226,35102,56585,42496,43541,26003,10404,32480,173663,22407,151256,36744,18181,28305,21710,20478,11380,4376,10082,149182,15382,133800,26727,12571,20301,16277,20050,13005,5269,19600,4104,480,3624,798,324,662,470,604,263,105,398,33457,6300,27157,4957,4026,7317,4039,2409,1355,654,2400
"Greenwood School District 50, South Carolina","4502340",46079,5872,40207,9262,4938,7570,6612,5253,2932,928,2712,31364,3898,27466,6555,3546,5085,4255,3845,2026,599,1555,11784,1339,10445,2268,1094,1859,1870,1290,744,298,1022,295,44,251,14,31,33,75,23,46,14,15,2636,591,2045,425,267,593,412,95,116,17,120
"Greenwood School District 51, South Carolina","4502370",6093,895,5198,1445,806,1216,627,632,218,106,148,4274,645,3629,1083,576,837,428,382,152,60,111,1667,216,1451,338,214,361,159,230,66,46,37,28,0,28,0,0,0,17,11,0,0,0,124,34,90,24,16,18,23,9,0,0,0
"Greenwood School District 52, South Carolina","4502400",6209,624,5585,1527,753,928,897,642,450,120,268,4751,531,4220,1172,569,729,696,451,351,105,147,1393,93,1300,300,179,194,201,191,99,15,121,30,0,30,20,5,5,0,0,0,0,0,35,0,35,35,0,0,0,0,0,0,0
"Hampton School District 1, South Carolina","4502430",10619,1575,9044,1865,1660,1748,1390,1359,591,165,266,8086,1281,6805,1584,1241,1177,981,1034,477,123,188,2414,251,2163,281,381,554,402,325,100,42,78,11,5,6,0,0,0,0,0,6,0,0,108,38,70,0,38,17,7,0,8,0,0
"Hampton School District 2, South Carolina","4502460",6283,1496,4787,1795,440,1025,567,470,264,92,134,4086,934,3152,1163,296,708,402,251,222,49,61,1674,413,1261,514,111,237,83,180,34,29,73,68,27,41,32,0,0,0,9,0,0,0,455,122,333,86,33,80,82,30,8,14,0
"Horry County School District, South Carolina","4502490",214564,19728,194836,41448,23014,39666,29756,27903,14396,5171,13482,71562,7888,63674,16063,8300,13423,9141,7943,4036,1273,3495,125108,9086,116022,21658,12549,22255,18498,18546,9534,3686,9296,2178,352,1826,348,250,358,381,291,74,55,69,15716,2402,13314,3379,1915,3630,1736,1123,752,157,622
"Jasper County School District, South Carolina","4502520",18692,3354,15338,3704,2390,3243,1959,2297,698,274,773,10696,1930,8766,2168,1463,1880,958,1509,332,141,315,5961,993,4968,1243,821,844,536,671,311,115,427,87,17,70,0,6,51,2,0,0,0,11,1948,414,1534,293,100,468,463,117,55,18,20
