"","GEOID","B06011_001","B06011_002","B06011_003","B06011_004","B06011_005"
"Dorchester School District 4, South Carolina","4500002",20150,18381,25377,34167,34028
"Abbeville County School District, South Carolina","4500690",17345,16959,17979,39491,21518
"Aiken County School District, South Carolina","4500720",23920,21301,27406,31377,19435
"Anderson School District 1, South Carolina","4500780",25070,23962,27645,23605,20967
"Anderson School District 2, South Carolina","4500810",20616,19568,26287,14293,14397
"Anderson School District 3, South Carolina","4500840",18765,17880,20300,33430,6141
"Anderson School District 4, South Carolina","4500870",24537,23822,25749,31932,15000
"Anderson School District 5, South Carolina","4500900",21211,19978,25139,26172,17716
"Bamberg School District 2, South Carolina","4500960",16437,16953,10705,7583,20203
"Barnwell School District 45, South Carolina","4501080",21828,18821,32107,10035,22273
"Beaufort County School District, South Carolina","4501110",28217,20749,32957,27284,21165
"Berkeley County School District, South Carolina","4501170",25120,22770,28567,33673,18431
"Charleston County School District, South Carolina","4501440",26159,21140,32191,35313,21739
"Cherokee County School District, South Carolina","4501500",19438,18574,21061,27065,19681
"Chester County School District, South Carolina","4501530",19975,18209,22329,40357,26383
"Chesterfield County School District, South Carolina","4501560",19094,18692,19606,15461,20780
"Clarendon School District 2, South Carolina","4501770",17977,17858,19367,9643,16821
"Colleton County School District, South Carolina","4501830",18731,17988,20028,11182,19444
"Darlington County School District, South Carolina","4501860",21139,21243,21115,18409,19475
"Dorchester School District 2, South Carolina","4502010",30238,25640,33053,36741,22340
"Edgefield County School District, South Carolina","4502070",20304,18438,24817,16908,15294
"Fairfield County School District, South Carolina","4502100",20877,19958,24759,49853,27604
"Florence School District 1, South Carolina","4502130",23939,21784,29511,30401,31381
"Florence School District 2, South Carolina","4502160",18532,18867,20082,6607,15430
"Florence School District 3, South Carolina","4502190",17019,17657,12739,19327,16797
"Georgetown County School District, South Carolina","4502280",20976,17996,27072,27356,17514
"Greenville County School District, South Carolina","4502310",24281,21739,29224,25636,20591
"Greenwood School District 50, South Carolina","4502340",21962,21455,25007,31849,17638
"Greenwood School District 51, South Carolina","4502370",17437,16419,20601,27059,16389
"Hampton School District 2, South Carolina","4502460",16003,16104,15113,8203,19043
"Horry County School District, South Carolina","4502490",22754,20354,25759,22076,18489
"Jasper County School District, South Carolina","4502520",19995,18169,20361,21422,22191
"Kershaw County School District, South Carolina","4502550",23478,22324,26714,26625,20651
"Lancaster County School District, South Carolina","4502580",21958,20468,26086,15764,20962
"Laurens School District 55, South Carolina","4502610",20933,21220,21206,37500,13260
"Laurens School District 56, South Carolina","4502640",16732,16436,16848,26719,19340
"Lee County School District, South Carolina","4502670",15127,14780,15629,5167,22500
"Lexington School District 1, South Carolina","4502700",31322,31051,33979,29737,20246
"Lexington School District 2, South Carolina","4502730",23859,23058,28603,32647,18964
"Lexington School District 3, South Carolina","4502760",20183,20124,20269,33274,14798
"Lexington School District 4, South Carolina","4502790",23552,22864,26843,9667,20546
"Lexington School District 5, South Carolina","4502820",34366,31881,37487,40989,30394
"Marion School District 2, South Carolina","4502880",16523,16467,17028,12188,17917
"Marlboro County School District, South Carolina","4502970",15922,14949,18917,30625,11383
"McCormick County School District, South Carolina","4503000",19666,15546,25598,21375,9063
"Newberry County School District, South Carolina","4503030",22621,21134,28654,30208,23375
"Oconee County School District, South Carolina","4503060",21631,19384,25562,15625,23342
"Orangeburg School District 3, South Carolina","4503150",15690,15061,19848,4567,20435
"Orangeburg School District 4, South Carolina","4503180",20906,20678,21213,22292,23316
"Orangeburg School District 5, South Carolina","4503210",17583,17057,19213,29125,20470
"Pickens County School District, South Carolina","4503330",18711,17698,20492,21389,18058
"Richland School District 1, South Carolina","4503360",20818,19692,24667,21701,18824
"Richland School District 2, South Carolina","4503390",31305,29171,35807,29835,22799
"Saluda County School District, South Carolina","4503460",20318,21402,20096,18179,18574
"Spartanburg School District 1, South Carolina","4503480",22340,21160,27233,19449,11577
"Spartanburg School District 2, South Carolina","4503510",24445,23422,26875,32321,21467
"Spartanburg School District 3, South Carolina","4503540",17990,16902,19343,51154,26988
"Spartanburg School District 4, South Carolina","4503570",20029,18815,25528,20417,17083
"Spartanburg School District 5, South Carolina","4503600",25992,24000,31375,15568,21228
"Spartanburg School District 6, South Carolina","4503630",24055,22421,27597,21397,24540
"Spartanburg School District 7, South Carolina","4503660",18753,17616,22056,9511,21688
"Sumter School District 17, South Carolina","4503690",21410,18004,28637,22222,21515
"Sumter School District 2, South Carolina","4503720",20928,18132,27063,23611,21954
"Union County School District, South Carolina","4503750",18958,18260,22151,15242,18750
"Williamsburg County School District, South Carolina","4503780",14827,15221,13112,9512,5924
"York School District 1, South Carolina","4503810",22686,21375,24697,17026,23272
"York School District 2, South Carolina","4503840",28404,22089,30995,28846,32083
"York School District 3, South Carolina","4503870",24616,21945,28816,31579,21036
"York School District 4, South Carolina","4503900",36996,33659,38859,45313,27933
"Remainder of South Carolina, South Carolina","4599999",15299,21375,15389,12839,13862
