"","GEOID","B06012_001","B06012_002","B06012_003","B06012_004","B06012_005","B06012_006","B06012_007","B06012_008","B06012_009","B06012_010","B06012_011","B06012_012","B06012_013","B06012_014","B06012_015","B06012_016","B06012_017","B06012_018","B06012_019","B06012_020"
"Dorchester School District 4, South Carolina","4500002",15090,2913,1565,10612,11664,2383,1301,7980,3264,498,264,2502,40,5,0,35,122,27,0,95
"Marion School District 7, South Carolina","4500012",5899,1032,824,4043,4594,642,709,3243,913,323,63,527,0,0,0,0,392,67,52,273
"Abbeville County School District, South Carolina","4500690",23354,4883,3130,15341,18256,3940,2557,11759,4648,850,435,3363,99,10,0,89,351,83,138,130
"Aiken County School District, South Carolina","4500720",157441,26203,16726,114512,67626,13780,8416,45430,82535,10963,7426,64146,1744,205,63,1476,5536,1255,821,3460
"Allendale County School District, South Carolina","4500750",9060,3843,974,4243,7521,3237,873,3411,1420,536,101,783,0,0,0,0,119,70,0,49
"Anderson School District 1, South Carolina","4500780",48608,4939,4486,39183,33940,4040,3203,26697,13204,826,937,11441,370,0,20,350,1094,73,326,695
"Anderson School District 2, South Carolina","4500810",22294,3277,3192,15825,17295,2524,2759,12012,4493,555,384,3554,120,54,10,56,386,144,39,203
"Anderson School District 3, South Carolina","4500840",14823,3494,1454,9875,11371,3003,1096,7272,3245,479,358,2408,54,0,0,54,153,12,0,141
"Anderson School District 4, South Carolina","4500870",20217,2945,2374,14898,12421,1928,1390,9103,7320,957,934,5429,148,6,11,131,328,54,39,235
"Anderson School District 5, South Carolina","4500900",73906,13733,8109,52064,49142,9933,5601,33608,21365,3219,2070,16076,436,52,39,345,2963,529,399,2035
"Bamberg School District 1, South Carolina","4500930",8172,2574,663,4935,6758,1963,640,4155,1330,611,23,696,11,0,0,11,73,0,0,73
"Bamberg School District 2, South Carolina","4500960",6785,1901,728,4156,5594,1671,532,3391,1134,193,196,745,0,0,0,0,57,37,0,20
"Barnwell School District 19, South Carolina","4501020",5612,1895,493,3224,4339,1459,382,2498,1072,243,111,718,5,5,0,0,196,188,0,8
"Barnwell School District 29, South Carolina","4501050",5298,1044,1097,3157,3874,679,834,2361,1424,365,263,796,0,0,0,0,0,0,0,0
"Barnwell School District 45, South Carolina","4501080",11651,2803,1429,7419,8712,2390,1087,5235,2769,366,271,2132,99,13,71,15,71,34,0,37
"Beaufort County School District, South Carolina","4501110",147487,15549,12675,119263,43033,8001,5330,29702,88043,4933,5143,77967,1915,86,307,1522,14496,2529,1895,10072
"Berkeley County School District, South Carolina","4501170",166034,20987,16454,128593,87816,12569,9884,65363,66384,6398,4787,55199,2546,124,175,2247,9288,1896,1608,5784
"Calhoun County School District, South Carolina","4501250",15117,2389,1979,10749,12104,2053,1581,8470,2773,323,391,2059,10,0,7,3,230,13,0,217
"Charleston County School District, South Carolina","4501440",332451,54900,29070,248481,178495,36633,18560,123302,131561,14644,8062,108855,3481,433,62,2986,18914,3190,2386,13338
"Cherokee County School District, South Carolina","4501500",52464,10116,7080,35268,38280,7742,5124,25414,12400,2082,1455,8863,298,0,114,184,1486,292,387,807
"Chester County School District, South Carolina","4501530",32778,7011,4614,21153,24916,5953,3448,15515,7331,1032,1107,5192,148,0,0,148,383,26,59,298
"Chesterfield County School District, South Carolina","4501560",45730,10368,5220,30142,30124,7174,3615,19335,14307,2996,1348,9963,98,29,0,69,1201,169,257,775
"Clarendon School District 1, South Carolina","4501740",9216,2150,2400,4666,6836,1785,1889,3162,2262,331,486,1445,11,0,0,11,107,34,25,48
"Clarendon School District 2, South Carolina","4501770",18857,4130,2799,11928,13630,3265,2076,8289,4726,822,599,3305,72,0,51,21,429,43,73,313
"Clarendon School District 3, South Carolina","4501800",4990,1312,556,3122,4593,1207,508,2878,317,71,48,198,19,0,0,19,61,34,0,27
"Colleton County School District, South Carolina","4501830",38535,8227,5282,25026,28686,6516,3644,18526,8803,1541,1396,5866,210,56,0,154,836,114,242,480
"Darlington County School District, South Carolina","4501860",67312,13438,7001,46873,55912,11660,5659,38593,10118,1507,1230,7381,200,34,0,166,1082,237,112,733
"Dillon School District 1, South Carolina","4501890",5030,1620,432,2978,4184,1385,338,2461,792,191,94,507,10,0,0,10,44,44,0,0
"Dillon School District 2, South Carolina","4501920",18459,5698,3484,9277,15016,4443,2878,7695,2952,1060,536,1356,12,12,0,0,479,183,70,226
"Dillon School District 3, South Carolina","4501950",7676,2172,1201,4303,6521,1939,1047,3535,1109,209,154,746,10,0,0,10,36,24,0,12
"Dorchester School District 2, South Carolina","4502010",112603,11359,8481,92763,51804,6355,5360,40089,53881,4262,2600,47019,1833,32,38,1763,5085,710,483,3892
"Edgefield County School District, South Carolina","4502070",23775,5042,2559,16174,10953,2814,1339,6800,11935,1844,1196,8895,136,62,6,68,751,322,18,411
"Fairfield County School District, South Carolina","4502100",23547,5346,2843,15358,19593,4862,2511,12220,3751,484,323,2944,50,0,9,41,153,0,0,153
"Florence School District 1, South Carolina","4502130",91938,14114,8863,68961,65350,11688,6948,46714,23427,2189,1705,19533,461,32,39,390,2700,205,171,2324
"Florence School District 2, South Carolina","4502160",6846,1202,1215,4429,5850,1004,953,3893,789,124,216,449,9,0,0,9,198,74,46,78
"Florence School District 3, South Carolina","4502190",19800,4824,2159,12817,17129,4015,1898,11216,2377,666,242,1469,37,2,0,35,257,141,19,97
"Florence School District 4, South Carolina","4502220",6875,2379,720,3776,5575,1922,570,3083,920,341,144,435,24,18,6,0,356,98,0,258
"Florence School District 5, South Carolina","4502250",5741,1090,1314,3337,5072,1041,1088,2943,652,46,226,380,3,3,0,0,14,0,0,14
"Georgetown County School District, South Carolina","4502280",59651,11762,6314,41575,37555,9179,4411,23965,20087,1841,1682,16564,229,51,27,151,1780,691,194,895
"Greenville County School District, South Carolina","4502310",438554,62342,43035,333177,237055,38795,25526,172734,161598,16077,11653,133868,4548,675,333,3540,35353,6795,5523,23035
"Greenwood School District 50, South Carolina","4502340",56104,10341,6653,39110,40562,7680,5005,27877,12318,1958,1098,9262,339,70,0,269,2885,633,550,1702
"Greenwood School District 51, South Carolina","4502370",7676,1477,1936,4263,5379,1242,989,3148,2095,151,941,1003,28,0,0,28,174,84,6,84
"Greenwood School District 52, South Carolina","4502400",7334,538,790,6006,5761,449,655,4657,1493,34,130,1329,30,20,5,5,50,35,0,15
"Hampton School District 1, South Carolina","4502430",13400,2467,1797,9136,10640,2059,1395,7186,2641,402,374,1865,11,0,0,11,108,6,28,74
"Hampton School District 2, South Carolina","4502460",6280,1628,725,3927,4796,1199,433,3164,1210,354,233,623,57,0,24,33,217,75,35,107
"Horry County School District, South Carolina","4502490",254554,41069,26471,187014,100434,20759,12650,67025,134810,15874,11225,107711,2330,315,275,1740,16980,4121,2321,10538
"Jasper County School District, South Carolina","4502520",22078,4750,3020,14308,13323,3054,2193,8076,6590,1308,549,4733,70,0,0,70,2095,388,278,1429
"Kershaw County School District, South Carolina","4502550",59495,9221,7668,42606,40277,7200,5304,27773,16651,1579,1928,13144,751,70,89,592,1816,372,347,1097
"Lancaster County School District, South Carolina","4502580",70664,14407,7180,49077,45443,10009,5275,30159,22492,3809,1393,17290,353,17,24,312,2376,572,488,1316
"Laurens School District 55, South Carolina","4502610",37324,6608,4467,26249,27950,4582,3725,19643,8091,1363,637,6091,154,46,3,105,1129,617,102,410
"Laurens School District 56, South Carolina","4502640",18273,4438,2520,11315,14631,3751,2063,8817,3094,597,404,2093,57,7,8,42,491,83,45,363
"Lee County School District, South Carolina","4502670",17694,5294,2807,9593,15213,4819,2337,8057,2209,475,458,1276,39,0,0,39,233,0,12,221
"Lexington School District 1, South Carolina","4502700",110328,9399,7791,93138,66764,5618,4825,56321,37478,2787,2093,32598,1553,80,21,1452,4533,914,852,2767
"Lexington School District 2, South Carolina","4502730",62084,10274,5969,45841,39675,6826,4109,28740,16898,2263,1330,13305,660,63,33,564,4851,1122,497,3232
"Lexington School District 3, South Carolina","4502760",13770,2298,1202,10270,10986,1853,966,8167,2489,402,236,1851,77,0,0,77,218,43,0,175
"Lexington School District 4, South Carolina","4502790",16934,2181,2567,12186,11476,1688,1922,7866,4504,372,535,3597,106,40,19,47,848,81,91,676
"Lexington School District 5, South Carolina","4502820",89437,5695,4837,78905,47036,3646,2708,40682,37539,1853,1691,33995,1240,24,114,1102,3622,172,324,3126
"Marion School District 1, South Carolina","4502850",15319,4174,1987,9158,11850,3254,1735,6861,3229,920,252,2057,0,0,0,0,240,0,0,240
"Marion School District 2, South Carolina","4502880",11752,3065,1669,7018,9770,2416,1519,5835,1869,619,131,1119,49,30,19,0,64,0,0,64
"Marlboro County School District, South Carolina","4502970",26168,7193,3793,15182,19643,6044,2971,10628,6285,1100,804,4381,64,22,0,42,176,27,18,131
"McCormick County School District, South Carolina","4503000",8927,1625,732,6570,5467,1298,611,3558,3311,313,94,2904,50,14,20,16,99,0,7,92
"Newberry County School District, South Carolina","4503030",36049,5995,3768,26286,27227,4807,2511,19909,6709,875,384,5450,178,7,0,171,1935,306,873,756
"Oconee County School District, South Carolina","4503060",72386,12008,6273,54105,43916,8130,4000,31786,25729,3459,2034,20236,379,30,35,314,2362,389,204,1769
"Orangeburg School District 3, South Carolina","4503150",20185,6048,2519,11618,16267,5098,1953,9216,3671,897,560,2214,49,26,2,21,198,27,4,167
"Orangeburg School District 4, South Carolina","4503180",20328,4075,2858,13395,16463,3217,2369,10877,3485,730,348,2407,41,0,0,41,339,128,141,70
"Orangeburg School District 5, South Carolina","4503210",47587,12566,5649,29372,37735,10358,4363,23014,8464,1850,1244,5370,250,70,12,168,1138,288,30,820
"Pickens County School District, South Carolina","4503330",109196,18115,11442,79639,69120,11332,7649,50139,34721,5411,2893,26417,763,262,80,421,4592,1110,820,2662
"Richland School District 1, South Carolina","4503360",183526,38735,20203,124588,122028,27498,13393,81137,51156,8959,5537,36660,2685,494,170,2021,7657,1784,1103,4770
"Richland School District 2, South Carolina","4503390",115395,8748,7749,98898,57269,5180,4025,48064,46624,2344,2603,41677,2896,150,147,2599,8606,1074,974,6558
