"","GEOID","B06010_001","B06010_002","B06010_003","B06010_004","B06010_005","B06010_006","B06010_007","B06010_008","B06010_009","B06010_010","B06010_011","B06010_012","B06010_013","B06010_014","B06010_015","B06010_016","B06010_017","B06010_018","B06010_019","B06010_020","B06010_021","B06010_022","B06010_023","B06010_024","B06010_025","B06010_026","B06010_027","B06010_028","B06010_029","B06010_030","B06010_031","B06010_032","B06010_033","B06010_034","B06010_035","B06010_036","B06010_037","B06010_038","B06010_039","B06010_040","B06010_041","B06010_042","B06010_043","B06010_044","B06010_045","B06010_046","B06010_047","B06010_048","B06010_049","B06010_050","B06010_051","B06010_052","B06010_053","B06010_054","B06010_055"
"Atlantic County, New Jersey","34001",221479,25928,195551,39611,19262,31450,28162,27526,19196,7698,22646,107224,14281,92943,21530,8744,13414,12531,12605,9646,3732,10741,66466,5108,61358,10474,5799,8942,7971,9372,6782,2852,9166,7399,925,6474,1671,755,1533,957,816,318,127,297,40390,5614,34776,5936,3964,7561,6703,4733,2450,987,2442
"Bergen County, New Jersey","34003",734405,104338,630067,92313,48468,79028,66871,81520,72716,32927,156224,270337,38499,231838,41830,17121,26973,23221,31221,27789,12536,51147,202964,20845,182119,22717,12179,20165,16413,21869,19977,10098,58701,12071,1749,10322,1685,793,1652,1428,1112,1417,374,1861,249033,43245,205788,26081,18375,30238,25809,27318,23533,9919,44515
"Burlington County, New Jersey","34005",362962,43001,319961,49781,23594,42041,37196,46135,39423,16985,64806,165445,22618,142827,26565,10836,18066,16733,21201,18289,7316,23821,149425,12965,136460,17085,9501,16991,15443,19347,16752,8016,33325,7296,1181,6115,1174,337,821,709,879,777,276,1142,40796,6237,34559,4957,2920,6163,4311,4708,3605,1377,6518
"Camden County, New Jersey","34007",410487,48813,361674,68593,33324,53464,46112,51040,39793,15686,53662,187477,25407,162070,35330,15064,22235,21432,23774,17871,6300,20064,157125,13868,143257,21836,12001,20069,16936,20373,17170,7718,27154,16269,2387,13882,4255,1749,2231,2165,1588,952,214,728,49616,7151,42465,7172,4510,8929,5579,5305,3800,1454,5716
"Cape May County, New Jersey","34009",82476,6656,75820,13506,7485,11730,9995,10366,7981,3951,10806,32995,3441,29554,6138,2620,3848,4106,4015,3492,1538,3797,44485,2738,41747,6337,4307,6629,5438,6125,4097,2301,6513,985,15,970,179,159,404,70,36,69,29,24,4011,462,3549,852,399,849,381,190,323,83,472
"Cumberland County, New Jersey","34011",125076,21607,103469,21781,11573,18637,14301,14238,9878,3781,9280,75477,13472,62005,13602,6048,9825,8992,9079,6424,2455,5580,26853,3985,22868,4110,3094,3903,2922,2938,2318,1019,2564,7406,1112,6294,1649,970,1147,838,838,497,71,284,15340,3038,12302,2420,1461,3762,1549,1383,639,236,852
"Essex County, New Jersey","34013",620100,101946,518154,101954,48300,77530,64354,68845,51377,20538,85256,276351,53620,222731,50050,17894,29390,27039,30648,24415,9259,34036,137621,15703,121918,21243,10690,14829,12321,14677,12208,5285,30665,25783,3687,22096,6484,2674,3296,2661,2920,1511,780,1770,180345,28936,151409,24177,17042,30015,22333,20600,13243,5214,18785
"Gloucester County, New Jersey","34015",229549,26016,203533,36143,17289,26069,23144,29586,24444,11617,35241,118093,15502,102591,21225,8564,13148,11755,15172,12292,5352,15083,95039,8098,86941,12208,7680,10941,9594,12635,10590,5633,17660,2859,343,2516,614,153,329,324,355,232,107,402,13558,2073,11485,2096,892,1651,1471,1424,1330,525,2096
"Hudson County, New Jersey","34017",519045,83028,436017,75106,41427,69048,53161,59329,45407,19755,72784,158650,29414,129236,26036,10683,18159,14359,18282,15324,6121,20272,91239,9165,82074,8893,5431,9215,8524,11739,10359,5171,22742,24330,2847,21483,5577,3108,3308,2923,2720,1794,391,1662,244826,41602,203224,34600,22205,38366,27355,26588,17930,8072,28108
"Hunterdon County, New Jersey","34019",103710,11651,92059,14894,5756,8938,8523,10647,9851,4633,28817,59174,6761,52413,9522,3382,5234,5106,6370,5821,2654,14324,33229,3266,29963,3915,1588,2624,2423,3121,3347,1527,11418,1192,228,964,131,90,68,110,126,44,33,362,10115,1396,8719,1326,696,1012,884,1030,639,419,2713
