"","GEOID","B06009_001","B06009_002","B06009_003","B06009_004","B06009_005","B06009_006","B06009_007","B06009_008","B06009_009","B06009_010","B06009_011","B06009_012","B06009_013","B06009_014","B06009_015","B06009_016","B06009_017","B06009_018","B06009_019","B06009_020","B06009_021","B06009_022","B06009_023","B06009_024","B06009_025","B06009_026","B06009_027","B06009_028","B06009_029","B06009_030"
"Dorchester School District 4, South Carolina","4500002",11823,2873,4695,2770,1072,413,8532,2225,3479,1927,627,274,3083,590,1127,830,397,139,55,5,4,0,46,0,153,53,85,13,2,0
"Marion School District 7, South Carolina","4500012",4431,941,2083,893,362,152,3577,784,1696,672,273,152,635,56,310,221,48,0,18,0,18,0,0,0,201,101,59,0,41,0
"Abbeville County School District, South Carolina","4500690",16444,3794,5564,4744,1538,804,12209,2985,4276,3411,1040,497,3833,760,1107,1253,459,254,112,8,28,40,36,0,290,41,153,40,3,53
"Aiken County School District, South Carolina","4500720",110093,17485,35331,31411,16532,9334,47313,10019,18030,12061,4799,2404,57276,5750,16451,17992,10812,6271,1099,101,218,481,194,105,4405,1615,632,877,727,554
"Allendale County School District, South Carolina","4500750",7209,2018,2719,1503,701,268,5701,1727,2214,1033,562,165,1380,233,442,465,139,101,17,13,0,4,0,0,111,45,63,1,0,2
"Anderson School District 1, South Carolina","4500780",32088,5508,11273,9683,3830,1794,19597,3630,7518,5608,1936,905,11468,1617,3548,3715,1759,829,240,10,76,76,68,10,783,251,131,284,67,50
"Anderson School District 2, South Carolina","4500810",16206,3434,5574,5015,1383,800,11745,2737,4191,3570,857,390,4154,598,1305,1387,485,379,104,39,13,17,35,0,203,60,65,41,6,31
"Anderson School District 3, South Carolina","4500840",10187,2774,3936,2708,531,238,7204,2136,2695,1936,338,99,2798,578,1161,739,193,127,94,41,42,11,0,0,91,19,38,22,0,12
"Anderson School District 4, South Carolina","4500870",14830,2254,4436,4514,2224,1402,8742,1741,2553,2800,1182,466,5508,453,1733,1541,991,790,130,6,8,59,11,46,450,54,142,114,40,100
"Anderson School District 5, South Carolina","4500900",52420,10290,16143,15392,6913,3682,32691,7324,10888,9091,3570,1818,16632,2063,4414,5647,2892,1616,702,259,146,103,194,0,2395,644,695,551,257,248
"Bamberg School District 1, South Carolina","4500930",5758,1035,1777,1901,655,390,4343,838,1385,1233,542,345,1242,118,365,662,85,12,19,0,19,0,0,0,154,79,8,6,28,33
"Bamberg School District 2, South Carolina","4500960",4602,1213,1178,1395,587,229,3808,1099,855,1184,504,166,719,91,281,211,83,53,0,0,0,0,0,0,75,23,42,0,0,10
"Barnwell School District 19, South Carolina","4501020",3841,804,1954,785,216,82,3055,589,1690,605,131,40,646,116,242,180,66,42,0,0,0,0,0,0,140,99,22,0,19,0
"Barnwell School District 29, South Carolina","4501050",3436,881,1187,1031,226,111,2643,632,888,855,181,87,793,249,299,176,45,24,0,0,0,0,0,0,0,0,0,0,0,0
"Barnwell School District 45, South Carolina","4501080",7526,1573,2912,2075,712,254,5255,1339,2049,1202,464,201,2117,217,822,806,219,53,92,0,32,60,0,0,62,17,9,7,29,0
"Beaufort County School District, South Carolina","4501110",108682,10209,26397,31190,25011,15875,21229,3564,7599,5222,2970,1874,73326,3320,14689,22516,20035,12766,1378,83,405,454,334,102,12749,3242,3704,2998,1672,1133
"Berkeley County School District, South Carolina","4501170",111800,15641,38695,35976,14932,6556,49206,8357,19783,14384,4627,2055,52081,4358,16266,18817,8754,3886,1898,271,555,602,299,171,8615,2655,2091,2173,1252,444
"Calhoun County School District, South Carolina","4501250",10616,1796,3585,3077,1493,665,7912,1367,2929,2153,1121,342,2503,329,656,901,309,308,8,0,0,8,0,0,193,100,0,15,63,15
