"","GEOID","B06010_001","B06010_002","B06010_003","B06010_004","B06010_005","B06010_006","B06010_007","B06010_008","B06010_009","B06010_010","B06010_011","B06010_012","B06010_013","B06010_014","B06010_015","B06010_016","B06010_017","B06010_018","B06010_019","B06010_020","B06010_021","B06010_022","B06010_023","B06010_024","B06010_025","B06010_026","B06010_027","B06010_028","B06010_029","B06010_030","B06010_031","B06010_032","B06010_033","B06010_034","B06010_035","B06010_036","B06010_037","B06010_038","B06010_039","B06010_040","B06010_041","B06010_042","B06010_043","B06010_044","B06010_045","B06010_046","B06010_047","B06010_048","B06010_049","B06010_050","B06010_051","B06010_052","B06010_053","B06010_054","B06010_055"
"The Chathams School District, New Jersey","3400004",14432,2287,12145,1864,523,952,820,1146,1091,544,5205,6440,1265,5175,817,238,519,370,586,474,276,1895,5998,741,5257,842,196,255,371,348,403,200,2642,94,41,53,0,0,0,0,0,9,0,44,1900,240,1660,205,89,178,79,212,205,68,624
"Great Meadows Regional School District, New Jersey","3400008",6949,786,6163,987,470,879,591,670,761,454,1351,4652,605,4047,686,257,657,350,522,529,311,735,1608,156,1452,220,122,141,146,102,169,135,417,137,15,122,14,4,19,62,0,19,0,4,552,10,542,67,87,62,33,46,44,8,195
"Somerset Hills Regional School District, New Jersey","3400009",8955,1046,7909,1245,597,819,692,755,624,382,2795,3816,545,3271,633,178,222,311,430,195,223,1079,3251,316,2935,326,153,256,224,171,313,122,1370,167,8,159,22,29,17,44,0,21,0,26,1721,177,1544,264,237,324,113,154,95,37,320
"Absecon City School District, New Jersey","3400660",7074,608,6466,1082,604,944,1183,883,635,305,830,3733,256,3477,682,289,389,687,592,238,122,478,2194,133,2061,233,175,260,378,245,310,136,324,169,80,89,5,0,26,25,5,13,15,0,978,139,839,162,140,269,93,41,74,32,28
"Allamuchy Township School District, New Jersey","3400720",3699,267,3432,428,171,227,358,439,459,393,957,1909,172,1737,264,86,157,182,301,270,98,379,1193,43,1150,106,50,60,94,114,125,247,354,70,0,70,0,0,0,42,0,0,0,28,527,52,475,58,35,10,40,24,64,48,196
"Allenhurst Borough School District, New Jersey","3400780",443,31,412,79,32,20,38,67,59,7,110,322,24,298,57,25,16,31,50,42,4,73,107,7,100,12,7,0,7,17,17,3,37,0,0,0,0,0,0,0,0,0,0,0,14,0,14,10,0,4,0,0,0,0,0
"Alloway Township School District, New Jersey","3400810",2692,429,2263,380,164,313,286,321,286,161,352,1713,278,1435,207,145,173,188,179,207,121,215,928,151,777,159,19,140,83,142,67,40,127,10,0,10,0,0,0,0,0,0,0,10,41,0,41,14,0,0,15,0,12,0,0
"Alpha Borough School District, New Jersey","3400840",2022,186,1836,264,171,299,239,399,238,59,167,1310,135,1175,188,65,180,167,292,166,36,81,549,44,505,57,77,68,57,93,52,23,78,46,6,40,9,21,0,10,0,0,0,0,117,1,116,10,8,51,5,14,20,0,8
"Alpine Borough School District, New Jersey","3400870",1696,327,1369,168,65,123,128,147,151,48,539,439,82,357,48,30,34,46,36,46,0,117,570,107,463,73,21,43,33,48,50,11,184,27,10,17,9,0,4,0,0,4,0,0,660,128,532,38,14,42,49,63,51,37,238
"Andover Regional School District, New Jersey","3400900",5860,500,5360,1075,391,614,626,551,553,384,1166,3212,300,2912,608,203,280,330,376,301,195,619,2032,145,1887,338,143,288,253,123,190,138,414,42,6,36,14,0,10,5,0,0,0,7,574,49,525,115,45,36,38,52,62,51,126
