"","GEOID","B06009_001","B06009_002","B06009_003","B06009_004","B06009_005","B06009_006","B06009_007","B06009_008","B06009_009","B06009_010","B06009_011","B06009_012","B06009_013","B06009_014","B06009_015","B06009_016","B06009_017","B06009_018","B06009_019","B06009_020","B06009_021","B06009_022","B06009_023","B06009_024","B06009_025","B06009_026","B06009_027","B06009_028","B06009_029","B06009_030"
"Alabama","01",3166424,551030,991406,918987,448117,256884,2096436,401114,712256,596056,253750,133260,915710,105211,242974,292875,170475,104175,25848,2155,6107,8774,5756,3056,128430,42550,30069,21282,18136,16393
"Alaska","02",447543,37652,121272,165651,79441,43527,108153,13718,38705,38956,12433,4341,289081,14853,69659,111237,58453,34879,9279,446,2421,3868,1691,853,41030,8635,10487,11590,6864,3454
"Arizona","04",4149955,604136,1012503,1428213,702007,403096,874481,131888,241178,336808,115119,49488,2498433,184091,600912,931501,490777,291152,53554,5577,10816,20686,10835,5640,723487,282580,159597,139218,85276,56816
"Arkansas","05",1921039,320693,674742,545270,252579,127755,1064276,178490,403756,292776,129042,60212,744526,96445,244534,234553,110672,58322,12613,879,3849,4338,2359,1188,99624,44879,22603,13603,10506,8033
"California","06",24117317,4577493,4988559,7206710,4667570,2676985,9113122,836376,2165031,3508883,1763495,839337,5879857,460640,1101005,1934026,1407635,976551,314338,41619,57201,104851,71028,39639,8810000,3238858,1665322,1658950,1425412,821458
"Colorado","08",3328869,335459,744320,1028184,780515,440391,979083,94001,282946,335536,188294,78306,1905030,96625,367026,606291,521549,313539,49184,2985,9341,16714,13381,6763,395572,141848,85007,69643,57291,41783
"Connecticut","09",2431340,268454,677253,606544,494197,384892,1144204,93623,385850,321026,211129,132576,781427,50733,158867,184722,204528,182577,97866,36690,28094,19575,7557,5950,407843,87408,104442,81221,70983,63789
"Delaware","10",603331,74349,190866,166032,103120,68964,217095,28468,84868,59780,30007,13972,314629,28735,91577,92550,59397,42370,10565,2180,2667,3166,1619,933,61042,14966,11754,10536,12097,11689
"District of Columbia","11",417432,52036,79574,72073,93963,119786,122743,20707,41692,33024,15581,11739,218211,15497,26960,28427,63104,84223,7301,389,492,1186,2159,3075,69177,15443,10430,9436,13119,20749
"Florida","12",13127624,1860966,3915878,3915609,2207281,1227890,2673287,375237,891453,836729,388970,180898,6850644,631568,2023923,2206328,1259364,729461,450883,84364,124697,137778,69244,34800,3152810,769797,875805,734774,489703,282731
"Georgia","13",6242508,972291,1805733,1731313,1105741,627430,2905340,551877,1043268,766855,357016,186324,2493251,193962,572381,794244,594360,338304,83547,7226,18801,27580,19521,10419,760370,219226,171283,142634,134844,92383
