"","GEOID","B06010_001","B06010_002","B06010_003","B06010_004","B06010_005","B06010_006","B06010_007","B06010_008","B06010_009","B06010_010","B06010_011","B06010_012","B06010_013","B06010_014","B06010_015","B06010_016","B06010_017","B06010_018","B06010_019","B06010_020","B06010_021","B06010_022","B06010_023","B06010_024","B06010_025","B06010_026","B06010_027","B06010_028","B06010_029","B06010_030","B06010_031","B06010_032","B06010_033","B06010_034","B06010_035","B06010_036","B06010_037","B06010_038","B06010_039","B06010_040","B06010_041","B06010_042","B06010_043","B06010_044","B06010_045","B06010_046","B06010_047","B06010_048","B06010_049","B06010_050","B06010_051","B06010_052","B06010_053","B06010_054","B06010_055"
"Alabama","01",3844391,529790,3314601,789482,408158,580207,435718,429953,275029,100931,295123,2580007,360802,2219205,556375,288603,396628,296612,288266,176444,60759,155518,1077902,134088,943814,202995,98166,146727,118973,126037,88572,36287,126057,32616,4817,27799,5853,2514,3743,3632,4162,2960,1389,3546,153866,30083,123783,24259,18875,33109,16501,11488,7053,2496,10002
"Alaska","02",556204,23918,532286,113664,43025,71190,62486,71810,55983,26910,87218,167789,6919,160870,55138,15564,22200,16378,17959,13378,5487,14766,329372,13523,315849,48679,22212,38131,37556,44892,37943,19437,66999,12406,627,11779,2364,996,1480,1500,1879,1126,558,1876,46637,2849,43788,7483,4253,9379,7052,7080,3536,1428,3577
"Arizona","04",5056561,806265,4250296,849953,453042,722807,588687,619073,383391,148678,484665,1353969,315001,1038968,288315,109443,166055,142775,146819,82440,29416,73705,2813557,289187,2524370,421022,253024,405121,341202,390051,257213,103198,353539,66051,9968,56083,10997,4972,8890,8322,8305,5541,1889,7167,822984,192109,630875,129619,85603,142741,96388,73898,38197,14175,50254
"Arkansas","05",2325562,301892,2023670,472855,266170,388504,279965,265840,149598,55477,145261,1318463,169073,1149390,282488,155582,216742,158098,151634,83878,30187,70781,871130,105883,765247,170043,95647,140991,104738,102610,60321,23095,67802,15772,1697,14075,2874,1566,2374,2304,2232,1015,553,1157,120197,25239,94958,17450,13375,28397,14825,9364,4384,1642,5521
"California","06",29700084,5102251,24597833,4753776,2839399,3907222,2880658,3026334,2192373,965443,4032628,13260539,2772251,10488288,2351348,1103850,1474338,1184436,1334192,991929,439272,1608923,6326420,521698,5804722,767590,585608,813851,640878,735505,592140,284614,1384536,380076,56500,323576,55962,33970,45159,35684,42512,31699,14817,63773,9733049,1751802,7981247,1578876,1115971,1573874,1019660,914125,576605,226740,975396
"Colorado","08",4022530,449775,3572755,687108,335264,524923,463678,516074,362188,152755,530765,1342144,178711,1163433,283539,114295,177515,154030,167119,111340,41452,114143,2160740,179483,1981257,313250,168556,266216,245244,296219,220775,99389,371608,60814,7761,53053,10361,4529,7240,6844,7424,5467,2448,8740,458832,83820,375012,79958,47884,73952,57560,45312,24606,9466,36274
"Connecticut","09",2911421,319794,2591627,468793,220381,354991,301849,348526,277611,128335,491141,1451523,165075,1286448,245837,107470,174734,153042,183005,150113,67488,204759,890152,77464,812688,127006,60564,95900,82545,101009,86826,43592,215246,112643,13358,99285,28906,13092,17577,12641,10520,6464,2092,7993,457103,63897,393206,67044,39255,66780,53621,53992,34208,15163,63143
"Delaware","10",730642,85666,644976,121993,58145,98855,87486,97752,67501,29250,83994,282708,37223,245485,53587,22403,37538,34024,38816,25371,9891,23855,363946,34916,329030,56403,28620,47149,43117,50564,36183,16671,50323,13184,1481,11703,2572,1398,2080,1852,1481,884,294,1142,70804,12046,58758,9431,5724,12088,8493,6891,5063,2394,8674
"District of Columbia","11",518785,65237,453548,90576,33183,47136,42392,57918,46549,22130,113664,161378,29949,131429,38646,11786,15890,13947,18125,12103,5181,15751,269931,24180,245751,40093,15230,20602,19751,29924,28008,13249,78894,8788,780,8008,1459,329,664,465,1057,695,555,2784,78688,10328,68360,10378,5838,9980,8229,8812,5743,3145,16235
"Florida","12",15597732,2326176,13271556,2723799,1552757,2417580,1868012,1839061,1098297,414601,1357449,4037326,923268,3114058,834006,348601,527529,432523,426310,234639,84474,225976,7528923,739787,6789136,1138328,741965,1176801,949736,1017573,643028,253738,867967,532337,78642,453695,106190,60166,83252,66885,57710,32704,11795,34993,3499146,584479,2914667,645275,402025,629998,418868,337468,187926,64594,228513
