"","GEOID","B06012_001","B06012_002","B06012_003","B06012_004","B06012_005","B06012_006","B06012_007","B06012_008","B06012_009","B06012_010","B06012_011","B06012_012","B06012_013","B06012_014","B06012_015","B06012_016","B06012_017","B06012_018","B06012_019","B06012_020"
"Atlantic County, New Jersey","34001",267672,38434,22790,206448,147048,21838,12198,113012,68284,7204,4480,56600,7750,2022,1117,4611,44590,7370,4995,32225
"Bergen County, New Jersey","34003",902544,65215,46376,790953,384925,25356,17282,342287,233815,12153,8506,213156,14837,1637,863,12337,268967,26069,19725,223173
"Burlington County, New Jersey","34005",437527,24092,20050,393385,226212,13808,10358,202046,161508,6739,6578,148191,8350,729,565,7056,41457,2816,2549,36092
"Camden County, New Jersey","34007",506766,65804,35316,405646,267925,39432,18657,209836,168558,13781,9012,145765,16792,4778,2270,9744,53491,7813,5377,40301
"Cape May County, New Jersey","34009",94546,9561,6842,78143,44934,4705,2762,37467,43363,3716,3354,36293,1155,268,48,839,5094,872,678,3544
"Cumberland County, New Jersey","34011",145770,25482,15743,104545,97974,16853,9349,71772,24588,3276,2785,18527,7526,2199,1069,4258,15682,3154,2540,9988
"Essex County, New Jersey","34013",766128,127260,66565,572303,397609,76444,32007,289158,151225,17199,10427,123599,25123,6063,2658,16402,192171,27554,21473,143144
"Gloucester County, New Jersey","34015",284261,23087,14567,246607,161753,15014,8882,137857,104202,6004,4504,93694,3047,352,232,2463,15259,1717,949,12593
"Hudson County, New Jersey","34017",638010,107116,61589,469305,239061,46024,23953,169084,108153,11879,6411,89863,26215,5309,3330,17576,264581,43904,27895,192782
"Hunterdon County, New Jersey","34019",122493,4874,3722,113897,76151,2991,2572,70588,34681,1067,886,32728,1363,106,66,1191,10298,710,198,9390
"Mercer County, New Jersey","34021",349141,39020,22230,287891,184319,22591,10981,150747,80613,6249,3199,71165,9218,1567,978,6673,74991,8613,7072,59306
"Middlesex County, New Jersey","34023",792898,67441,43025,682432,369054,31189,18679,319186,154665,10199,5632,138834,18427,3026,1788,13613,250752,23027,16926,210799
"Monmouth County, New Jersey","34025",623170,43334,32735,547101,351135,24550,16876,309709,182254,9189,7311,165754,7339,828,543,5968,82442,8767,8005,65670
"Morris County, New Jersey","34027",487305,21519,19052,446734,281159,10949,9277,260933,108850,3683,2463,102704,6555,565,312,5678,90741,6322,7000,77419
"Ocean County, New Jersey","34029",571069,59342,46054,465673,374782,37989,27976,308817,143360,13957,11399,118004,9175,1964,1084,6127,43752,5432,5595,32725
"Passaic County, New Jersey","34031",494544,80715,49708,364121,259845,42921,22645,194279,64319,7362,3569,53388,28325,7164,5968,15193,142055,23268,17526,101261
"Salem County, New Jersey","34033",64725,8031,5201,51493,40947,5431,3469,32047,20237,1926,1304,17007,681,178,9,494,2860,496,419,1945
"Somerset County, New Jersey","34035",322711,16118,12520,294073,169356,8093,6257,155006,73691,2631,1973,69087,3953,169,157,3627,75711,5225,4133,66353
"Sussex County, New Jersey","34037",146338,8275,5946,132117,100014,5754,4487,89773,34240,1532,888,31820,1342,72,59,1211,10742,917,512,9313
"Union County, New Jersey","34039",533443,57591,38832,437020,268144,28926,16961,222257,94999,7599,4472,82928,13234,2008,1468,9758,157066,19058,15931,122077
"Warren County, New Jersey","34041",106424,8272,5956,92196,69466,5607,3604,60255,26122,1512,1420,23190,1169,48,128,993,9667,1105,804,7758
