"","GEOID","B06011_001","B06011_002","B06011_003","B06011_004","B06011_005"
"Alabama","01",22436,21317,26328,26116,21165
"Alaska","02",31103,19259,40258,28658,25977
"Arizona","04",25434,21309,28989,27402,21243
"Arkansas","05",21489,20650,23026,29577,20901
"California","06",26353,25821,36209,31378,22285
"Colorado","08",30070,25050,33928,32066,23184
"Connecticut","09",31744,31425,38768,19013,27259
"Delaware","10",28900,26695,31453,26493,25981
"District of Columbia","11",40397,20469,52199,51809,31349
"Florida","12",23749,21186,27092,21310,21025
"Georgia","13",24979,21330,30969,28952,22310
"Hawaii","15",30304,29844,34749,30601,25538
"Idaho","16",23201,22239,24364,26148,21505
"Illinois","17",27805,27455,32212,22375,25234
"Indiana","18",24954,25065,25376,25534,21897
"Iowa","19",27308,28157,26335,27023,25105
"Kansas","20",26540,26174,28690,27872,22169
"Kentucky","21",22472,21815,24698,25600,22166
"Louisiana","22",23601,22415,27246,25108,23785
"Maine","23",24049,22289,26870,28692,21778
"Maryland","24",35315,29020,44993,40539,31651
"Massachusetts","25",31349,30925,39867,17292,28285
"Michigan","26",24696,24414,25703,22782,24647
"Minnesota","27",30478,30487,32261,25602,24569
"Mississippi","28",20727,19345,24316,26409,20819
"Missouri","29",24840,24275,25952,25321,23366
"Montana","30",23787,23459,24227,22643,21971
"Nebraska","31",26633,26564,28619,30516,22876
"Nevada","32",26429,21522,28412,28167,24985
"New Hampshire","33",30781,25678,34873,31791,27328
"New Jersey","34",31947,31245,40170,21363,29154
"New Mexico","35",22820,20426,27651,30500,17711
"New York","36",28681,30075,34944,17683,25024
"North Carolina","37",24240,21486,29627,27138,21355
"North Dakota","38",29921,30566,29606,27488,18550
"Ohio","39",25209,25089,25886,23936,24168
"Oklahoma","40",24227,23815,25467,27290,21560
"Oregon","41",24794,23631,26506,23250,21612
"Pennsylvania","42",26410,26230,29479,17999,23701
"Rhode Island","44",27358,27813,31706,14977,21219
"South Carolina","45",23034,20868,27364,29240,21962
"South Dakota","46",25803,26001,25895,24766,20516
"Tennessee","47",22761,21315,26413,26887,20704
"Texas","48",25765,24573,32805,30671,21564
"Utah","49",25454,24857,27508,23779,22182
"Vermont","50",26334,24919,28932,25549,23661
"Virginia","51",30554,23794,40149,37391,30276
"Washington","53",29770,27554,32409,32317,24864
"West Virginia","54",21648,21610,21814,25064,20177
"Wisconsin","55",26857,27183,27113,21816,22441
"Wyoming","56",29697,27652,31076,32425,18402
