"","GEOID","B06009_001","B06009_002","B06009_003","B06009_004","B06009_005","B06009_006","B06009_007","B06009_008","B06009_009","B06009_010","B06009_011","B06009_012","B06009_013","B06009_014","B06009_015","B06009_016","B06009_017","B06009_018","B06009_019","B06009_020","B06009_021","B06009_022","B06009_023","B06009_024","B06009_025","B06009_026","B06009_027","B06009_028","B06009_029","B06009_030"
"Appling County, Georgia","13001",12194,2970,5189,2460,998,577,8847,2066,3769,1937,638,437,2625,488,1214,518,309,96,52,15,20,5,12,0,670,401,186,0,39,44
"Atkinson County, Georgia","13003",5180,1703,2025,1051,265,136,3260,756,1545,723,175,61,1035,324,340,240,63,68,32,22,3,0,0,7,853,601,137,88,27,0
"Bacon County, Georgia","13005",7299,1882,2922,1610,543,342,5103,1229,2316,1072,222,264,1717,333,529,503,274,78,1,0,1,0,0,0,478,320,76,35,47,0
"Baker County, Georgia","13007",2264,461,971,584,152,96,1914,408,846,431,147,82,318,53,108,138,5,14,19,0,17,2,0,0,13,0,0,13,0,0
"Baldwin County, Georgia","13009",27826,4864,10649,7223,2728,2362,21160,4089,8768,5323,1610,1370,5551,479,1638,1696,911,827,159,36,37,23,39,24,956,260,206,181,168,141
"Banks County, Georgia","13011",12272,2749,5292,2779,923,529,8498,1842,3939,1784,573,360,3168,604,1164,944,292,164,67,7,40,11,9,0,539,296,149,40,49,5
"Barrow County, Georgia","13013",45470,8066,15900,13940,5329,2235,23748,4827,8762,6916,2288,955,17220,1530,6023,5974,2574,1119,410,41,107,195,42,25,4092,1668,1008,855,425,136
"Bartow County, Georgia","13015",65807,12318,24806,17300,7290,4093,37140,7876,15672,8425,3303,1864,24172,2437,8056,8306,3386,1987,607,146,157,105,90,109,3888,1859,921,464,511,133
"Ben Hill County, Georgia","13017",11270,2405,4396,3250,842,377,8214,1764,3255,2315,573,307,2597,483,1086,765,193,70,4,0,4,0,0,0,455,158,51,170,76,0
"Berrien County, Georgia","13019",12776,2635,4645,3841,1019,636,8678,1990,3001,2554,766,367,3694,503,1537,1179,206,269,91,0,36,39,16,0,313,142,71,69,31,0
"Bibb County, Georgia","13021",99332,17171,32448,26453,14438,8822,71617,13963,25699,18717,8385,4853,22303,2126,5744,6551,4679,3203,605,16,130,198,131,130,4807,1066,875,987,1243,636
"Bleckley County, Georgia","13023",7870,1439,3407,1828,594,602,6239,1256,2797,1308,485,393,1514,156,582,489,109,178,19,0,0,11,0,8,98,27,28,20,0,23
"Brantley County, Georgia","13025",12140,2776,5384,3147,449,384,8312,1977,4100,1674,283,278,3636,770,1215,1395,158,98,74,0,16,50,0,8,118,29,53,28,8,0
"Brooks County, Georgia","13027",10780,2461,3993,3133,862,331,7007,1699,2746,2002,375,185,3274,573,1073,1063,424,141,29,0,12,17,0,0,470,189,162,51,63,5
"Bryan County, Georgia","13029",20383,2196,5489,6101,4362,2235,9073,1428,3429,2514,1124,578,9683,703,1748,3143,2623,1466,355,4,108,94,143,6,1272,61,204,350,472,185
"Bulloch County, Georgia","13031",37821,5183,11487,10572,6317,4262,24067,3496,8022,6811,3854,1884,11294,1019,3047,3312,2010,1906,324,14,37,102,147,24,2136,654,381,347,306,448
"Burke County, Georgia","13033",14591,3320,5836,3969,893,573,10862,2791,4354,2781,533,403,3259,430,1289,1077,313,150,242,26,115,55,32,14,228,73,78,56,15,6
"Butts County, Georgia","13035",15937,3937,6576,3879,1044,501,11287,2989,4740,2585,641,332,4053,745,1719,1191,309,89,111,10,20,30,0,51,486,193,97,73,94,29
"Calhoun County, Georgia","13037",4489,1422,1663,981,269,154,3260,973,1263,734,164,126,920,254,348,190,100,28,29,13,1,15,0,0,280,182,51,42,5,0
"Camden County, Georgia","13039",31155,2762,9646,12150,4073,2524,8745,1307,3045,2883,926,584,20413,1223,6271,8378,2908,1633,799,34,79,539,73,74,1198,198,251,350,166,233
"Candler County, Georgia","13043",7154,1664,2827,1586,756,321,4994,1150,1996,1039,583,226,1614,311,700,421,104,78,31,15,0,0,16,0,515,188,131,126,53,17
"Carroll County, Georgia","13045",68808,13663,24555,17970,7834,4786,41711,9194,15748,10366,4121,2282,22437,2835,7404,6683,3398,2117,718,65,144,301,112,96,3942,1569,1259,620,203,291
"Catoosa County, Georgia","13047",43846,7297,13585,14862,5384,2718,13927,2835,4528,4575,1254,735,28268,4189,8624,9817,3950,1688,421,16,125,167,19,94,1230,257,308,303,161,201
"Charlton County, Georgia","13049",9174,2234,3742,2155,636,407,4077,858,1887,809,345,178,4000,716,1686,1201,210,187,135,0,3,24,69,39,962,660,166,121,12,3
"Chatham County, Georgia","13051",179025,20294,47053,53900,36311,21467,89110,11938,28891,27003,13888,7390,72305,4382,14663,22593,19077,11590,2779,196,466,1051,731,335,14831,3778,3033,3253,2615,2152
"Chattahoochee County, Georgia","13053",5295,371,1384,1874,1228,438,1111,145,549,329,73,15,3316,155,646,1309,909,297,251,0,80,117,46,8,617,71,109,119,200,118
"Chattooga County, Georgia","13055",17655,5635,6758,3769,1020,473,12930,3981,5355,2660,594,340,4091,1236,1338,1070,339,108,28,0,13,6,9,0,606,418,52,33,78,25
"Cherokee County, Georgia","13057",144964,16160,35082,44022,34851,14849,49633,7503,15685,14368,8963,3114,77066,3645,14981,25964,22113,10363,2024,84,350,878,458,254,16241,4928,4066,2812,3317,1118
"Clarke County, Georgia","13059",63733,9234,14094,15331,12514,12560,32098,5021,9377,8377,5477,3846,22211,963,3146,5494,5801,6807,717,171,190,132,106,118,8707,3079,1381,1328,1130,1789
"Clay County, Georgia","13061",1968,394,907,531,54,82,1413,329,668,333,46,37,526,65,228,180,8,45,0,0,0,0,0,0,29,0,11,18,0,0
"Clayton County, Georgia","13063",160760,29204,50583,51820,19794,9359,63794,10252,23942,19907,6617,3076,61486,5790,17174,24519,9550,4453,2463,276,708,1113,317,49,33017,12886,8759,6281,3310,1781
"Clinch County, Georgia","13065",4427,1126,1785,893,344,279,3276,843,1330,653,254,196,1027,186,436,237,90,78,10,10,0,0,0,0,114,87,19,3,0,5
"Cobb County, Georgia","13067",465732,42139,90744,128843,135253,68753,117771,11507,31130,32307,29199,13628,249018,9118,39558,76209,83923,40210,7698,403,1373,2118,2690,1114,91245,21111,18683,18209,19441,13801
"Coffee County, Georgia","13069",27147,6230,10761,6807,2117,1232,19492,3945,8010,5205,1403,929,5518,1184,2135,1404,538,257,111,0,45,39,17,10,2026,1101,571,159,159,36
"Colquitt County, Georgia","13071",29275,8373,10740,6379,2420,1363,19965,4938,7909,4589,1628,901,5288,1029,1864,1445,506,444,106,19,3,2,82,0,3916,2387,964,343,204,18
"Columbia County, Georgia","13073",85824,7602,21373,27498,17674,11677,33975,3971,10382,10526,6121,2975,41248,1649,8856,14454,9666,6623,2856,266,554,1122,412,502,7745,1716,1581,1396,1475,1577
"Cook County, Georgia","13075",11210,2797,4156,2754,885,618,8096,2251,2996,1811,650,388,2572,384,987,805,183,213,47,11,0,16,3,17,495,151,173,122,49,0
"Coweta County, Georgia","13077",86002,10097,27537,25455,15209,7704,41528,6480,15822,11254,5370,2602,36914,2199,9233,12458,8552,4472,1260,128,184,348,391,209,6300,1290,2298,1395,896,421
"Crawford County, Georgia","13079",8692,1815,3464,2447,695,271,6178,1329,2633,1725,395,96,2302,443,774,696,217,172,94,0,26,24,44,0,118,43,31,2,39,3
"Crisp County, Georgia","13081",15370,3407,5325,4379,1448,811,12568,2939,4338,3609,1042,640,2438,330,906,712,333,157,19,0,19,0,0,0,345,138,62,58,73,14
"Dade County, Georgia","13083",11055,2180,3885,3197,1273,520,3312,879,1285,753,329,66,7508,1249,2579,2352,904,424,50,0,7,24,6,13,185,52,14,68,34,17
"Dawson County, Georgia","13085",15734,2342,4577,4683,3073,1059,8134,1724,2740,2108,1137,425,6959,469,1603,2453,1832,602,103,11,70,12,8,2,538,138,164,110,96,30
"Decatur County, Georgia","13087",18022,3798,6266,5242,1611,1105,11978,2698,4389,3365,813,713,5281,703,1700,1797,719,362,61,0,28,4,29,0,702,397,149,76,50,30
"DeKalb County, Georgia","13089",471344,54483,100613,126339,112848,77061,157865,18291,45299,46278,32009,15988,212929,8634,33894,61912,62593,45896,6808,572,1103,1899,1930,1304,93742,26986,20317,16250,16316,13873
"Dodge County, Georgia","13091",14496,2953,6187,3273,1194,889,11710,2370,5053,2563,975,749,2397,481,1022,605,190,99,64,16,28,0,5,15,325,86,84,105,24,26
"Dooly County, Georgia","13093",10127,2681,4397,2140,648,261,8369,2044,3848,1765,551,161,1353,361,426,374,97,95,9,0,8,1,0,0,396,276,115,0,0,5
"Dougherty County, Georgia","13095",58370,11816,16484,19661,6016,4393,41571,9447,12352,13292,3829,2651,14645,1917,3478,5884,1973,1393,386,32,100,94,71,89,1768,420,554,391,143,260
"Douglas County, Georgia","13097",85935,10556,27439,26915,13709,7316,37445,4940,14383,10957,4843,2322,38018,3217,10327,13167,7251,4056,1150,254,100,427,262,107,9322,2145,2629,2364,1353,831
"Early County, Georgia","13099",7052,1423,2733,1849,513,534,5455,1173,2133,1423,377,349,1505,234,562,415,129,165,9,0,0,0,0,9,83,16,38,11,7,11
"Echols County, Georgia","13101",2506,676,1001,640,133,56,1284,241,583,351,77,32,701,109,299,237,32,24,13,0,0,13,0,0,508,326,119,39,24,0
"Effingham County, Georgia","13103",34172,4870,12706,10467,4089,2040,19966,3320,8496,5455,1732,963,12788,1188,4020,4552,2052,976,592,93,122,262,73,42,826,269,68,198,232,59
"Elbert County, Georgia","13105",13606,2984,6524,2644,853,601,10049,2314,4910,1799,599,427,3073,458,1375,826,251,163,31,0,20,0,0,11,453,212,219,19,3,0
"Emanuel County, Georgia","13107",14751,3351,6033,3894,943,530,12033,2846,4845,3178,826,338,2421,352,1126,687,78,178,44,12,0,23,9,0,253,141,62,6,30,14
"Evans County, Georgia","13109",7009,1754,2604,1635,679,337,4799,964,1892,1169,487,287,1485,276,578,405,176,50,65,3,33,20,9,0,660,511,101,41,7,0
"Fannin County, Georgia","13111",17877,3590,6984,4672,1687,944,7851,2148,3240,1735,429,299,9701,1392,3628,2814,1226,641,79,0,30,27,22,0,246,50,86,96,10,4
