"","GEOID","B06011_001","B06011_002","B06011_003","B06011_004","B06011_005"
"Cobb County School District, Georgia","1301290",33096,26779,40060,36557,26017
"Coffee County School District, Georgia","1301350",20300,20751,19849,33011,17806
"Colquitt County School District, Georgia","1301380",18352,18780,18086,30855,16956
"Columbia County School District, Georgia","1301410",32504,27317,37361,28277,28537
"Commerce City School District, Georgia","1301440",19254,18288,21532,31364,17253
"Cook County School District, Georgia","1301470",20507,20418,22255,20515,16954
"Coweta County School District, Georgia","1301500",30742,26038,39395,44083,22305
"Crawford County School District, Georgia","1301530",22589,21296,24452,41042,48802
"Dade County School District, Georgia","1301590",20664,20439,20623,60625,26815
"Dalton City School District, Georgia","1301620",20410,19642,21219,35331,20405
"Dawson County School District, Georgia","1301650",25567,24230,30663,30250,21506
"Decatur City School District, Georgia","1301680",45026,22740,60370,32813,26614
"Decatur County School District, Georgia","1301710",21469,20278,25411,35500,22300
"DeKalb County School District, Georgia","1301740",26989,23595,34525,30073,20864
"Dodge County School District, Georgia","1301770",21489,23212,15621,8795,19474
"Dougherty School District, Georgia","1301830",19104,17445,25059,28950,19228
"Douglas County School District, Georgia","1301860",27547,25548,30982,31506,26754
"Dublin City School District, Georgia","1301870",19690,19106,22708,12411,29706
"Laurens County School District, Georgia","1301890",22150,21769,23956,25000,24289
"Effingham County School District, Georgia","1301980",30654,28693,33018,26250,35509
"Emanuel County School District, Georgia","1302040",18192,17682,19685,37639,27784
"Evans County School District, Georgia","1302070",22940,23383,24628,68173,16802
"Fannin County School District, Georgia","1302100",18717,14961,21676,33348,22886
"Fayette County School District, Georgia","1302130",35032,27800,40938,40336,31512
"Floyd County School District, Georgia","1302190",21681,21201,24122,22708,19744
"Forsyth County School District, Georgia","1302220",36203,27863,43758,37321,29751
"Franklin County School District, Georgia","1302250",19464,19297,19009,31429,21974
"Fulton County School District, Georgia","1302280",34409,26738,41436,37857,30998
"Gainesville City School District, Georgia","1302310",20934,20067,26946,25156,19724
"Gilmer County School District, Georgia","1302340",19765,18434,21446,32917,19127
"Glascock County School District, Georgia","1302370",21558,23528,13203,6250,16042
"Glynn County School District, Georgia","1302400",24627,22035,28878,30762,19864
"Gordon County School District, Georgia","1302430",22868,22598,24306,12206,21921
"Grady County School District, Georgia","1302460",18613,18303,20901,23458,16561
"Greene County School District, Georgia","1302490",20558,17172,31399,34038,32592
"Spalding County School District, Georgia","1302520",20747,19247,26015,26932,16110
"Gwinnett County School District, Georgia","1302550",29600,28537,36286,30063,23031
"Habersham County School District, Georgia","1302580",21246,20039,23486,18125,21318
"Hall County School District, Georgia","1302610",26335,25619,31910,26982,20572
"Haralson County School District, Georgia","1302670",20057,20048,19547,95476,20945
"Harris County School District, Georgia","1302700",31229,27073,36967,55563,27463
"Hart County School District, Georgia","1302730",20348,18486,22378,36316,12857
"Henry County School District, Georgia","1302820",30580,28682,34252,34063,23919
"Houston County School District, Georgia","1302880",29064,25671,35253,30083,21244
"Jackson County School District, Georgia","1302940",27023,25646,31417,17795,23706
"Jefferson County School District, Georgia","1303060",15721,15416,17221,47857,16055
"Jones County School District, Georgia","1303150",27630,26633,33462,70492,31250
"Lamar County School District, Georgia","1303210",20818,19619,29750,31688,30379
"Lanier County School District, Georgia","1303240",19695,18297,26684,15921,16964
"Lee County School District, Georgia","1303270",32138,30308,37380,28207,19534
"Liberty County School District, Georgia","1303300",26415,21887,30442,22868,23617
"Lincoln County School District, Georgia","1303330",21261,20641,22949,40521,18214
"Long County School District, Georgia","1303360",23369,26642,21085,28750,16912
"Lowndes County School District, Georgia","1303390",22875,21504,26824,17460,17410
"Lumpkin County School District, Georgia","1303420",20003,18309,24053,26397,18762
"Madison County School District, Georgia","1303480",23672,23215,25570,26518,23782
"Marietta City School District, Georgia","1303510",22677,22972,28642,14623,16957
"Marion County School District, Georgia","1303540",21820,21207,21781,28194,26618
"Mcduffie County School District, Georgia","1303570",20649,19191,29940,25385,23250
"Mcintosh County School District, Georgia","1303600",24586,23899,25187,12292,36058
"Meriwether County School District, Georgia","1303630",20054,19175,22234,21742,23958
"Monroe County School District, Georgia","1303720",22394,21147,30918,53077,19953
"Montgomery County School District, Georgia","1303750",19661,19589,19211,40179,20966
"Morgan County School District, Georgia","1303780",24583,21870,30747,59563,21875
"Murray County School District, Georgia","1303840",20234,19437,20120,16974,25110
"Muscogee County School District, Georgia","1303870",22537,20128,26424,25129,21755
"Newton County School District, Georgia","1303930",24506,22442,28487,42586,21657
"Oconee County School District, Georgia","1303960",33430,27407,43298,40991,40592
"Oglethorpe County School District, Georgia","1303990",24009,21970,31341,24315,19141
"Paulding County School District, Georgia","1304020",30698,27844,34806,26818,28046
"Peach County School District, Georgia","1304050",22349,21139,31084,25565,18675
"Pickens County School District, Georgia","1304110",23992,22252,27158,70673,20737
"Pierce County School District, Georgia","1304140",22221,23162,20939,20662,19909
"Pike County School District, Georgia","1304170",25173,22192,31481,25972,31917
"Polk County School District, Georgia","1304200",21635,21498,21773,39531,22349
"Pulaski County School District, Georgia","1304220",22681,22980,21672,16500,25169
"Putnam County School District, Georgia","1304260",21615,21388,24869,50227,16592
