"","GEOID","B06009_001","B06009_002","B06009_003","B06009_004","B06009_005","B06009_006","B06009_007","B06009_008","B06009_009","B06009_010","B06009_011","B06009_012","B06009_013","B06009_014","B06009_015","B06009_016","B06009_017","B06009_018","B06009_019","B06009_020","B06009_021","B06009_022","B06009_023","B06009_024","B06009_025","B06009_026","B06009_027","B06009_028","B06009_029","B06009_030"
"Atlantic County, New Jersey","34001",186811,28549,62303,50451,30807,14701,83689,8887,31772,23790,13531,5709,58543,5817,18576,17346,10792,6012,6016,1996,2169,1188,495,168,38563,11849,9786,8127,5989,2812
"Bergen County, New Jersey","34003",645635,54837,161206,131705,186323,111564,209357,11628,61343,48870,57596,29920,177752,6547,36802,37026,55820,41557,11943,2553,3171,2307,2262,1650,246583,34109,59890,43502,70645,38437
"Burlington County, New Jersey","34005",310466,23738,92596,84400,71151,38581,131130,8926,44973,36105,28505,12621,135157,7720,36488,39096,32793,19060,6571,1001,1844,1845,1136,745,37608,6091,9291,7354,8717,6155
"Camden County, New Jersey","34007",345007,42801,109195,90679,66021,36311,148581,15330,53050,42851,26312,11038,134993,11795,39671,35846,29355,18326,14166,5505,4595,2797,802,467,47267,10171,11879,9185,9552,6480
"Cape May County, New Jersey","34009",70767,7687,24824,17580,13352,7324,27311,2595,10157,7090,5357,2112,38177,3691,13148,9453,7278,4607,931,194,378,199,84,76,4348,1207,1141,838,633,529
"Cumberland County, New Jersey","34011",105379,24703,41327,24829,10381,4139,61825,10463,26552,16153,6392,2265,22275,4052,8520,5915,2592,1196,7508,3522,2426,1286,230,44,13771,6666,3829,1475,1167,634
"Essex County, New Jersey","34013",521435,84314,150109,118398,102264,66350,209298,22067,67815,55011,42563,21842,117673,12397,27059,24214,28755,25248,21028,8210,6025,3747,2011,1035,173436,41640,49210,35426,28935,18225
"Gloucester County, New Jersey","34015",194518,16682,67015,55011,38272,17538,94224,6881,34977,27334,18278,6754,84567,6689,28160,24209,16641,8868,2770,561,817,805,339,248,12957,2551,3061,2663,3014,1668
"Hudson County, New Jersey","34017",458523,80429,120542,88873,106680,61999,117515,12540,38475,26154,28378,11968,80621,6005,14379,16877,27687,15673,21854,8010,6726,3688,2175,1255,238533,53874,60962,42154,48440,33103
"Hunterdon County, New Jersey","34019",88600,5061,20071,20711,25304,17453,48078,2362,13152,11923,13484,7157,29946,1031,5173,6610,9337,7795,1174,262,146,249,203,314,9402,1406,1600,1929,2280,2187
"Mercer County, New Jersey","34021",246366,31261,63099,53970,51014,47022,105706,9620,34151,29538,20519,11878,66883,4971,12623,13300,17263,18726,7265,2007,2536,1460,784,478,66512,14663,13789,9672,12448,15940
"Middlesex County, New Jersey","34023",556508,62374,147132,120636,135884,90482,194435,12626,70164,52471,41044,18130,121870,7444,31878,32282,29111,21155,14778,4602,4842,2585,1716,1033,225425,37702,40248,33298,64013,50164
"Monmouth County, New Jersey","34025",433770,32302,111761,107458,112828,69421,203094,10437,58305,53614,53765,26973,151721,6782,33853,38734,42890,29462,6241,1087,1992,1417,1090,655,72714,13996,17611,13693,15083,12331
"Morris County, New Jersey","34027",344510,22000,78380,69957,102419,71754,164766,6387,43271,38371,50149,26588,92356,2783,14703,17696,31093,26081,5377,948,1327,1270,1100,732,82011,11882,19079,12620,20077,18353
"Ocean County, New Jersey","34029",401092,39369,147126,108981,71069,34547,231639,17256,92385,63787,41453,16758,121802,9221,41426,34887,22047,14221,6703,1526,2016,1678,1021,462,40948,11366,11299,8629,6548,3106
"Passaic County, New Jersey","34031",329324,57702,113961,71280,56658,29723,132607,11994,49116,32577,26637,12283,51215,4722,14129,12812,11669,7883,21138,9187,6376,3246,1787,542,124364,31799,44340,22645,16565,9015
"Salem County, New Jersey","34033",45104,6415,17174,12298,6571,2646,27045,3506,11416,7332,3605,1186,14585,1605,4760,4358,2556,1306,607,175,163,155,111,3,2867,1129,835,453,299,151
"Somerset County, New Jersey","34035",226069,14675,49155,44588,65150,52501,92426,4125,23016,22268,27496,15521,61333,2293,10647,11910,19577,16906,3075,602,729,508,894,342,69235,7655,14763,9902,17183,19732
"Sussex County, New Jersey","34037",101946,6607,31549,30047,22901,10842,62941,4033,21725,18989,12990,5204,27758,1080,6768,8261,7674,3975,1185,177,372,389,152,95,10062,1317,2684,2408,2085,1568
"Union County, New Jersey","34039",366201,53608,108644,85758,72495,45696,141522,9032,46327,37132,32100,16931,73199,4886,15537,16760,20015,16001,10579,2816,3662,2255,1265,581,140901,36874,43118,29611,19115,12183
"Warren County, New Jersey","34041",74590,7384,26098,19108,14469,7531,44097,4102,17233,11136,8089,3537,20926,1173,6289,5721,4663,3080,1027,168,356,281,130,92,8540,1941,2220,1970,1587,822
