"","GEOID","B06012_001","B06012_002","B06012_003","B06012_004","B06012_005","B06012_006","B06012_007","B06012_008","B06012_009","B06012_010","B06012_011","B06012_012","B06012_013","B06012_014","B06012_015","B06012_016","B06012_017","B06012_018","B06012_019","B06012_020"
"Abbeville County, South Carolina","45001",24288,5618,2863,15807,19103,4491,2207,12405,4788,941,651,3196,125,26,5,94,272,160,0,112
"Aiken County, South Carolina","45003",160233,29425,16187,114621,65440,15040,7085,43315,87120,12800,8141,66179,1775,310,355,1110,5898,1275,606,4017
"Allendale County, South Carolina","45005",8917,2897,1476,4544,7430,2583,1258,3589,1298,303,199,796,32,0,0,32,157,11,19,127
"Anderson County, South Carolina","45007",187183,31366,23357,132460,130520,23602,16601,90317,50760,6816,5561,38383,1403,266,145,992,4500,682,1050,2768
"Bamberg County, South Carolina","45009",14661,4098,1517,9046,11896,3288,1246,7362,2474,790,239,1445,38,0,0,38,253,20,32,201
"Barnwell County, South Carolina","45011",21984,6307,2717,12960,17054,5184,2033,9837,4505,1010,652,2843,136,0,0,136,289,113,32,144
"Beaufort County, South Carolina","45013",162262,20104,14234,127924,46105,9295,5522,31288,97615,8064,5791,83760,2419,208,312,1899,16123,2537,2609,10977
"Berkeley County, South Carolina","45015",184988,26767,17953,140268,97586,16978,10630,69978,74359,7507,5914,60938,2731,251,234,2246,10312,2031,1175,7106
"Calhoun County, South Carolina","45017",14918,2794,2099,10025,11494,2273,1833,7388,2996,456,232,2308,41,0,6,35,387,65,28,294
"Charleston County, South Carolina","45019",353845,63899,31194,258752,186812,40172,19658,126982,144251,19591,8281,116379,4436,793,478,3165,18346,3343,2777,12226
"Cherokee County, South Carolina","45021",54803,12887,7367,34549,39184,9999,5266,23919,14117,2474,1799,9844,313,10,52,251,1189,404,250,535
"Chester County, South Carolina","45023",32339,8166,4119,20054,24538,6848,3249,14441,7450,1251,830,5369,52,13,4,35,299,54,36,209
"Chesterfield County, South Carolina","45025",45665,12256,6600,26809,30381,8198,4484,17699,14212,3545,2044,8623,55,26,0,29,1017,487,72,458
"Clarendon County, South Carolina","45027",32664,8534,5029,19101,25074,6923,4039,14112,6967,1332,872,4763,95,8,15,72,528,271,103,154
"Colleton County, South Carolina","45029",37740,8181,7398,22161,28746,6576,5793,16377,8019,1430,1353,5236,137,79,17,41,838,96,235,507
"Darlington County, South Carolina","45031",66750,16770,8095,41885,52941,13870,6431,32640,12126,2546,1292,8288,415,134,2,279,1268,220,370,678
"Dillon County, South Carolina","45033",30741,9714,4650,16377,24575,8219,3533,12823,5151,976,950,3225,52,0,13,39,963,519,154,290
"Dorchester County, South Carolina","45035",140470,16582,14698,109190,71173,10751,8650,51772,60104,4957,4782,50365,3089,257,313,2519,6104,617,953,4534
"Edgefield County, South Carolina","45037",23917,4328,2398,17191,11256,2060,1451,7745,11817,1885,898,9034,102,28,0,74,742,355,49,338
"Fairfield County, South Carolina","45039",23011,5623,3036,14352,18285,4791,2606,10888,4092,728,377,2987,124,35,0,89,510,69,53,388
"Florence County, South Carolina","45041",134698,27594,17121,89983,100795,21877,14039,64879,29685,5104,2315,22266,731,112,162,457,3487,501,605,2381
"Georgetown County, South Carolina","45043",59780,12601,6768,40411,36423,9891,4955,21577,21446,2203,1736,17507,441,0,22,419,1470,507,55,908
"Greenville County, South Carolina","45045",455195,71934,45029,338232,242754,44781,26680,171293,171590,19039,13176,139375,5145,839,285,4021,35706,7275,4888,23543
"Greenwood County, South Carolina","45047",67000,16391,7078,43531,49016,12281,5747,30988,14622,2650,1063,10909,677,295,15,367,2685,1165,253,1267
"Hampton County, South Carolina","45049",19197,4440,2584,12173,15328,3656,1920,9752,3600,743,625,2232,43,0,4,39,226,41,35,150
"Horry County, South Carolina","45051",280106,52879,31576,195651,108636,25105,13914,69617,150039,22216,14352,113471,2521,419,264,1838,18910,5139,3046,10725
"Jasper County, South Carolina","45053",25297,5956,4553,14788,13938,3864,2858,7216,8996,1570,1294,6132,82,0,12,70,2281,522,389,1370
"Kershaw County, South Carolina","45055",61924,11015,7196,43713,41451,8114,5124,28213,18309,2525,1763,14021,701,44,80,577,1463,332,229,902
"Lancaster County, South Carolina","45057",77724,16353,8417,52954,45381,12038,5506,27837,29189,3925,2292,22972,657,61,375,221,2497,329,244,1924
"Laurens County, South Carolina","45059",64118,13442,9786,40890,49476,10976,7854,30646,12614,1851,1698,9065,283,77,25,181,1745,538,209,998
"Lee County, South Carolina","45061",17046,4487,2825,9734,14137,3817,2444,7876,2731,660,371,1700,21,0,0,21,157,10,10,137
