"","GEOID","B06001_001","B06001_002","B06001_003","B06001_004","B06001_005","B06001_006","B06001_007","B06001_008","B06001_009","B06001_010","B06001_011","B06001_012","B06001_013","B06001_014","B06001_015","B06001_016","B06001_017","B06001_018","B06001_019","B06001_020","B06001_021","B06001_022","B06001_023","B06001_024","B06001_025","B06001_026","B06001_027","B06001_028","B06001_029","B06001_030","B06001_031","B06001_032","B06001_033","B06001_034","B06001_035","B06001_036","B06001_037","B06001_038","B06001_039","B06001_040","B06001_041","B06001_042","B06001_043","B06001_044","B06001_045","B06001_046","B06001_047","B06001_048","B06001_049","B06001_050","B06001_051","B06001_052","B06001_053","B06001_054","B06001_055","B06001_056","B06001_057","B06001_058","B06001_059","B06001_060"
"Alabama","01",4817678,299571,818347,481858,618482,610792,675347,322017,122510,169493,401417,297844,3375907,266485,656885,335866,400971,381047,431503,212792,83361,116085,276386,214526,1236164,30732,143108,122389,166571,185792,212374,97935,35705,49206,115355,76997,39130,844,4596,4966,7508,6779,7614,3297,882,819,1354,471,166477,1510,13758,18637,43432,37174,23856,7993,2562,3383,8322,5850
"Alaska","02",728300,54498,133592,79891,111054,92321,103682,51300,17763,21958,40949,21292,295844,45208,91808,40694,43761,24731,22916,9994,2995,3584,6656,3497,364896,8295,34897,32306,56008,55042,68257,35651,13309,16157,29739,15235,15880,679,3141,2342,2847,2463,2256,1310,246,235,229,132,51680,316,3746,4549,8438,10085,10253,4345,1213,1982,4325,2428
"Arizona","04",6561516,440616,1179876,656248,874746,829680,840781,394463,152778,217841,559095,415392,2519245,389145,850945,336300,322929,215513,180716,70390,25666,30118,58844,38679,3076441,43330,262911,238135,374182,400413,486442,259008,103788,157114,423809,327309,82183,2735,13565,9631,14215,13244,12753,5792,1545,2021,4324,2358,883647,5406,52455,72182,163420,200510,160870,59273,21779,28588,72118,47046
"Arkansas","05",2947036,193697,515860,287516,381975,367155,395446,189742,72269,101201,251769,190406,1806663,166092,387614,175830,217288,195824,205275,101518,41082,57703,142824,115613,985173,25567,114226,94329,126038,135724,165973,81091,28326,40342,102383,71174,19430,720,3045,2541,3573,3358,3472,1215,345,279,676,206,135770,1318,10975,14816,35076,32249,20726,5918,2516,2877,5886,3413
"California","06",38066920,2521299,6690989,3988766,5513196,5175688,5248476,2327383,845675,1137541,2553063,2064844,20706782,2361393,5781246,2921739,2888530,2005867,2010758,851193,294699,388798,724742,477817,6600428,93582,381443,348036,765433,795644,1085433,626057,256209,360168,956194,932229,469074,22377,70349,47968,70130,76106,78924,34386,10952,14196,24822,18864,10290636,43947,457951,671023,1789103,2298071,2073361,815747,283815,374379,847305,635934
"Colorado","08",5197580,337435,897262,509480,764384,710650,724166,344010,125542,170306,359148,255197,2212968,292821,642113,249983,281521,206523,208483,95166,32505,44262,90353,69238,2402164,37917,206760,203313,361326,368799,414784,214523,81892,111634,237500,163716,75245,2547,10832,8930,12882,13902,14499,5552,1560,1590,1809,1142,507203,4150,37557,47254,108655,121426,86400,28769,9585,12820,29486,21101
"Connecticut","09",3592053,194338,600747,341391,433145,459130,563772,253952,89675,124824,280541,250538,1983545,167671,452121,207826,219616,209281,268097,120876,41554,56750,123318,116435,989575,20718,105142,84408,102634,128024,181524,87739,32036,46488,105963,94899,128473,2163,15039,11060,19819,20485,23113,9695,3506,5489,10525,7579,490460,3786,28445,38097,91076,101340,91038,35642,12579,16097,40735,31625
"Delaware","10",917060,55949,148567,91658,117308,112435,131856,62616,22782,32807,81415,59667,417795,46540,102899,45192,49090,43077,49995,23195,7776,10589,22037,17405,407798,8518,39838,37762,47559,49624,67298,33928,13240,19581,52443,38007,14588,242,1541,1515,2493,2475,2840,984,391,647,892,568,76879,649,4289,7189,18166,17259,11723,4509,1375,1990,6043,3687
"District of Columbia","11",633736,38546,69443,83026,140234,87033,76294,35314,13720,18403,39650,32073,233910,30044,51450,26997,30961,24230,29403,13573,4835,5842,10521,6054,300248,7176,13129,46018,83208,40842,31758,15654,6823,9917,23645,22078,10952,225,945,1155,3281,2220,1609,665,170,273,195,214,88626,1101,3919,8856,22784,19741,13524,5422,1892,2371,5289,3727
"Florida","12",19361792,1076836,2944141,1779219,2408242,2419436,2746426,1283859,485425,699648,1896734,1621826,6912470,961068,2112112,964753,903997,626275,587413,238066,77598,97044,203263,140881,8021430,87216,557129,493605,829340,962007,1325617,708310,284963,428525,1232924,1111794,638063,11630,80978,59196,100383,106220,101667,43154,15753,22420,55662,41000,3789829,16922,193922,261665,574522,724934,731729,294329,107111,151659,404885,328151
"Georgia","13",9907756,670885,1817783,1008672,1355166,1386647,1396285,604836,218449,310797,686153,452083,5477977,594498,1343554,582787,635876,578202,608770,284537,105517,152095,343696,248445,3336867,65895,390185,318764,473809,547719,595177,255984,93195,133068,290111,172960,130166,3879,19470,16259,25933,22314,23032,8486,2012,2795,3659,2327,962746,6613,64574,90862,219548,238412,169306,55829,17725,22839,48687,28351
"Hawaii","15",1392704,90103,216486,135252,199498,175308,185369,92479,38123,48430,113698,97958,752548,75115,158995,73118,93026,77344,82492,40576,17280,21915,53547,59140,348797,11521,35932,41222,64925,47047,49767,27272,10931,14630,29795,15755,42079,1932,7454,4864,6960,6387,6302,3440,1035,1021,1419,1265,249280,1535,14105,16048,34587,44530,46808,21191,8877,10864,28937,21798
