"","GEOID","B06001_001","B06001_002","B06001_003","B06001_004","B06001_005","B06001_006","B06001_007","B06001_008","B06001_009","B06001_010","B06001_011","B06001_012","B06001_013","B06001_014","B06001_015","B06001_016","B06001_017","B06001_018","B06001_019","B06001_020","B06001_021","B06001_022","B06001_023","B06001_024","B06001_025","B06001_026","B06001_027","B06001_028","B06001_029","B06001_030","B06001_031","B06001_032","B06001_033","B06001_034","B06001_035","B06001_036","B06001_037","B06001_038","B06001_039","B06001_040","B06001_041","B06001_042","B06001_043","B06001_044","B06001_045","B06001_046","B06001_047","B06001_048","B06001_049","B06001_050","B06001_051","B06001_052","B06001_053","B06001_054","B06001_055","B06001_056","B06001_057","B06001_058","B06001_059","B06001_060"
"Abbeville County, South Carolina","45001",24997,1424,4014,2523,2294,2945,3402,1749,671,1272,2754,1949,19302,1404,3518,1807,1811,2170,2347,1325,517,883,2010,1510,5281,20,424,613,469,703,993,384,144,377,734,420,127,0,23,14,0,16,38,7,10,0,0,19,287,0,49,89,14,56,24,33,0,12,10,0
"Aiken County, South Carolina","45003",163908,9581,26905,14577,20341,19139,22675,11984,4235,6700,16431,11340,66263,5144,11675,6241,6298,7396,9144,5345,1515,2295,6365,4845,89816,4369,14816,7768,12266,9878,12245,6125,2561,4246,9344,6198,1509,24,120,185,303,371,265,51,69,17,75,29,6320,44,294,383,1474,1494,1021,463,90,142,647,268
"Allendale County, South Carolina","45005",9838,539,1487,942,1407,1189,1337,738,315,346,1023,515,8169,536,1307,769,1114,920,1162,678,270,328,697,388,1510,3,154,146,265,229,153,57,45,17,314,127,44,0,0,12,0,9,20,3,0,0,0,0,115,0,26,15,28,31,2,0,0,1,12,0
"Anderson County, South Carolina","45007",191215,11560,33224,16335,21913,24063,27362,13266,4430,7398,18487,13177,132654,10553,28017,12216,14643,15692,16302,8181,2840,4534,11210,8466,52301,773,4757,3792,5978,6992,9962,4647,1487,2699,6752,4462,1563,35,93,54,314,540,164,149,7,71,59,77,4697,199,357,273,978,839,934,289,96,94,466,172
"Bamberg County, South Carolina","45009",15432,810,2386,2360,1321,1578,2025,1253,476,513,1636,1074,12239,775,2086,1617,956,1307,1404,1102,409,406,1373,804,2887,35,300,727,247,248,573,140,67,88,246,216,63,0,0,4,35,0,24,0,0,0,0,0,243,0,0,12,83,23,24,11,0,19,17,54
"Barnwell County, South Carolina","45011",22098,1499,4089,2183,2195,2559,3063,1554,705,831,2064,1356,16904,1312,3300,1716,1629,1966,2167,1118,518,636,1506,1036,4774,187,789,385,511,473,881,402,187,178,461,320,66,0,0,0,0,39,0,27,0,0,0,0,354,0,0,82,55,81,15,7,0,17,97,0
"Beaufort County, South Carolina","45013",171420,10242,24341,16719,20559,17887,18729,10509,4363,8046,24816,15209,47178,7040,13067,4501,5188,3479,4428,2476,741,1318,2856,2084,105299,3036,9641,10400,11655,10505,11646,7114,3269,6040,20041,11952,2559,166,358,268,472,371,327,200,47,123,151,76,16384,0,1275,1550,3244,3532,2328,719,306,565,1768,1097
"Berkeley County, South Carolina","45015",193613,13493,34047,20116,28362,25626,26457,12420,4404,6046,15013,7629,101356,11139,24360,10165,12971,11063,10944,5617,2088,2670,6737,3602,78894,2159,8573,8696,12538,11989,13228,5959,2069,2858,7109,3716,2888,82,459,322,580,678,517,89,46,25,48,42,10475,113,655,933,2273,1896,1768,755,201,493,1119,269
"Calhoun County, South Carolina","45017",14958,794,2305,1145,1462,1724,2227,1183,457,747,1830,1084,11589,754,2065,997,1198,1165,1592,862,345,560,1218,833,2940,40,183,147,234,458,540,315,89,177,538,219,44,0,0,0,0,0,28,0,0,0,0,16,385,0,57,1,30,101,67,6,23,10,74,16
"Charleston County, South Carolina","45019",372904,23072,52628,39106,63394,45922,48759,24782,9703,13100,31430,21008,197310,20339,39802,20570,26517,18332,22503,11960,4735,6098,15141,11313,152397,2524,11476,16536,30694,22758,22668,11529,4403,6296,14641,8872,4547,87,391,801,897,749,931,300,123,91,115,62,18650,122,959,1199,5286,4083,2657,993,442,615,1533,761
