"","GEOID","B06011_001","B06011_002","B06011_003","B06011_004","B06011_005"
"Abbeville County, South Carolina","45001",19153,19560,17989,85703,25119
"Aiken County, South Carolina","45003",24198,21166,26765,22188,22140
"Anderson County, South Carolina","45007",23120,21699,25655,25717,25561
"Barnwell County, South Carolina","45011",19411,19050,21065,86161,19813
"Beaufort County, South Carolina","45013",27562,20057,31895,26825,21701
"Berkeley County, South Carolina","45015",26761,24001,30539,26286,23644
"Charleston County, South Carolina","45019",27885,23044,35249,27897,24880
"Cherokee County, South Carolina","45021",19377,18508,21310,29160,18485
"Chester County, South Carolina","45023",19345,17870,24638,43421,25069
"Clarendon County, South Carolina","45027",17891,16762,20687,32750,12652
"Dorchester County, South Carolina","45035",27423,23897,32245,25852,24755
"Edgefield County, South Carolina","45037",22633,21217,25666,23994,20986
"Florence County, South Carolina","45041",22296,20978,27034,27083,25744
"Georgetown County, South Carolina","45043",22219,18674,28902,26694,24562
"Greenville County, South Carolina","45045",25943,22809,31017,27390,22068
"Horry County, South Carolina","45051",22297,20034,24508,26136,19833
"Kershaw County, South Carolina","45055",24572,22475,30265,27083,21950
"Laurens County, South Carolina","45059",20387,19933,22042,30680,17759
"Lexington County, South Carolina","45063",29125,26919,32167,34902,23304
"McCormick County, South Carolina","45065",20129,17391,24964,28661,21563
"Newberry County, South Carolina","45071",23561,22576,27064,19938,24464
"Oconee County, South Carolina","45073",21999,20589,25763,15452,18941
"Orangeburg County, South Carolina","45075",19451,18858,21286,13567,21153
"Pickens County, South Carolina","45077",19524,18631,20813,25256,20096
"Richland County, South Carolina","45079",24739,22484,27434,29273,22916
"Saluda County, South Carolina","45081",22009,21858,25103,77560,19776
"Spartanburg County, South Carolina","45083",22850,21318,26675,26913,21397
"Sumter County, South Carolina","45085",22106,20130,28124,31368,17980
"York County, South Carolina","45091",28285,23436,31429,32025,27802
