"","GEOID","B06001_001","B06001_002","B06001_003","B06001_004","B06001_005","B06001_006","B06001_007","B06001_008","B06001_009","B06001_010","B06001_011","B06001_012","B06001_013","B06001_014","B06001_015","B06001_016","B06001_017","B06001_018","B06001_019","B06001_020","B06001_021","B06001_022","B06001_023","B06001_024","B06001_025","B06001_026","B06001_027","B06001_028","B06001_029","B06001_030","B06001_031","B06001_032","B06001_033","B06001_034","B06001_035","B06001_036","B06001_037","B06001_038","B06001_039","B06001_040","B06001_041","B06001_042","B06001_043","B06001_044","B06001_045","B06001_046","B06001_047","B06001_048","B06001_049","B06001_050","B06001_051","B06001_052","B06001_053","B06001_054","B06001_055","B06001_056","B06001_057","B06001_058","B06001_059","B06001_060"
"Atlantic County, New Jersey","34001",274026,16155,44500,26081,32503,32596,40736,19993,7923,10044,24862,18633,155919,14788,35620,19888,18009,15979,18802,9153,3341,4236,9037,7066,64897,1047,5147,2960,5506,6266,11191,6690,2908,3467,11057,8658,7559,107,674,493,1140,1033,1744,711,249,337,757,314,45651,213,3059,2740,7848,9318,8999,3439,1425,2004,4011,2595
"Bergen County, New Jersey","34003",930310,49495,152998,74610,108806,125282,144734,68866,24421,31987,79318,69793,402676,39780,104531,44884,42915,37191,46294,21686,8330,10349,24106,22610,230715,7593,34233,14781,22842,28326,37887,19733,6878,9343,24847,24252,14522,553,2224,969,1694,1813,2262,1044,444,590,1578,1351,282397,1569,12010,13976,41355,57952,58291,26403,8769,11705,28787,21580
"Burlington County, New Jersey","34005",450236,23525,74218,39635,54350,56598,71113,34081,11837,14962,38551,31366,236786,19591,55979,26622,30068,26095,30430,13596,4805,5378,13388,10834,162625,3461,15270,10121,16460,20579,30672,15723,5573,7508,20311,16947,9353,203,996,802,1411,1384,1841,1015,220,436,639,406,41472,270,1973,2090,6411,8540,8170,3747,1239,1640,4213,3179
"Camden County, New Jersey","34007",511145,31942,87136,44963,69792,65073,73342,36858,12381,16824,40822,32012,278993,27728,68489,30829,39333,31359,30657,14551,4677,6357,14035,10978,159928,3557,14421,9499,17251,19853,28709,16387,5695,7934,20204,16418,15938,229,1163,776,2109,2504,3221,1537,618,592,2006,1183,56286,428,3063,3859,11099,11357,10755,4383,1391,1941,4577,3433
"Cape May County, New Jersey","34009",95404,4533,12588,8017,9369,9186,13347,7263,3337,4988,12823,9953,47719,4174,9774,5114,5378,4388,6161,2959,1266,1754,4177,2574,41194,286,2256,2199,2953,3482,6303,3947,1893,3000,8056,6819,1755,73,339,223,240,237,222,79,67,124,84,67,4736,0,219,481,798,1079,661,278,111,110,506,493
"Cumberland County, New Jersey","34011",155744,10451,26575,13869,22962,20952,21215,10254,3669,4282,12118,9397,104077,9757,22848,9934,14726,12444,13472,6165,1861,2396,6178,4296,25711,424,1945,1720,2801,3176,3975,2575,1147,1044,3667,3237,9381,130,928,596,1096,1593,1487,567,415,574,1197,798,16575,140,854,1619,4339,3739,2281,947,246,268,1076,1066
"Essex County, New Jersey","34013",792586,52771,138172,74698,108049,112373,114762,50903,18559,23865,55155,43279,412996,45995,104246,48746,53264,46378,45243,19239,6520,8044,18777,16544,154994,5428,21567,10552,16481,20175,25337,12463,5291,6543,17054,14103,25780,520,2696,1943,3169,3227,4422,2606,846,1486,3179,1686,198816,828,9663,13457,35135,42593,39760,16595,5902,7792,16145,10946
"Gloucester County, New Jersey","34015",291286,16193,50804,26715,35016,37471,45004,20994,7872,10041,24115,17061,167628,14188,38334,19170,22155,19897,21564,9298,3418,4126,8931,6547,104766,1890,11490,6357,9684,13931,19737,10253,3968,4961,13150,9345,3093,9,153,122,459,446,711,262,106,217,408,200,15799,106,827,1066,2718,3197,2992,1181,380,737,1626,969
"Hudson County, New Jersey","34017",668526,46982,90665,59934,140871,104351,85184,36345,14351,18161,40803,30879,246935,36382,62136,29219,41508,24435,18929,9287,3206,4137,9259,8437,111761,7462,13306,9028,30097,18500,13216,5630,2206,2220,5653,4443,24535,617,1524,1772,2570,3170,3935,1861,1284,1337,3976,2489,285295,2521,13699,19915,66696,58246,49104,19567,7655,10467,21915,15510
"Hunterdon County, New Jersey","34019",125708,5019,21420,10934,10569,14109,23310,11622,3694,5324,11635,8072,78158,4438,17710,8384,6570,7936,13167,6272,1934,2381,5287,4079,34585,521,2900,1814,2395,3940,7163,4086,1420,2325,4953,3068,1679,50,176,110,89,299,364,245,14,84,133,115,11286,10,634,626,1515,1934,2616,1019,326,534,1262,810
