"","GEOID","B06002_001","B06002_002","B06002_003","B06002_004","B06002_005"
"Atlantic County, New Jersey","34001",40.8,28.7,55.3,48.3,44.6
"Bergen County, New Jersey","34003",41.5,27.3,47.1,45,47.3
"Burlington County, New Jersey","34005",41.3,29.9,50.4,44.3,47
"Camden County, New Jersey","34007",38.4,27.9,50.8,49.2,43.3
"Cape May County, New Jersey","34009",48.4,34,59,35,42.5
"Cumberland County, New Jersey","34011",36.7,31.4,52.1,47.7,38.1
"Essex County, New Jersey","34013",37,26.1,46.2,48.3,44.5
"Gloucester County, New Jersey","34015",39.8,30.3,50,50.7,44.9
"Hudson County, New Jersey","34017",34.7,24.1,33.5,52,41.4
"Hunterdon County, New Jersey","34019",45.5,37.8,53.3,47.1,48.5
"Mercer County, New Jersey","34021",38.5,28.8,48.2,42.9,42.1
"Middlesex County, New Jersey","34023",37.9,25,48.5,48.4,42.9
"Monmouth County, New Jersey","34025",42.6,31.9,51.3,51,45.9
"Morris County, New Jersey","34027",42.2,32.5,51.2,42.8,46.2
"Ocean County, New Jersey","34029",42.8,35.8,54.4,41.7,47.3
"Passaic County, New Jersey","34031",36.5,25,48.4,48.2,45.3
"Salem County, New Jersey","34033",41.8,39.7,44.6,42.3,42.5
"Somerset County, New Jersey","34035",41.1,29,50.7,46.5,45.2
"Sussex County, New Jersey","34037",43.8,38.3,52,54.5,49
"Union County, New Jersey","34039",38.2,26.4,47.2,45.3,44.5
"Warren County, New Jersey","34041",43.1,39.7,48.4,49.8,44.9
