"","GEOID","B06001_001","B06001_002","B06001_003","B06001_004","B06001_005","B06001_006","B06001_007","B06001_008","B06001_009","B06001_010","B06001_011","B06001_012","B06001_013","B06001_014","B06001_015","B06001_016","B06001_017","B06001_018","B06001_019","B06001_020","B06001_021","B06001_022","B06001_023","B06001_024","B06001_025","B06001_026","B06001_027","B06001_028","B06001_029","B06001_030","B06001_031","B06001_032","B06001_033","B06001_034","B06001_035","B06001_036","B06001_037","B06001_038","B06001_039","B06001_040","B06001_041","B06001_042","B06001_043","B06001_044","B06001_045","B06001_046","B06001_047","B06001_048","B06001_049","B06001_050","B06001_051","B06001_052","B06001_053","B06001_054","B06001_055","B06001_056","B06001_057","B06001_058","B06001_059","B06001_060"
"Branchburg Township School District, New Jersey","3402160",14665,880,2480,1326,1417,1819,2558,1240,373,577,1293,702,9005,828,2044,1064,992,764,1410,638,158,211,541,355,3578,45,338,163,184,583,682,452,169,239,453,270,103,0,34,0,0,28,20,0,0,0,0,21,1979,7,64,99,241,444,446,150,46,127,299,56
"Brick Township School District, New Jersey","3402220",74969,3536,11174,5872,8224,8965,12537,5447,1718,2998,7566,6932,55206,3360,9947,5145,6573,5958,8683,3718,1079,1897,4653,4193,13706,148,848,397,894,1825,2714,1306,467,857,2242,2008,940,28,114,68,116,169,98,41,29,76,109,92,5117,0,265,262,641,1013,1042,382,143,168,562,639
"Bridgeton City School District, New Jersey","3402250",25209,2422,5038,2708,5388,3593,2748,1043,254,334,1043,638,15518,2337,4299,1581,2488,1708,1532,516,119,158,487,293,2879,38,220,279,510,324,505,244,67,94,345,253,860,11,136,113,165,97,108,48,13,66,91,12,5952,36,383,735,2225,1464,603,235,55,16,120,80
"Bridgewater-Raritan Regional School District, New Jersey","3402280",52636,2723,9456,4444,4792,6824,9392,4020,1246,1673,3979,4087,28602,2347,7489,3193,2423,2577,3658,2016,644,782,1658,1815,10196,270,1292,599,573,1031,2129,1017,343,516,1181,1245,492,43,23,14,86,53,154,61,8,6,27,17,13346,63,652,638,1710,3163,3451,926,251,369,1113,1010
"Brielle Borough School District, New Jersey","3402310",4745,132,926,347,170,604,731,427,277,189,628,314,3490,132,764,304,124,400,498,303,202,155,447,161,1074,0,162,43,46,191,168,116,66,34,156,92,24,0,0,0,0,0,16,0,0,0,8,0,157,0,0,0,0,13,49,8,9,0,17,61
"Brigantine City School District, New Jersey","3402340",9239,337,850,494,1043,804,1266,864,432,609,1475,1065,4130,327,677,331,623,335,498,295,168,209,331,336,4002,10,64,140,253,247,642,517,193,331,965,640,77,0,0,16,15,19,15,0,0,8,0,4,1030,0,109,7,152,203,111,52,71,61,179,85
"Brooklawn Borough School District, New Jersey","3402370",1954,65,313,231,257,271,399,96,55,50,132,85,1202,55,240,162,133,149,263,45,25,19,70,41,511,10,70,45,50,93,85,30,25,26,46,31,27,0,3,4,4,12,4,0,0,0,0,0,214,0,0,20,70,17,47,21,5,5,16,13
"Buena Regional School District, New Jersey","3402400",12058,664,2116,994,1531,1656,1668,860,206,394,1179,790,7766,581,1767,741,1062,1105,1036,391,60,188,399,436,2611,31,252,190,132,198,432,295,91,182,508,300,645,0,0,0,0,127,136,101,55,13,213,0,1036,52,97,63,337,226,64,73,0,11,59,54
"Burlington City School District, New Jersey","3402430",9850,592,1543,1080,1016,1194,1673,673,187,355,793,744,6283,547,1322,860,664,562,933,305,69,156,474,391,2357,45,99,95,278,390,505,284,71,84,255,251,195,0,4,15,0,60,50,9,16,19,0,22,1015,0,118,110,74,182,185,75,31,96,64,80
"Burlington Township School District, New Jersey","3402460",22660,1298,4395,2280,2471,2741,3963,1638,398,635,1358,1483,12340,1235,3545,1578,1235,1260,1591,716,115,207,436,422,6675,40,578,345,622,977,1545,570,188,302,713,795,740,0,153,66,262,25,159,52,0,0,15,8,2905,23,119,291,352,479,668,300,95,126,194,258
"Butler Borough School District, New Jersey","3402520",7773,497,1023,820,1190,1161,1105,486,167,207,647,470,4973,464,902,507,643,539,667,310,113,123,374,331,1280,0,69,84,208,263,222,76,20,40,159,139,92,0,10,26,9,0,40,7,0,0,0,0,1428,33,42,203,330,359,176,93,34,44,114,0
"Caldwell-West Caldwell School District, New Jersey","3402580",18812,915,2598,1717,1954,2475,3157,1111,600,640,1583,2062,12492,899,2261,1326,1144,1725,1807,647,353,378,916,1036,3591,16,239,222,462,417,728,245,130,152,399,581,208,0,0,36,46,9,43,9,38,8,11,8,2521,0,98,133,302,324,579,210,79,102,257,437
"Camden City School District, New Jersey","3402640",76005,7105,17067,9010,11848,9323,8167,4223,1245,1697,3998,2322,47504,6751,15139,6387,6934,4514,3269,1801,456,582,989,682,9825,149,835,1123,1277,1313,1402,1013,267,478,1184,784,8426,119,585,370,952,1365,1668,676,330,361,1367,633,10250,86,508,1130,2685,2131,1828,733,192,276,458,223
"Cape May Point Borough School District, New Jersey","3402760",214,0,2,5,0,2,16,14,7,11,58,99,56,0,0,5,0,1,5,0,0,3,18,24,154,0,2,0,0,1,11,14,7,8,39,72,1,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,3
"Carteret Borough School District, New Jersey","3402820",23966,1209,4266,2307,4058,2906,3655,1609,669,707,1350,1230,11621,1062,2768,1502,2146,1036,1092,666,254,216,430,449,3298,128,796,298,269,281,526,120,117,132,225,406,1446,0,298,58,242,176,283,124,0,96,58,111,7601,19,404,449,1401,1413,1754,699,298,263,637,264
"Cedar Grove Township School District, New Jersey","3402850",12545,500,1803,828,1022,1533,1999,772,403,473,1217,1995,8527,500,1642,749,652,813,1283,424,341,284,569,1270,1997,0,95,24,216,368,274,182,37,106,334,361,102,0,11,0,17,0,29,0,0,21,0,24,1919,0,55,55,137,352,413,166,25,62,314,340
"Cherry Hill Township School District, New Jersey","3403000",70976,3763,11796,5622,7975,8843,10704,5204,1752,2532,6067,6718,29491,2792,8347,3429,3450,2836,3063,1488,357,598,1280,1851,29129,956,2827,1858,2808,3797,5055,2552,881,1460,3439,3496,794,0,21,40,146,78,200,35,15,27,128,104,11562,15,601,295,1571,2132,2386,1129,499,447,1220,1267
