"","GEOID","B06012_001","B06012_002","B06012_003","B06012_004","B06012_005","B06012_006","B06012_007","B06012_008","B06012_009","B06012_010","B06012_011","B06012_012","B06012_013","B06012_014","B06012_015","B06012_016","B06012_017","B06012_018","B06012_019","B06012_020"
"Branchburg Township School District, New Jersey","3402160",14665,535,80,14050,9005,318,21,8666,3578,87,41,3450,103,0,0,103,1979,130,18,1831
"Brick Township School District, New Jersey","3402220",74376,5020,3594,65762,54840,3289,2601,48950,13523,1094,497,11932,940,144,21,775,5073,493,475,4105
"Bridgeton City School District, New Jersey","3402250",21192,6435,4325,10432,12887,4171,2255,6461,1963,337,368,1258,721,392,98,231,5621,1535,1604,2482
"Bridgewater-Raritan Regional School District, New Jersey","3402280",52033,2161,2028,47844,28218,1090,1044,26084,9998,326,294,9378,489,1,1,487,13328,744,689,11895
"Brielle Borough School District, New Jersey","3402310",4745,88,84,4573,3490,59,59,3372,1074,14,25,1035,24,0,0,24,157,15,0,142
"Brigantine City School District, New Jersey","3402340",9190,991,639,7560,4081,416,289,3376,4002,276,305,3421,77,8,0,69,1030,291,45,694
"Brooklawn Borough School District, New Jersey","3402370",1935,292,144,1499,1183,214,102,867,511,46,14,451,27,10,2,15,214,22,26,166
"Buena Regional School District, New Jersey","3402400",12016,1908,1029,9079,7724,1189,615,5920,2611,272,190,2149,645,130,190,325,1036,317,34,685
"Burlington City School District, New Jersey","3402430",9808,918,1091,7799,6252,567,542,5143,2346,205,171,1970,195,27,105,63,1015,119,273,623
"Burlington Township School District, New Jersey","3402460",22002,1361,794,19847,12095,939,335,10821,6346,341,303,5702,704,0,11,693,2857,81,145,2631
"Butler Borough School District, New Jersey","3402520",7771,423,393,6955,4971,183,145,4643,1280,50,40,1190,92,0,10,82,1428,190,198,1040
"Caldwell-West Caldwell School District, New Jersey","3402580",18105,784,755,16566,12081,525,410,11146,3356,162,90,3104,208,10,7,191,2460,87,248,2125
"Camden City School District, New Jersey","3402640",73383,28181,10056,35146,45666,18729,5570,21367,9327,3120,1267,4940,8292,3718,1450,3124,10098,2614,1769,5715
"Cape May Point Borough School District, New Jersey","3402760",214,44,10,160,56,16,1,39,154,28,8,118,1,0,1,0,3,0,0,3
"Carteret Borough School District, New Jersey","3402820",23955,3245,1706,19004,11610,1749,340,9521,3298,499,247,2552,1446,304,397,745,7601,693,722,6186
"Cedar Grove Township School District, New Jersey","3402850",11762,464,278,11020,8057,224,203,7630,1808,53,39,1716,90,1,0,89,1807,186,36,1585
"Cherry Hill Township School District, New Jersey","3403000",69978,4000,2484,63494,28901,1598,1113,26190,28817,1119,949,26749,770,186,0,584,11490,1097,422,9971
"Chesilhurst Borough School District, New Jersey","3403030",1635,283,154,1198,837,126,62,649,593,138,32,423,89,7,4,78,116,12,56,48
"Cinnaminson Township School District, New Jersey","3403120",16380,907,432,15041,7494,533,155,6806,7717,289,236,7192,220,0,0,220,949,85,41,823
"Clark Township School District, New Jersey","3403150",15107,672,376,14059,10759,272,260,10227,1877,85,96,1696,216,26,0,190,2255,289,20,1946
"Clayton Borough School District, New Jersey","3403180",8386,716,641,7029,5795,555,487,4753,2173,129,71,1973,144,19,0,125,274,13,83,178
"Clementon Borough School District, New Jersey","3403240",4911,776,325,3810,3121,329,195,2597,1287,268,111,908,91,53,19,19,412,126,0,286
"Cliffside Park Borough School District, New Jersey","3403270",24644,3050,2726,18868,7663,938,829,5896,4823,385,310,4128,824,51,108,665,11334,1676,1479,8179
"Clifton City School District, New Jersey","3403300",84557,7416,6815,70326,41959,3850,3350,34759,10439,520,500,9419,2383,342,52,1989,29776,2704,2913,24159
"Collingswood Borough School District, New Jersey","3403420",13854,765,975,12114,7409,423,558,6428,5651,262,387,5002,187,0,0,187,607,80,30,497
"Commercial Township School District, New Jersey","3403480",5052,1278,669,3105,3948,969,582,2397,894,177,79,638,103,103,0,0,107,29,8,70
"Corbin City School District, New Jersey","3403510",483,62,25,396,384,46,19,319,94,15,6,73,3,1,0,2,2,0,0,2
"Cranbury Township School District, New Jersey","3403540",3713,48,168,3497,1775,47,147,1581,1385,1,14,1370,28,0,0,28,525,0,7,518
"Cranford Township School District, New Jersey","3403570",23286,451,523,22312,15562,258,311,14993,5215,57,51,5107,147,0,24,123,2362,136,137,2089
"Cresskill Borough School District, New Jersey","3403600",8706,321,284,8101,3007,64,31,2912,2679,49,195,2435,191,0,0,191,2829,208,58,2563
"Deal Borough School District, New Jersey","3403630",708,79,47,582,216,24,13,179,359,25,30,304,12,0,0,12,121,30,4,87
"Delanco Township School District, New Jersey","3403690",4507,216,354,3937,2651,104,310,2237,1656,104,35,1517,21,0,0,21,179,8,9,162
"Delran Township School District, New Jersey","3403780",16798,930,465,15403,8721,552,90,8079,5433,151,155,5127,165,51,0,114,2479,176,220,2083
"Dennis Township School District, New Jersey","3403840",6210,821,372,5017,4195,523,220,3452,1799,233,139,1427,20,0,0,20,196,65,13,118
"Deptford Township School District, New Jersey","3403900",30068,2818,1265,25985,16211,1548,716,13947,10857,806,501,9550,494,43,12,439,2506,421,36,2049
"Dover Town School District, New Jersey","3403930",19615,1932,2512,15171,7629,881,755,5993,1451,101,140,1210,1636,202,118,1316,8899,748,1499,6652
"Downe Township School District, New Jersey","3403960",1209,128,174,907,908,95,141,672,259,33,29,197,17,0,0,17,25,0,4,21
"Dumont Borough School District, New Jersey","3403990",17788,647,681,16460,8478,316,240,7922,4292,84,71,4137,239,0,12,227,4779,247,358,4174
"Dunellen Borough School District, New Jersey","3404020",7336,711,486,6139,4134,451,140,3543,1269,27,23,1219,194,50,0,144,1739,183,323,1233
"East Brunswick Township School District, New Jersey","3404110",48162,3330,1985,42847,19889,870,496,18523,11636,840,362,10434,507,18,40,449,16130,1602,1087,13441
"East Newark Borough School District, New Jersey","3404200",2668,356,356,1956,893,163,118,612,185,29,40,116,75,17,14,44,1515,147,184,1184
"East Orange City School District, New Jersey","3404230",63440,12785,7968,42687,34168,8106,4426,21636,12631,2213,1609,8809,772,159,41,572,15869,2307,1892,11670
"East Windsor Regional School District, New Jersey","3404320",32690,3030,2084,27576,14413,1340,923,12150,7585,243,484,6858,601,41,0,560,10091,1406,677,8008
"Edgewater Borough School District, New Jersey","3404440",11931,770,414,10747,2716,277,112,2327,3915,255,101,3559,238,0,15,223,5062,238,186,4638
"Edgewater Park Township School District, New Jersey","3404470",8835,855,876,7104,4807,242,540,4025,2585,373,305,1907,199,76,0,123,1244,164,31,1049
