"","GEOID","B06010_001","B06010_002","B06010_003","B06010_004","B06010_005","B06010_006","B06010_007","B06010_008","B06010_009","B06010_010","B06010_011","B06010_012","B06010_013","B06010_014","B06010_015","B06010_016","B06010_017","B06010_018","B06010_019","B06010_020","B06010_021","B06010_022","B06010_023","B06010_024","B06010_025","B06010_026","B06010_027","B06010_028","B06010_029","B06010_030","B06010_031","B06010_032","B06010_033","B06010_034","B06010_035","B06010_036","B06010_037","B06010_038","B06010_039","B06010_040","B06010_041","B06010_042","B06010_043","B06010_044","B06010_045","B06010_046","B06010_047","B06010_048","B06010_049","B06010_050","B06010_051","B06010_052","B06010_053","B06010_054","B06010_055"
"Abbeville County, South Carolina","45001",20569,2857,17712,4255,2875,3702,2435,2374,1033,331,707,14948,2058,12890,2811,2178,2755,1832,1869,736,244,465,5336,718,4618,1399,668,930,580,497,284,85,175,79,8,71,21,0,4,0,8,9,0,29,206,73,133,24,29,13,23,0,4,2,38
"Aiken County, South Carolina","45003",135003,19198,115805,23367,13820,21293,15134,15109,10168,3873,13041,51516,7450,44066,10041,5824,8616,5421,5574,3505,1313,3772,75382,10127,65255,12049,7020,11407,8934,8574,6139,2482,8650,1412,143,1269,330,200,163,84,188,178,22,104,6693,1478,5215,947,776,1107,695,773,346,56,515
"Allendale County, South Carolina","45005",7992,2424,5568,1528,1095,1287,765,572,112,64,145,6440,1939,4501,1326,903,1021,648,385,78,54,86,1384,419,965,193,184,233,83,170,34,10,58,58,22,36,0,0,14,22,0,0,0,0,110,44,66,9,8,19,12,17,0,0,1
"Anderson County, South Carolina","45007",155681,20143,135538,27764,18018,25125,19050,19086,11752,4315,10428,99831,13856,85975,18309,11987,16695,11900,12125,7117,2574,5268,49823,5139,44684,8750,5406,7357,6395,6371,4168,1499,4738,1178,92,1086,144,141,215,208,131,58,106,83,4849,1056,3793,561,484,858,547,459,409,136,339
"Bamberg County, South Carolina","45009",12561,2629,9932,2339,1486,1882,1464,1396,563,284,518,10020,1798,8222,1922,1285,1468,1170,1171,478,276,452,2276,816,1460,361,170,377,226,225,48,4,49,51,7,44,40,0,0,4,0,0,0,0,214,8,206,16,31,37,64,0,37,4,17
"Barnwell County, South Carolina","45011",17402,2984,14418,3619,2159,2446,2006,1649,1294,356,889,12868,2271,10597,2768,1656,1761,1444,1354,857,232,525,4176,596,3580,815,503,629,510,284,426,119,294,89,0,89,10,0,0,22,0,10,5,42,269,117,152,26,0,56,30,11,1,0,28
"Beaufort County, South Carolina","45013",145583,13974,131609,22158,13286,22488,18764,18648,12746,4770,18749,30751,4081,26670,6641,3710,5086,3881,3377,1830,713,1432,97687,7647,90040,13083,7722,14102,12451,13390,9609,3797,15886,2056,178,1878,314,313,251,252,279,215,51,203,15089,2068,13021,2120,1541,3049,2180,1602,1092,209,1228
"Berkeley County, South Carolina","45015",158269,22082,136187,24122,13596,24056,20315,21247,13963,5294,13594,72681,11577,61104,12598,6634,10712,9280,9098,6164,2217,4401,73114,8529,64585,9776,5969,11043,9303,10541,7079,2575,8299,2645,262,2383,410,225,413,385,365,183,175,227,9829,1714,8115,1338,768,1888,1347,1243,537,327,667
"Calhoun County, South Carolina","45017",12435,1778,10657,2252,1240,2148,1477,1724,856,203,757,8924,1262,7662,1709,974,1459,1049,1311,502,135,523,3029,439,2590,328,255,638,426,396,297,44,206,42,0,42,15,1,13,0,0,0,0,13,440,77,363,200,10,38,2,17,57,24,15
"Charleston County, South Carolina","45019",315353,36739,278614,52749,25166,44465,36898,39053,28009,10542,41732,147831,19115,128716,29500,13859,23126,18601,16565,10798,3772,12495,145213,13989,131224,20491,9330,17324,15781,19943,15640,6204,26511,4356,509,3847,653,384,525,464,542,353,124,802,17953,3126,14827,2105,1593,3490,2052,2003,1218,442,1924
