"","GEOID","B06001_001","B06001_002","B06001_003","B06001_004","B06001_005","B06001_006","B06001_007","B06001_008","B06001_009","B06001_010","B06001_011","B06001_012","B06001_013","B06001_014","B06001_015","B06001_016","B06001_017","B06001_018","B06001_019","B06001_020","B06001_021","B06001_022","B06001_023","B06001_024","B06001_025","B06001_026","B06001_027","B06001_028","B06001_029","B06001_030","B06001_031","B06001_032","B06001_033","B06001_034","B06001_035","B06001_036","B06001_037","B06001_038","B06001_039","B06001_040","B06001_041","B06001_042","B06001_043","B06001_044","B06001_045","B06001_046","B06001_047","B06001_048","B06001_049","B06001_050","B06001_051","B06001_052","B06001_053","B06001_054","B06001_055","B06001_056","B06001_057","B06001_058","B06001_059","B06001_060"
"Clay County, Georgia","13061",3024,204,508,249,307,258,328,233,157,124,359,297,2046,156,424,157,175,187,202,201,62,72,214,196,965,48,84,92,132,71,126,28,86,52,145,101,4,0,0,0,0,0,0,4,0,0,0,0,9,0,0,0,0,0,0,0,9,0,0,0
"Echols County, Georgia","13101",4011,213,927,240,441,678,604,227,103,141,232,205,2634,207,853,180,193,321,342,161,52,97,109,119,930,6,74,60,92,178,163,66,51,36,123,81,131,0,0,0,30,43,50,0,0,8,0,0,316,0,0,0,126,136,49,0,0,0,0,5
"Glynn County, Georgia","13127",83467,5029,14025,6826,10179,9660,11078,5991,2377,3152,9091,6059,49041,4615,10888,4757,5689,4990,5382,2946,1409,1514,3722,3129,28951,347,2810,1610,3432,3614,4741,2739,797,1371,4949,2541,843,43,102,91,35,151,182,50,59,56,49,25,4632,24,225,368,1023,905,773,256,112,211,371,364
"DeKalb County, Georgia","13089",736066,53127,120171,65513,122929,107921,99788,45112,17303,22456,50865,30881,337247,46486,88205,31576,46542,31753,30114,14886,6668,8564,20431,12022,268314,4619,20883,21971,47787,47205,47446,22708,8094,10351,23021,14229,10533,356,1500,1607,2188,1832,1580,445,191,178,278,378,119972,1666,9583,10359,26412,27131,20648,7073,2350,3363,7135,4252
"Haralson County, Georgia","13143",28722,1757,5186,2311,3515,3575,4224,1797,794,1026,2712,1825,21312,1671,4468,1988,2654,2363,2601,1364,571,730,1544,1358,6869,55,658,323,747,1087,1545,401,195,280,1127,451,142,7,31,0,48,0,11,10,19,0,0,16,399,24,29,0,66,125,67,22,9,16,41,0
"Lincoln County, Georgia","13181",7768,427,1079,575,773,846,1069,681,238,392,1060,628,5677,382,896,471,537,661,756,474,135,309,589,467,1899,45,165,100,192,157,221,205,103,83,471,157,96,0,0,0,17,0,79,0,0,0,0,0,96,0,18,4,27,28,13,2,0,0,0,4
"Jackson County, Georgia","13157",63851,4137,12141,4605,8086,9358,8862,3938,1380,2227,5686,3431,43646,3812,10447,3553,5468,5319,4964,2363,798,1505,3078,2339,16319,288,1475,947,1915,2787,3209,1242,513,605,2278,1060,544,37,97,46,62,149,82,41,8,5,17,0,3342,0,122,59,641,1103,607,292,61,112,313,32
"Jefferson County, Georgia","13163",15954,1100,2715,1433,1970,1782,2100,1026,410,723,1576,1119,13842,1100,2617,1251,1644,1572,1726,866,332,634,1220,880,1645,0,67,124,140,151,334,134,78,82,304,231,94,0,0,0,13,26,26,0,0,0,29,0,373,0,31,58,173,33,14,26,0,7,23,8
"Jones County, Georgia","13169",28540,1528,5294,2256,3219,3795,4088,2027,779,971,2767,1816,23099,1506,4881,2109,2524,2931,2969,1538,587,700,1952,1402,5083,22,379,127,651,760,1042,483,192,271,773,383,90,0,0,15,24,41,4,0,0,0,6,0,268,0,34,5,20,63,73,6,0,0,36,31
"Murray County, Georgia","13213",39444,2447,7546,3434,4909,5290,5729,2569,999,1246,3403,1872,26503,2266,6230,2341,3051,3076,3380,1435,736,715,2044,1229,9787,163,1159,833,1182,1272,1737,881,211,504,1247,598,200,0,3,0,60,12,52,16,2,9,46,0,2954,18,154,260,616,930,560,237,50,18,66,45
