"","GEOID","B06011_001","B06011_002","B06011_003","B06011_004","B06011_005"
"Glynn County, Georgia","13127",25675,22594,30777,37031,22880
"DeKalb County, Georgia","13089",30152,25730,37650,31717,23198
"Lincoln County, Georgia","13181",22565,22372,23385,40273,24018
"Jackson County, Georgia","13157",27529,25583,33630,34234,25130
"Jones County, Georgia","13169",28832,27514,33145,68220,46458
"Murray County, Georgia","13213",22199,21551,21934,24583,26149
"Muscogee County, Georgia","13215",23248,20142,26728,30649,23664
"Rabun County, Georgia","13241",22195,21032,23974,19833,17057
"Stewart County, Georgia","13259",17320,17373,24494,20673,11125
"Treutlen County, Georgia","13283",20354,21427,17259,18750,26402
"Turner County, Georgia","13287",23609,23440,21741,42589,26250
"Brantley County, Georgia","13025",19621,19000,19660,48523,28792
"Whitfield County, Georgia","13313",23721,22112,26838,29760,23265
"Macon County, Georgia","13193",17632,17157,21667,11536,19082
"Troup County, Georgia","13285",22787,21139,26533,29490,22039
"Bibb County, Georgia","13021",22449,21214,27239,28514,24358
"Harris County, Georgia","13145",31075,27985,38105,31525,28625
"Marion County, Georgia","13197",20733,20000,21740,30150,27887
"Schley County, Georgia","13249",25253,25605,26500,3229,6125
"Worth County, Georgia","13321",21579,20659,23632,65583,31750
"Franklin County, Georgia","13119",20534,20213,20683,33750,23268
"Effingham County, Georgia","13103",31002,29225,32714,42042,31956
"Emanuel County, Georgia","13107",20155,20123,19025,10917,26875
"Chatham County, Georgia","13051",26788,23133,31990,30468,26763
"Liberty County, Georgia","13179",27066,22271,29541,27838,24559
"Madison County, Georgia","13195",25375,23831,30740,40035,26570
"Talbot County, Georgia","13263",20251,19063,24826,24167,21786
"Thomas County, Georgia","13275",22473,20203,26418,21298,25967
"Toombs County, Georgia","13279",21539,21894,22314,50914,18867
"Wilkinson County, Georgia","13319",21289,20457,26400,75114,21875
"Ben Hill County, Georgia","13017",20382,19848,21394,24737,25889
"Burke County, Georgia","13033",22002,21310,22030,42308,25276
"Catoosa County, Georgia","13047",26600,25575,26789,38918,23616
"Chattahoochee County, Georgia","13053",23924,19064,24889,17390,28092
"Columbia County, Georgia","13073",34808,29741,39224,35561,27200
"Decatur County, Georgia","13087",23185,21797,24394,38056,30066
"Floyd County, Georgia","13115",22485,22117,24482,19769,21462
"Forsyth County, Georgia","13117",41295,31735,47264,46912,41519
"Habersham County, Georgia","13137",22785,21640,24138,26438,24167
"Hart County, Georgia","13147",22022,19753,25924,37550,22050
"Lowndes County, Georgia","13185",21516,19101,26689,24519,20272
"McIntosh County, Georgia","13191",25238,22050,32272,11179,40000
"Monroe County, Georgia","13207",24618,22261,32670,55577,25805
"Sumter County, Georgia","13261",19785,18448,21372,26607,25960
"Butts County, Georgia","13035",20465,19095,24832,44688,38125
"Camden County, Georgia","13039",26796,26436,27462,26667,22687
"Carroll County, Georgia","13045",22777,21783,25504,27560,19887
"Crawford County, Georgia","13079",24334,22474,26307,26716,60865
"Coffee County, Georgia","13069",21613,21929,20485,27778,21614
"Coweta County, Georgia","13077",32273,28562,41859,36919,23866
"Cobb County, Georgia","13067",34774,28328,41360,36020,28670
"Gilmer County, Georgia","13123",21752,21670,22648,28578,20005
"Walton County, Georgia","13297",27802,25849,33468,21510,26991
"Wilkes County, Georgia","13317",19294,19844,16950,30227,17043
"Brooks County, Georgia","13027",22725,20828,26575,27125,24375
"Dodge County, Georgia","13091",22032,23104,18640,10000,18618
"Gordon County, Georgia","13129",23844,23011,24379,17393,25433
"Cherokee County, Georgia","13057",33998,28665,41517,38578,25693
"Fayette County, Georgia","13113",40369,32106,47217,41773,37769
"Lee County, Georgia","13177",34907,32497,40080,35551,26522
"Newton County, Georgia","13217",25524,23559,30281,28000,24810
"Greene County, Georgia","13133",22750,18460,38032,28669,21477
"Colquitt County, Georgia","13071",20306,21278,19461,25433,18363
"Cook County, Georgia","13075",21268,21284,19703,26333,27313
"Dawson County, Georgia","13085",29370,26011,34196,43832,20957
"Clayton County, Georgia","13063",23909,21728,26831,22018,22253
"Fulton County, Georgia","13121",33168,24290,42088,41123,33797
"Hall County, Georgia","13139",26060,24829,32873,24339,22317
"Morgan County, Georgia","13211",26492,24249,33493,73278,20394
"Heard County, Georgia","13149",22931,22110,27037,21389,13906
"Oconee County, Georgia","13219",34724,30568,40892,31451,40962
"Dougherty County, Georgia","13095",20496,18897,24516,26051,25163
"Fannin County, Georgia","13111",22423,20705,24045,36434,23611
"Henry County, Georgia","13151",31218,28650,35497,26127,27022
"Houston County, Georgia","13153",29968,27118,34805,26829,22047
"Laurens County, Georgia","13175",21486,20947,22030,36089,24521
"Long County, Georgia","13183",26042,26545,24284,30917,27682
"Spalding County, Georgia","13255",21887,20508,25966,27227,23467
"Stephens County, Georgia","13257",21022,20618,22112,24667,18845
"Union County, Georgia","13291",22709,19973,22946,58188,28196
"Upson County, Georgia","13293",20313,20250,21906,18591,16713
"Washington County, Georgia","13303",19270,19644,17761,54250,11747
"White County, Georgia","13311",23008,23529,23106,7619,14545
"Peach County, Georgia","13225",25245,23132,34051,27718,19855
"Paulding County, Georgia","13223",31753,28799,35851,25962,31699
"Pierce County, Georgia","13229",22184,23535,20323,12125,21328
"Pike County, Georgia","13231",27451,25647,33136,22083,31100
"Richmond County, Georgia","13245",21369,18919,24880,24984,22675
"Screven County, Georgia","13251",21214,20142,26007,61429,24792
"Tattnall County, Georgia","13267",20856,19993,23300,17083,16650
"Walker County, Georgia","13295",22144,20852,23525,35725,31641
"Gwinnett County, Georgia","13135",30594,28770,36840,31287,26042
"Barrow County, Georgia","13013",26446,23499,32041,29097,26460
"Bartow County, Georgia","13015",26274,25472,28801,38750,23521
"Douglas County, Georgia","13097",28276,25342,31352,34434,30197
"Oglethorpe County, Georgia","13221",22589,21273,28512,48082,19205
"Wayne County, Georgia","13305",21289,22729,18450,24446,9962
"Bulloch County, Georgia","13031",19236,17037,24293,20472,20884
"Clarke County, Georgia","13059",17713,14231,23352,20443,20425
