"","GEOID","B06012_001","B06012_002","B06012_003","B06012_004","B06012_005","B06012_006","B06012_007","B06012_008","B06012_009","B06012_010","B06012_011","B06012_012","B06012_013","B06012_014","B06012_015","B06012_016","B06012_017","B06012_018","B06012_019","B06012_020"
"Clay County, Georgia","13061",2968,1230,517,1221,2027,1003,273,751,932,227,244,461,0,0,0,0,9,0,0,9
"Echols County, Georgia","13101",4006,1130,346,2530,2629,569,281,1779,930,342,65,523,131,80,0,51,316,139,0,177
"Glynn County, Georgia","13127",82098,15773,8163,58162,47986,10393,5492,32101,28678,4323,1913,22442,831,63,57,711,4603,994,701,2908
"DeKalb County, Georgia","13089",721966,127299,72983,521684,331121,65124,34818,231179,262470,33093,18798,210579,10225,1118,673,8434,118150,27964,18694,71492
"Haralson County, Georgia","13143",28168,5064,3344,19760,20905,3896,2403,14606,6737,1102,872,4763,137,64,26,47,389,2,43,344
"Lincoln County, Georgia","13181",7701,1773,686,5242,5638,1373,459,3806,1879,398,209,1272,96,0,0,96,88,2,18,68
"Jackson County, Georgia","13157",63275,7898,5222,50155,43171,6010,3494,33667,16227,1407,1161,13659,540,28,17,495,3337,453,550,2334
"Jefferson County, Georgia","13163",15464,4162,2166,9136,13452,3796,1808,7848,1556,232,189,1135,91,5,0,86,365,129,169,67
"Jones County, Georgia","13169",28238,4001,2949,21288,22883,3460,2393,17030,5006,520,537,3949,86,6,11,69,263,15,8,240
"Murray County, Georgia","13213",38941,7026,4991,26924,26110,5071,3313,17726,9677,1437,1467,6773,200,10,2,188,2954,508,209,2237
"Muscogee County, Georgia","13215",190674,41295,20169,129210,104800,26981,12433,65386,69406,11403,6475,51528,5340,833,421,4086,11128,2078,840,8210
"Pulaski County, Georgia","13235",9828,2143,1265,6420,7332,1644,902,4786,2303,479,270,1554,67,0,0,67,126,20,93,13
"Rabun County, Georgia","13241",16045,3259,2110,10676,8486,1864,1263,5359,6454,1053,705,4696,208,18,29,161,897,324,113,460
"Stewart County, Georgia","13259",3954,1640,562,1752,3400,1568,511,1321,497,72,47,378,17,0,4,13,40,0,0,40
"Towns County, Georgia","13281",10340,1516,1144,7680,4849,936,649,3264,5215,529,445,4241,33,0,4,29,243,51,46,146
"Treutlen County, Georgia","13283",6404,1347,754,4303,4807,988,497,3322,1312,197,211,904,49,0,19,30,236,162,27,47
"Turner County, Georgia","13287",7665,2137,675,4853,6261,1753,593,3915,1161,379,82,700,39,0,0,39,204,5,0,199
"Irwin County, Georgia","13155",8989,2204,1494,5291,7762,2016,1311,4435,1147,174,176,797,18,14,4,0,62,0,3,59
"Atkinson County, Georgia","13003",8264,2262,1679,4323,5924,1597,1363,2964,1309,358,132,819,11,0,0,11,1020,307,184,529
"Appling County, Georgia","13001",17937,4435,2997,10505,14019,3381,2198,8440,3121,787,473,1861,48,34,0,14,749,233,326,190
"Bacon County, Georgia","13005",10637,2466,1562,6609,8040,1787,1227,5026,1956,476,240,1240,60,14,11,35,581,189,84,308
"Brantley County, Georgia","13025",18246,3970,3381,10895,12492,2939,2235,7318,5303,997,1083,3223,209,5,33,171,242,29,30,183
"Whitfield County, Georgia","13313",102648,19710,15399,67539,57922,11064,9302,37556,24210,3949,2834,17427,1053,138,101,814,19463,4559,3162,11742
"Calhoun County, Georgia","13037",4582,1474,755,2353,4000,1333,647,2020,452,70,101,281,6,0,0,6,124,71,7,46
"Macon County, Georgia","13193",11771,3364,1687,6720,9563,2831,1568,5164,1791,298,119,1374,59,48,0,11,358,187,0,171
"Troup County, Georgia","13285",67637,14430,6397,46810,46368,10846,4953,30569,17992,2940,1263,13789,555,29,20,506,2722,615,161,1946
"Bibb County, Georgia","13021",147580,39473,16511,91596,114021,32160,13509,68352,27660,5947,2367,19346,870,211,93,566,5029,1155,542,3332
"Harris County, Georgia","13145",32667,2382,2045,28240,19926,1740,1487,16699,11292,559,479,10254,740,0,79,661,709,83,0,626
"Marion County, Georgia","13197",8439,1952,1021,5466,6442,1639,883,3920,1656,237,114,1305,103,38,14,51,238,38,10,190
"Schley County, Georgia","13249",5168,1148,664,3356,4224,950,601,2673,853,153,41,659,17,12,5,0,74,33,17,24
"Worth County, Georgia","13321",20652,4447,2298,13907,17170,3921,2046,11203,3083,492,220,2371,139,26,0,113,260,8,32,220
"Bleckley County, Georgia","13023",11270,2591,1136,7543,9242,2076,948,6218,1784,455,138,1191,18,0,0,18,226,60,50,116
"Dooly County, Georgia","13093",12237,2837,1775,7625,10617,2627,1455,6535,1157,191,150,816,5,3,0,2,458,16,170,272
"Evans County, Georgia","13109",10222,2657,1268,6297,7681,1941,1108,4632,2090,612,125,1353,48,4,3,41,403,100,32,271
"Franklin County, Georgia","13119",21680,5503,2512,13665,15765,4279,1757,9729,5191,1035,594,3562,120,12,0,108,604,177,161,266
"Webster County, Georgia","13307",2613,509,302,1802,2263,457,272,1534,311,42,30,239,19,4,0,15,20,6,0,14
"Effingham County, Georgia","13103",56545,5405,5300,45840,34812,3488,3470,27854,19169,1703,1550,15916,895,169,23,703,1669,45,257,1367
"Lamar County, Georgia","13171",16987,3525,1767,11695,13739,3091,1654,8994,2641,278,113,2250,135,57,0,78,472,99,0,373
"Glascock County, Georgia","13125",2939,339,565,2035,2522,245,487,1790,391,89,76,226,12,0,2,10,14,5,0,9
"Emanuel County, Georgia","13107",21697,6329,2947,12421,18337,5385,2545,10407,2807,909,318,1580,113,0,0,113,440,35,84,321
"Quitman County, Georgia","13239",2140,488,341,1311,1156,266,243,647,894,216,98,580,0,0,0,0,90,6,0,84
"Chatham County, Georgia","13051",272450,47119,25988,199343,152860,30256,16199,106405,97491,13156,7790,76545,4607,571,527,3509,17492,3136,1472,12884
"Liberty County, Georgia","13179",59949,9931,8534,41484,23474,5143,2988,15343,29529,3747,4449,21333,3350,606,750,1994,3596,435,347,2814
"Jasper County, Georgia","13159",13511,2623,2499,8389,10431,1989,1954,6488,2665,459,545,1661,6,0,0,6,409,175,0,234
"Johnson County, Georgia","13167",9488,2037,992,6459,7701,1616,867,5218,1690,383,107,1200,43,25,8,10,54,13,10,31
"Lanier County, Georgia","13173",10017,2875,894,6248,6181,1900,595,3686,3389,806,189,2394,287,75,92,120,160,94,18,48
"Madison County, Georgia","13195",28306,4977,4528,18801,21643,3750,3650,14243,5296,744,513,4039,233,2,32,199,1134,481,333,320
"Mitchell County, Georgia","13205",20101,5438,2557,12106,17266,4825,2070,10371,2383,385,410,1588,15,0,3,12,437,228,74,135
"Seminole County, Georgia","13253",8444,2149,869,5426,6281,1689,665,3927,2049,395,204,1450,6,0,0,6,108,65,0,43
"Tift County, Georgia","13277",38582,10725,3885,23972,29920,8963,2989,17968,5893,1104,428,4361,140,0,12,128,2629,658,456,1515
"Twiggs County, Georgia","13289",8225,2244,1057,4924,7112,2051,876,4185,1003,193,181,629,7,0,0,7,103,0,0,103
"Polk County, Georgia","13233",40998,7781,5600,27617,30776,5980,4264,20532,7314,1370,696,5248,84,22,0,62,2824,409,640,1775
"Talbot County, Georgia","13263",6348,1070,1047,4231,5234,986,913,3335,940,76,119,745,98,8,0,90,76,0,15,61
"Taylor County, Georgia","13269",8097,2285,1341,4471,7097,2002,1213,3882,840,159,112,569,68,55,0,13,92,69,16,7
"Terrell County, Georgia","13273",8643,3047,777,4819,7397,2805,709,3883,1176,236,68,872,20,0,0,20,50,6,0,44
"Thomas County, Georgia","13275",43990,8580,6572,28838,29999,6451,4854,18694,12441,1830,1444,9167,418,55,91,272,1132,244,183,705
"Toombs County, Georgia","13279",26809,6532,4363,15914,20141,5055,3230,11856,4727,975,871,2881,179,0,43,136,1762,502,219,1041
"Wilkinson County, Georgia","13319",9046,2112,923,6011,7926,1918,865,5143,942,159,53,730,53,15,0,38,125,20,5,100
"Ben Hill County, Georgia","13017",16905,5139,1903,9863,13389,4226,1481,7682,2938,753,412,1773,60,0,0,60,518,160,10,348
"Burke County, Georgia","13033",22289,6504,2567,13218,17552,5558,2092,9902,4084,889,360,2835,227,7,5,215,426,50,110,266
"Catoosa County, Georgia","13047",65233,7045,5535,52653,21411,3073,1936,16402,41913,3752,3369,34792,421,54,38,329,1488,166,192,1130
"Chattahoochee County, Georgia","13053",7579,1139,1135,5305,2210,476,358,1376,4564,614,637,3313,353,36,97,220,452,13,43,396
"Chattooga County, Georgia","13055",22930,5152,3499,14279,17060,3632,2797,10631,5057,1334,491,3232,100,15,29,56,713,171,182,360
"Columbia County, Georgia","13073",142975,12269,7088,123618,66674,6035,3658,56981,62638,4875,2576,55187,3639,255,258,3126,10024,1104,596,8324
"Decatur County, Georgia","13087",25818,6233,3602,15983,18972,4918,2598,11456,5989,1191,830,3968,139,23,11,105,718,101,163,454
"Floyd County, Georgia","13115",92440,16774,10740,64926,65667,12082,7851,45734,19684,3148,1780,14756,725,122,77,526,6364,1422,1032,3910
"Forsyth County, Georgia","13117",210409,13643,8041,188725,83337,6647,3707,72983,90494,3706,2380,84408,2962,156,51,2755,33616,3134,1903,28579
"Habersham County, Georgia","13137",41274,7114,4567,29593,27288,4722,3203,19363,9692,1144,908,7640,298,93,4,201,3996,1155,452,2389
"Hart County, Georgia","13147",24642,4642,3881,16119,15472,3234,2343,9895,8434,1292,1404,5738,102,0,10,92,634,116,124,394
"Lowndes County, Georgia","13185",109857,27410,12946,69501,67580,18805,8346,40429,35556,7331,3738,24487,1869,262,136,1471,4852,1012,726,3114
"McIntosh County, Georgia","13191",13969,2829,1462,9678,9743,1991,1000,6752,3780,704,401,2675,208,98,25,85,238,36,36,166
"Meriwether County, Georgia","13199",20866,4735,2576,13555,17428,4198,2241,10989,3037,384,296,2357,171,60,19,92,230,93,20,117
"Monroe County, Georgia","13207",25637,3415,2569,19653,18778,2705,2009,14064,6038,643,451,4944,170,0,51,119,651,67,58,526
"Putnam County, Georgia","13237",21150,3425,2463,15262,14352,2235,1791,10326,5350,935,353,4062,134,2,0,132,1314,253,319,742
"Sumter County, Georgia","13261",28600,9560,3439,15601,23054,8209,2773,12072,4504,1004,545,2955,104,18,0,86,938,329,121,488
"Taliaferro County, Georgia","13265",1839,571,250,1018,1595,492,231,872,194,47,19,128,4,0,0,4,46,32,0,14
"Warren County, Georgia","13301",5333,1427,700,3206,4670,1276,627,2767,507,94,63,350,5,3,0,2,151,54,10,87
"Baker County, Georgia","13007",3251,634,363,2254,2758,578,308,1872,352,54,38,260,16,2,0,14,125,0,17,108
"Bryan County, Georgia","13029",34738,4897,2202,27639,17412,3044,1240,13128,15121,1452,698,12971,752,108,14,630,1453,293,250,910
"Butts County, Georgia","13035",20778,4892,2242,13644,16367,4111,1761,10495,3530,527,398,2605,320,125,5,190,561,129,78,354
"Candler County, Georgia","13043",10602,3341,1597,5664,7981,2549,1199,4233,2005,457,371,1177,56,47,0,9,560,288,27,245
"Camden County, Georgia","13039",50473,6413,5579,38481,17342,2566,2508,12268,29757,3507,2672,23578,1283,143,25,1115,2091,197,374,1520
"Carroll County, Georgia","13045",111109,20705,13883,76521,76213,15292,9977,50944,29449,4203,3060,22186,1150,234,0,916,4297,976,846,2475
"Crawford County, Georgia","13079",12217,2207,1818,8192,9190,1724,1586,5880,2584,448,229,1907,191,9,3,179,252,26,0,226
"Early County, Georgia","13099",10235,2812,1728,5695,7772,2335,1435,4002,2178,396,230,1552,20,0,0,20,265,81,63,121
"Crisp County, Georgia","13081",22541,7025,3630,11886,18921,6071,3181,9669,2928,726,291,1911,65,48,0,17,627,180,158,289
"Coffee County, Georgia","13069",39175,9348,4952,24875,29884,7306,3511,19067,6615,1484,754,4377,115,0,37,78,2561,558,650,1353
"Coweta County, Georgia","13077",137036,15900,9032,112104,78187,10089,5573,62525,48584,4099,1953,42532,1739,288,123,1328,8526,1424,1383,5719
"Cobb County, Georgia","13067",728393,79127,57006,592260,278646,34331,25051,219264,321161,26516,17688,276957,12495,977,733,10785,116091,17303,13534,85254
"Gilmer County, Georgia","13123",29356,5520,3298,20538,17340,3189,1908,12243,9901,1537,1191,7173,187,0,12,175,1928,794,187,947
"Dade County, Georgia","13083",14937,2619,1224,11094,5015,976,422,3617,9441,1618,734,7089,142,9,60,73,339,16,8,315
"Walton County, Georgia","13297",87387,11200,8811,67376,59614,8382,6483,44749,22978,1771,1822,19385,975,338,142,495,3820,709,364,2747
"Wilkes County, Georgia","13317",9779,2595,1268,5916,7844,2147,1023,4674,1462,265,144,1053,58,0,0,58,415,183,101,131
"Brooks County, Georgia","13027",15452,3641,1737,10074,10405,2559,1250,6596,4354,930,459,2965,82,0,8,74,611,152,20,439
"Dodge County, Georgia","13091",19025,4229,2669,12127,16377,3435,2199,10743,2308,616,447,1245,56,5,10,41,284,173,13,98
"Gordon County, Georgia","13129",55635,10466,7384,37785,36807,7184,4515,25108,13229,1957,1569,9703,366,40,89,237,5233,1285,1211,2737
"Elbert County, Georgia","13105",18997,4246,2277,12474,14584,3338,1844,9402,3890,837,375,2678,41,4,0,37,482,67,58,357
"Cherokee County, Georgia","13057",233748,22072,14157,197519,108468,11466,7107,89895,102077,7002,4547,90528,2875,85,243,2547,20328,3519,2260,14549
"Fayette County, Georgia","13113",109526,6907,6021,96598,46438,2974,2913,40551,50184,2685,1823,45676,1884,162,95,1627,11020,1086,1190,8744
"Jenkins County, Georgia","13165",8852,2720,1429,4703,7386,2298,1239,3849,1088,241,140,707,11,0,0,11,367,181,50,136
"Lee County, Georgia","13177",28191,3281,1980,22930,19021,2354,1634,15033,7865,765,255,6845,321,0,12,309,984,162,79,743
"Newton County, Georgia","13217",103499,17328,9894,76277,65215,12106,6367,46742,30496,4065,2761,23670,1723,326,88,1309,6065,831,678,4556
"Pickens County, Georgia","13227",30101,2964,2609,24528,19180,2206,1927,15047,9815,725,537,8553,222,33,35,154,884,0,110,774
"Greene County, Georgia","13133",16579,3623,2160,10796,10963,2962,1705,6296,4713,376,391,3946,101,10,0,91,802,275,64,463
"Colquitt County, Georgia","13071",45141,11444,7718,25979,32165,7681,5079,19405,7686,2107,1426,4153,291,118,13,160,4999,1538,1200,2261
"Cook County, Georgia","13075",16968,4099,2594,10275,13363,3318,2044,8001,2979,692,491,1796,180,15,26,139,446,74,33,339
"Dawson County, Georgia","13085",23100,2729,1157,19214,14096,2048,643,11405,8102,589,370,7143,234,5,0,229,668,87,144,437
"Hancock County, Georgia","13141",6021,1804,934,3283,5053,1696,795,2562,863,93,103,667,44,9,0,35,61,6,36,19
"Clayton County, Georgia","13063",268519,58701,35513,174305,139052,32064,19141,87847,87717,17755,9680,60282,4138,840,596,2702,37612,8042,6096,23474
"Fulton County, Georgia","13121",978533,156519,78924,743090,444647,95175,45484,303988,397253,43372,23013,330868,11903,1251,593,10059,124730,16721,9834,98175
"Hall County, Georgia","13139",190704,30634,19769,140301,105317,17949,10895,76473,51571,5590,3128,42853,2263,286,324,1653,31553,6809,5422,19322
"Lumpkin County, Georgia","13187",30161,6052,3767,20342,18345,4305,2472,11568,10587,1576,1049,7962,119,39,0,80,1110,132,246,732
"McDuffie County, Georgia","13189",21177,5503,2127,13547,15877,4301,1785,9791,4532,798,329,3405,273,147,0,126,495,257,13,225
"Miller County, Georgia","13201",5705,1332,695,3678,4624,1122,549,2953,1006,179,146,681,67,31,0,36,8,0,0,8
"Morgan County, Georgia","13211",17775,2374,1421,13980,13207,2002,1110,10095,4189,297,310,3582,102,1,1,100,277,74,0,203
"Heard County, Georgia","13149",11330,1975,1600,7755,8721,1540,1365,5816,2454,395,233,1826,46,8,0,38,109,32,2,75
