"","GEOID","B06009_001","B06009_002","B06009_003","B06009_004","B06009_005","B06009_006","B06009_007","B06009_008","B06009_009","B06009_010","B06009_011","B06009_012","B06009_013","B06009_014","B06009_015","B06009_016","B06009_017","B06009_018","B06009_019","B06009_020","B06009_021","B06009_022","B06009_023","B06009_024","B06009_025","B06009_026","B06009_027","B06009_028","B06009_029","B06009_030"
"Decatur City School District, Georgia","1301680",13497,721,1411,1692,4627,5046,3767,255,780,659,1148,925,8021,132,479,806,3158,3446,147,0,33,0,28,86,1562,334,119,227,293,589
"Decatur County School District, Georgia","1301710",17863,3467,6393,5345,1447,1211,12023,2258,4539,3643,814,769,4994,813,1660,1600,553,368,129,0,20,53,24,32,717,396,174,49,56,42
"Dougherty School District, Georgia","1301830",58166,10089,16884,19138,6848,5207,42493,8064,12806,13914,4544,3165,13468,1474,3523,4844,2075,1552,373,51,165,67,40,50,1832,500,390,313,189,440
"DeKalb County School District, Georgia","1301740",459881,53724,99462,120681,109108,76906,157180,16291,44253,45529,33517,17590,200689,9306,33325,58694,55806,43558,6542,482,1081,1805,1857,1317,95470,27645,20803,14653,17928,14441
"Dodge County School District, Georgia","1301770",14874,2523,6246,3930,1261,914,12226,2187,5147,3043,1097,752,2265,300,903,820,99,143,73,5,39,11,6,12,310,31,157,56,59,7
"Dooly County School District, Georgia","1301800",10097,2723,3888,2484,675,327,8208,2232,3238,1979,517,242,1426,305,413,485,156,67,9,4,3,2,0,0,454,182,234,18,2,18
"Douglas County School District, Georgia","1301860",90072,10595,28350,27091,14692,9344,38589,4888,14563,11214,4937,2987,39901,3344,10388,13159,7698,5312,1180,52,367,506,176,79,10402,2311,3032,2212,1881,966
"Dublin City School District, Georgia","1301870",10353,1570,4584,2582,765,852,8153,1408,3800,1914,477,554,1823,123,683,586,201,230,13,0,7,0,6,0,364,39,94,82,81,68
"Laurens County School District, Georgia","1301890",21270,3515,9416,5071,1880,1388,16705,2797,7879,3833,1232,964,3882,458,1346,1065,637,376,177,1,67,109,0,0,506,259,124,64,11,48
"Early County School District, Georgia","1301920",6965,1367,2527,1889,699,483,5299,1044,2018,1411,517,309,1443,280,460,434,141,128,20,0,0,0,0,20,203,43,49,44,41,26
"Echols County School District, Georgia","1301950",2631,808,917,725,127,54,1394,310,523,453,74,34,790,168,319,230,53,20,131,123,0,8,0,0,316,207,75,34,0,0
"Effingham County School District, Georgia","1301980",36802,4777,13799,11146,4802,2278,20423,3009,8865,5193,2146,1210,14474,1387,4547,5397,2223,920,566,49,120,247,117,33,1339,332,267,309,316,115
"Fannin County School District, Georgia","1302100",18656,2641,7023,5445,2216,1331,7800,1583,3143,2009,628,437,10232,967,3585,3268,1550,862,184,0,64,78,19,23,440,91,231,90,19,9
"Elbert County School District, Georgia","1302010",13469,2882,6082,3016,856,633,9937,2123,4630,2217,510,457,3104,501,1327,778,332,166,41,1,20,10,0,10,387,257,105,11,14,0
"Emanuel County School District, Georgia","1302040",14815,2975,6395,3595,1001,849,12065,2481,5143,3051,780,610,2244,304,1045,520,180,195,92,0,45,20,9,18,414,190,162,4,32,26
"Evans County School District, Georgia","1302070",7155,1697,2814,1533,714,397,4858,1029,1976,1015,530,308,1855,401,760,482,149,63,54,9,0,17,13,15,388,258,78,19,22,11
"Fayette County School District, Georgia","1302130",74267,3761,15145,20681,21811,12869,23903,1360,6718,6494,6218,3113,39675,1360,6276,11379,12690,7970,1413,27,237,462,445,242,9276,1014,1914,2346,2458,1544
"Fort Stewart School District, Georgia","1300003",3413,123,1051,1544,517,178,507,25,126,294,31,31,2448,29,826,1163,338,92,112,0,17,36,28,31,346,69,82,51,120,24
"Appling County School District, Georgia","1300060",12366,3076,4961,2904,819,606,9161,2292,3509,2320,574,466,2464,497,1079,530,233,125,48,28,6,14,0,0,693,259,367,40,12,15
"Atkinson County School District, Georgia","1300090",5242,1580,2103,1131,252,176,3325,711,1627,687,199,101,983,259,297,325,38,64,11,0,0,0,0,11,923,610,179,119,15,0
"Atlanta City School District, Georgia","1300120",314633,31864,60920,68587,85811,67451,138338,21826,40816,33881,25834,15981,147045,6750,16725,30162,51209,42199,3498,229,364,702,1193,1010,25752,3059,3015,3842,7575,8261
"Bacon County School District, Georgia","1300150",7454,1308,3082,2185,535,344,4985,701,2276,1403,311,294,1909,246,664,737,212,50,73,36,25,0,12,0,487,325,117,45,0,0
"Baker County School District, Georgia","1300180",2308,516,861,676,138,117,1911,418,744,556,104,89,264,36,94,118,4,12,16,0,14,2,0,0,117,62,9,0,30,16
"Baldwin County School District, Georgia","1300210",28061,5045,10206,7371,3013,2426,21496,4267,8591,5512,1912,1214,5426,592,1363,1648,780,1043,230,45,35,47,52,51,909,141,217,164,269,118
"Banks County School District, Georgia","1300240",12610,2905,5273,2929,923,580,8602,1867,3807,2047,514,367,3236,572,1285,820,355,204,47,8,0,27,12,0,725,458,181,35,42,9
"Berrien County School District, Georgia","1300390",12923,2578,5337,3494,943,571,9034,1714,3809,2408,696,407,3403,706,1332,1021,185,159,66,6,17,43,0,0,420,152,179,22,62,5
"Barrow County School District, Georgia","1300290",48812,8200,16651,15540,5756,2665,24076,4259,9156,7231,2474,956,19174,1908,6060,7003,2755,1448,687,79,199,348,13,48,4875,1954,1236,958,514,213
"Bartow County School District, Georgia","1300330",55310,9659,19472,16181,6534,3464,31165,6268,12140,8152,3136,1469,20715,2222,6471,7384,2893,1745,361,50,117,117,73,4,3069,1119,744,528,432,246
"Ben Hill County School District, Georgia","1300360",11412,2128,4959,3157,709,459,8330,1504,3692,2180,521,433,2530,410,1066,866,162,26,34,0,23,0,11,0,518,214,178,111,15,0
