"","GEOID","B06010_001","B06010_002","B06010_003","B06010_004","B06010_005","B06010_006","B06010_007","B06010_008","B06010_009","B06010_010","B06010_011","B06010_012","B06010_013","B06010_014","B06010_015","B06010_016","B06010_017","B06010_018","B06010_019","B06010_020","B06010_021","B06010_022","B06010_023","B06010_024","B06010_025","B06010_026","B06010_027","B06010_028","B06010_029","B06010_030","B06010_031","B06010_032","B06010_033","B06010_034","B06010_035","B06010_036","B06010_037","B06010_038","B06010_039","B06010_040","B06010_041","B06010_042","B06010_043","B06010_044","B06010_045","B06010_046","B06010_047","B06010_048","B06010_049","B06010_050","B06010_051","B06010_052","B06010_053","B06010_054","B06010_055"
"Decatur City School District, Georgia","1301680",15906,1636,14270,2851,814,1294,877,1131,1513,751,5039,4937,642,4295,1208,340,480,313,428,393,208,925,8854,673,8181,1112,359,552,466,573,951,463,3705,207,36,171,24,0,25,26,32,47,0,17,1908,285,1623,507,115,237,72,98,122,80,392
"Decatur County School District, Georgia","1301710",21487,5305,16182,3549,2013,3001,2255,2378,1372,473,1141,14858,3852,11006,2507,1485,2053,1451,1576,879,315,740,5753,1238,4515,1037,450,825,626,697,366,158,356,139,15,124,0,31,22,7,28,2,0,34,737,200,537,5,47,101,171,77,125,0,11
"Dougherty School District, Georgia","1301830",72633,13654,58979,14988,8029,10757,7564,7232,4312,1693,4404,53998,10591,43407,11824,6223,7837,5586,5151,3015,1134,2637,15963,2455,13508,2838,1504,2543,1597,1812,1109,525,1580,470,49,421,70,90,32,44,42,23,0,120,2202,559,1643,256,212,345,337,227,165,34,67
"DeKalb County School District, Georgia","1301740",547005,78356,468649,83695,45511,77768,61627,66148,44644,19464,69792,202496,32553,169943,37343,17864,27976,23046,24004,16374,6233,17103,227653,23000,204653,30030,17342,26694,24949,31828,22054,9969,41787,8661,1617,7044,1416,510,982,967,1124,743,262,1040,108195,21186,87009,14906,9795,22116,12665,9192,5473,3000,9862
"Dodge County School District, Georgia","1301770",17494,4369,13125,2691,1740,2735,1777,2052,906,417,807,14496,3473,11023,2123,1483,2252,1517,1762,861,364,661,2591,768,1823,509,222,370,239,251,45,53,134,79,45,34,17,10,0,0,0,0,0,7,328,83,245,42,25,113,21,39,0,0,5
"Dooly County School District, Georgia","1301800",11988,3057,8931,2337,1388,1799,1004,1096,559,328,420,9866,2413,7453,2038,1199,1401,785,934,404,309,383,1570,502,1068,218,176,233,137,114,134,19,37,9,7,2,2,0,0,0,0,0,0,0,543,135,408,79,13,165,82,48,21,0,0
"Douglas County School District, Georgia","1301860",109668,16976,92692,17659,9755,14808,11895,13470,9834,4341,10930,49862,7929,41933,9195,4609,6926,5548,5672,4408,1836,3739,46985,7071,39914,6935,4109,5856,4793,5885,4433,2001,5902,1352,258,1094,193,4,225,137,253,99,88,95,11469,1718,9751,1336,1033,1801,1417,1660,894,416,1194
"Dublin City School District, Georgia","1301870",12636,3125,9511,2419,1460,1927,1026,1169,531,194,785,10131,2648,7483,1988,1091,1521,808,923,416,164,572,2128,375,1753,398,329,352,189,216,115,30,124,13,7,6,0,0,0,0,6,0,0,0,364,95,269,33,40,54,29,24,0,0,89
"Laurens County School District, Georgia","1301890",24995,5155,19840,3621,2757,4104,2968,2964,1482,472,1472,19982,4210,15772,2931,2249,3270,2317,2327,1201,385,1092,4284,774,3510,653,481,685,531,507,249,77,327,202,25,177,1,0,0,77,33,32,0,34,527,146,381,36,27,149,43,97,0,10,19
"Early County School District, Georgia","1301920",8301,1727,6574,1473,1011,1364,791,967,458,221,289,6157,1114,5043,1110,832,1075,561,743,395,167,160,1919,523,1396,335,168,235,220,192,63,54,129,20,0,20,0,0,0,10,10,0,0,0,205,90,115,28,11,54,0,22,0,0,0
