"","GEOID","B06012_001","B06012_002","B06012_003","B06012_004","B06012_005","B06012_006","B06012_007","B06012_008","B06012_009","B06012_010","B06012_011","B06012_012","B06012_013","B06012_014","B06012_015","B06012_016","B06012_017","B06012_018","B06012_019","B06012_020"
"Decatur City School District, Georgia","1301680",21181,3312,686,17183,9472,1894,298,7280,9362,755,196,8411,356,0,80,276,1991,663,112,1216
"Decatur County School District, Georgia","1301710",25818,6233,3602,15983,18972,4918,2598,11456,5989,1191,830,3968,139,23,11,105,718,101,163,454
"Dougherty School District, Georgia","1301830",87646,26759,11240,49647,68564,22570,9057,36937,16356,3543,1538,11275,469,83,71,315,2257,563,574,1120
"DeKalb County School District, Georgia","1301740",669224,119597,70353,479274,305268,60381,33039,211848,239797,30963,18163,190671,9452,1089,593,7770,114707,27164,18558,68985
"Dodge County School District, Georgia","1301770",19025,4229,2669,12127,16377,3435,2199,10743,2308,616,447,1245,56,5,10,41,284,173,13,98
"Dooly County School District, Georgia","1301800",12237,2837,1775,7625,10617,2627,1455,6535,1157,191,150,816,5,3,0,2,458,16,170,272
"Douglas County School District, Georgia","1301860",138611,19690,13949,104972,71069,10217,7819,53033,53971,7713,4364,41894,1677,147,234,1296,11894,1613,1532,8749
"Dublin City School District, Georgia","1301870",15031,5135,1889,8007,12388,4387,1405,6596,2227,720,389,1118,6,0,0,6,410,28,95,287
"Laurens County School District, Georgia","1301890",31350,7548,3967,19835,25838,6060,3463,16315,4810,1379,457,2974,193,16,2,175,509,93,45,371
"Early County School District, Georgia","1301920",10235,2812,1728,5695,7772,2335,1435,4002,2178,396,230,1552,20,0,0,20,265,81,63,121
"Echols County School District, Georgia","1301950",4006,1130,346,2530,2629,569,281,1779,930,342,65,523,131,80,0,51,316,139,0,177
"Effingham County School District, Georgia","1301980",56545,5405,5300,45840,34812,3488,3470,27854,19169,1703,1550,15916,895,169,23,703,1669,45,257,1367
"Fannin County School District, Georgia","1302100",24118,3806,2912,17400,12132,1880,1488,8764,11317,1699,1415,8203,184,66,0,118,485,161,9,315
"Elbert County School District, Georgia","1302010",18997,4246,2277,12474,14584,3338,1844,9402,3890,837,375,2678,41,4,0,37,482,67,58,357
"Emanuel County School District, Georgia","1302040",21697,6329,2947,12421,18337,5385,2545,10407,2807,909,318,1580,113,0,0,113,440,35,84,321
"Evans County School District, Georgia","1302070",10222,2657,1268,6297,7681,1941,1108,4632,2090,612,125,1353,48,4,3,41,403,100,32,271
"Fayette County School District, Georgia","1302130",109526,6907,6021,96598,46438,2974,2913,40551,50184,2685,1823,45676,1884,162,95,1627,11020,1086,1190,8744
"Fort Stewart School District, Georgia","1300003",8291,1182,2120,4989,2014,315,439,1260,5630,825,1567,3238,272,31,88,153,375,11,26,338
"Appling County School District, Georgia","1300060",17937,4435,2997,10505,14019,3381,2198,8440,3121,787,473,1861,48,34,0,14,749,233,326,190
"Atkinson County School District, Georgia","1300090",8264,2262,1679,4323,5924,1597,1363,2964,1309,358,132,819,11,0,0,11,1020,307,184,529
"Atlanta City School District, Georgia","1300120",435586,97629,41638,296319,233444,66655,28192,138597,169273,24469,11261,133543,4464,642,217,3605,28405,5863,1968,20574
"Bacon County School District, Georgia","1300150",10637,2466,1562,6609,8040,1787,1227,5026,1956,476,240,1240,60,14,11,35,581,189,84,308
"Baker County School District, Georgia","1300180",3251,634,363,2254,2758,578,308,1872,352,54,38,260,16,2,0,14,125,0,17,108
"Baldwin County School District, Georgia","1300210",41822,11610,5471,24741,33714,9607,4786,19321,6756,1768,451,4537,305,38,76,191,1047,197,158,692
"Banks County School District, Georgia","1300240",18349,2629,2969,12751,13430,2157,1930,9343,3962,357,785,2820,61,0,4,57,896,115,250,531
"Berrien County School District, Georgia","1300390",18763,4445,2718,11600,13773,3133,2054,8586,4218,1216,518,2484,125,36,18,71,647,60,128,459
"Barrow County School District, Georgia","1300290",74650,9829,8362,56459,45259,6409,5708,33142,23031,2277,1769,18985,858,62,64,732,5502,1081,821,3600
"Bartow County School District, Georgia","1300330",82087,10385,9458,62244,52953,6917,6436,39600,24793,2856,2562,19375,533,11,45,477,3808,601,415,2792
"Ben Hill County School District, Georgia","1300360",16905,5139,1903,9863,13389,4226,1481,7682,2938,753,412,1773,60,0,0,60,518,160,10,348
"Bibb County School District, Georgia","1300420",147580,39473,16511,91596,114021,32160,13509,68352,27660,5947,2367,19346,870,211,93,566,5029,1155,542,3332
"Bleckley County School District, Georgia","1300440",11270,2591,1136,7543,9242,2076,948,6218,1784,455,138,1191,18,0,0,18,226,60,50,116
"Brantley County School District, Georgia","1300480",18246,3970,3381,10895,12492,2939,2235,7318,5303,997,1083,3223,209,5,33,171,242,29,30,183
"Bremen City School District, Georgia","1300510",6101,860,740,4501,4257,593,521,3143,1687,229,188,1270,69,38,15,16,88,0,16,72
"Brooks County School District, Georgia","1300540",15452,3641,1737,10074,10405,2559,1250,6596,4354,930,459,2965,82,0,8,74,611,152,20,439
"Bryan County School District, Georgia","1300570",34738,4897,2202,27639,17412,3044,1240,13128,15121,1452,698,12971,752,108,14,630,1453,293,250,910
"Buford City School District, Georgia","1300600",14519,2479,2007,10033,7358,1429,1058,4871,3963,403,362,3198,174,0,0,174,3024,647,587,1790
"Bulloch County School District, Georgia","1300630",66213,20153,6730,39330,47094,14972,5114,27008,16151,4276,1248,10627,666,186,2,478,2302,719,366,1217
"Burke County School District, Georgia","1300660",22289,6504,2567,13218,17552,5558,2092,9902,4084,889,360,2835,227,7,5,215,426,50,110,266
"Butts County School District, Georgia","1300690",20778,4892,2242,13644,16367,4111,1761,10495,3530,527,398,2605,320,125,5,190,561,129,78,354
"Calhoun City School District, Georgia","1300720",15548,4339,2497,8712,9087,2591,1274,5222,3459,728,515,2216,118,12,49,57,2884,1008,659,1217
"Calhoun County School District, Georgia","1300750",4582,1474,755,2353,4000,1333,647,2020,452,70,101,281,6,0,0,6,124,71,7,46
"Camden County School District, Georgia","1300780",50473,6413,5579,38481,17342,2566,2508,12268,29757,3507,2672,23578,1283,143,25,1115,2091,197,374,1520
"Candler County School District, Georgia","1300810",10602,3341,1597,5664,7981,2549,1199,4233,2005,457,371,1177,56,47,0,9,560,288,27,245
"Carroll County School District, Georgia","1300840",88394,14417,10740,63237,61196,10786,7969,42441,24160,3209,2415,18536,894,100,0,794,2144,322,356,1466
"Carrollton City School District, Georgia","1300870",22715,6288,3143,13284,15017,4506,2008,8503,5289,994,645,3650,256,134,0,122,2153,654,490,1009
"Cartersville City School District, Georgia","1300900",19462,4032,2725,12705,12526,2673,2028,7825,5280,777,443,4060,139,31,0,108,1517,551,254,712
"Catoosa County School District, Georgia","1300930",65233,7045,5535,52653,21411,3073,1936,16402,41913,3752,3369,34792,421,54,38,329,1488,166,192,1130
"Charlton County School District, Georgia","1300990",11780,2719,1166,7895,6693,1443,682,4568,4647,997,484,3166,217,186,0,31,223,93,0,130
"Chatham County School District, Georgia","1301020",272450,47119,25988,199343,152860,30256,16199,106405,97491,13156,7790,76545,4607,571,527,3509,17492,3136,1472,12884
"Chattahoochee County School District, Georgia","1301050",2486,603,250,1633,1475,421,174,880,928,163,60,705,69,19,2,48,14,0,14,0
"Chattooga County School District, Georgia","1301080",20605,4660,3044,12901,15463,3331,2529,9603,4773,1283,449,3041,90,15,24,51,279,31,42,206
"Cherokee County School District, Georgia","1301110",233748,22072,14157,197519,108468,11466,7107,89895,102077,7002,4547,90528,2875,85,243,2547,20328,3519,2260,14549
"Chickamauga City School District, Georgia","1301140",3139,576,232,2331,1408,180,67,1161,1674,385,165,1124,17,0,0,17,40,11,0,29
"Clarke County School District, Georgia","1301170",113233,38618,11857,62758,65113,24965,7301,32847,34516,9008,3037,22471,1367,480,76,811,12237,4165,1443,6629
"Clay County School District, Georgia","1301200",2968,1230,517,1221,2027,1003,273,751,932,227,244,461,0,0,0,0,9,0,0,9
"Clayton County School District, Georgia","1301230",268519,58701,35513,174305,139052,32064,19141,87847,87717,17755,9680,60282,4138,840,596,2702,37612,8042,6096,23474
"Coweta County School District, Georgia","1301500",137036,15900,9032,112104,78187,10089,5573,62525,48584,4099,1953,42532,1739,288,123,1328,8526,1424,1383,5719
"Crawford County School District, Georgia","1301530",12217,2207,1818,8192,9190,1724,1586,5880,2584,448,229,1907,191,9,3,179,252,26,0,226
"Colquitt County School District, Georgia","1301380",45141,11444,7718,25979,32165,7681,5079,19405,7686,2107,1426,4153,291,118,13,160,4999,1538,1200,2261
"Clinch County School District, Georgia","1301260",6686,2641,896,3149,5292,1944,706,2642,1201,574,190,437,9,0,0,9,184,123,0,61
"Cobb County School District, Georgia","1301290",670835,68196,50927,551712,257113,30246,22918,203949,297482,22840,15477,259165,11541,879,494,10168,104699,14231,12038,78430
"Coffee County School District, Georgia","1301350",39175,9348,4952,24875,29884,7306,3511,19067,6615,1484,754,4377,115,0,37,78,2561,558,650,1353
"Columbia County School District, Georgia","1301410",142975,12269,7088,123618,66674,6035,3658,56981,62638,4875,2576,55187,3639,255,258,3126,10024,1104,596,8324
"Commerce City School District, Georgia","1301440",6449,1311,500,4638,4504,1084,361,3059,1416,227,97,1092,70,0,9,61,459,0,33,426
"Cook County School District, Georgia","1301470",16968,4099,2594,10275,13363,3318,2044,8001,2979,692,491,1796,180,15,26,139,446,74,33,339
"Crisp County School District, Georgia","1301560",22541,7025,3630,11886,18921,6071,3181,9669,2928,726,291,1911,65,48,0,17,627,180,158,289
"Dade County School District, Georgia","1301590",14937,2619,1224,11094,5015,976,422,3617,9441,1618,734,7089,142,9,60,73,339,16,8,315
"Dalton City School District, Georgia","1301620",32999,7910,5168,19921,15980,3875,2469,9636,6653,1600,981,4072,601,72,32,497,9765,2363,1686,5716
"Dawson County School District, Georgia","1301650",23100,2729,1157,19214,14096,2048,643,11405,8102,589,370,7143,234,5,0,229,668,87,144,437
"Pierce County School District, Georgia","1304140",18990,3994,2145,12851,14496,2854,1679,9963,3994,1031,462,2501,58,0,0,58,442,109,4,329
"Pike County School District, Georgia","1304170",17524,2148,1127,14249,13161,1680,1032,10449,4060,426,70,3564,61,21,3,37,242,21,22,199
"Quitman County School District, Georgia","1304290",2140,488,341,1311,1156,266,243,647,894,216,98,580,0,0,0,0,90,6,0,84
"Randolph County School District, Georgia","1304350",6977,2449,1043,3485,5711,2187,820,2704,1125,255,213,657,0,0,0,0,141,7,10,124
"Pulaski County School District, Georgia","1304220",9828,2143,1265,6420,7332,1644,902,4786,2303,479,270,1554,67,0,0,67,126,20,93,13
"Putnam County School District, Georgia","1304260",21150,3425,2463,15262,14352,2235,1791,10326,5350,935,353,4062,134,2,0,132,1314,253,319,742
"Rabun County School District, Georgia","1304320",16045,3259,2110,10676,8486,1864,1263,5359,6454,1053,705,4696,208,18,29,161,897,324,113,460
"Richmond County School District, Georgia","1304380",192621,46692,23483,122446,122429,34462,15894,72073,58194,10189,6414,41591,4967,780,231,3956,7031,1261,944,4826
"Rockdale County School District, Georgia","1304410",87480,14232,10203,63045,46358,8051,4771,33536,30939,3974,3830,23135,1065,298,70,697,9118,1909,1532,5677
"Rome City School District, Georgia","1304440",34648,8504,4122,22022,23899,6325,2776,14798,6688,1221,668,4799,275,88,61,126,3786,870,617,2299
"Schley County School District, Georgia","1304470",5168,1148,664,3356,4224,950,601,2673,853,153,41,659,17,12,5,0,74,33,17,24
"Screven County School District, Georgia","1304500",13656,3092,2287,8277,11278,2711,1796,6771,2141,360,438,1343,69,19,0,50,168,2,53,113
"Seminole County School District, Georgia","1304530",8444,2149,869,5426,6281,1689,665,3927,2049,395,204,1450,6,0,0,6,108,65,0,43
"Social Circle City School District, Georgia","1304540",4303,507,635,3161,3165,507,468,2190,924,0,34,890,93,0,93,0,121,0,40,81
"Stephens County School District, Georgia","1304560",24898,4504,3482,16912,17880,3431,2367,12082,6344,973,784,4587,126,0,18,108,548,100,313,135
"Stewart County School District, Georgia","1304590",3954,1640,562,1752,3400,1568,511,1321,497,72,47,378,17,0,4,13,40,0,0,40
"Sumter County School District, Georgia","1304620",28600,9560,3439,15601,23054,8209,2773,12072,4504,1004,545,2955,104,18,0,86,938,329,121,488
"Talbot County School District, Georgia","1304650",6348,1070,1047,4231,5234,986,913,3335,940,76,119,745,98,8,0,90,76,0,15,61
"Taliaferro County School District, Georgia","1304680",1839,571,250,1018,1595,492,231,872,194,47,19,128,4,0,0,4,46,32,0,14
"Tattnall County School District, Georgia","1304770",19180,4548,2885,11747,13636,3369,2029,8238,4317,937,657,2723,331,40,48,243,896,202,151,543
"Taylor County School District, Georgia","1304800",8097,2285,1341,4471,7097,2002,1213,3882,840,159,112,569,68,55,0,13,92,69,16,7
"Telfair County School District, Georgia","1304830",13035,3608,2030,7397,11102,2889,1658,6555,1861,719,330,812,0,0,0,0,72,0,42,30
"Terrell County School District, Georgia","1304860",8643,3047,777,4819,7397,2805,709,3883,1176,236,68,872,20,0,0,20,50,6,0,44
"Toombs County School District, Georgia","1305040",16639,3750,2713,10176,13383,3051,2174,8158,2295,440,355,1500,50,0,27,23,911,259,157,495
"Thomas County School District, Georgia","1304890",25761,4262,3354,18145,17399,2996,2354,12049,7192,1048,832,5312,256,11,3,242,914,207,165,542
"Thomasville City School District, Georgia","1304950",18229,4318,3218,10693,12600,3455,2500,6645,5249,782,612,3855,162,44,88,30,218,37,18,163
"Tift County School District, Georgia","1304980",38582,10725,3885,23972,29920,8963,2989,17968,5893,1104,428,4361,140,0,12,128,2629,658,456,1515
"Towns County School District, Georgia","1305070",10340,1516,1144,7680,4849,936,649,3264,5215,529,445,4241,33,0,4,29,243,51,46,146
"Treutlen County School District, Georgia","1305100",6404,1347,754,4303,4807,988,497,3322,1312,197,211,904,49,0,19,30,236,162,27,47
"Trion City School District, Georgia","1305130",2325,492,455,1378,1597,301,268,1028,284,51,42,191,10,0,5,5,434,140,140,154
"Turner County School District, Georgia","1305190",7665,2137,675,4853,6261,1753,593,3915,1161,379,82,700,39,0,0,39,204,5,0,199
"Twiggs County School District, Georgia","1305220",8225,2244,1057,4924,7112,2051,876,4185,1003,193,181,629,7,0,0,7,103,0,0,103
"Union County School District, Georgia","1305250",21744,2788,2196,16760,10031,1367,1111,7553,10835,1247,1033,8555,325,103,23,199,553,71,29,453
"Upson County School District, Georgia","1305280",25572,5817,3406,16349,21306,4888,2856,13562,3516,573,481,2462,199,69,0,130,551,287,69,195
"Valdosta City School District, Georgia","1305310",53926,17363,8280,28283,35444,12726,5531,17187,15741,4017,2357,9367,693,122,31,540,2048,498,361,1189
"Vidalia City School District, Georgia","1305340",10374,2805,1650,5919,6831,2027,1056,3748,2563,535,516,1512,129,0,16,113,851,243,62,546
"Walker County School District, Georgia","1305370",63966,10947,8194,44825,31737,5593,4817,21327,31109,5217,3197,22695,296,0,26,270,824,137,154,533
"Walton County School District, Georgia","1305390",83084,10693,8176,64215,56449,7875,6015,42559,22054,1771,1788,18495,882,338,49,495,3699,709,324,2666
"Ware County School District, Georgia","1305430",33179,8240,4069,20870,26070,6745,3021,16304,5929,1331,779,3819,291,103,15,173,889,61,254,574
"Warren County School District, Georgia","1305460",5333,1427,700,3206,4670,1276,627,2767,507,94,63,350,5,3,0,2,151,54,10,87
"Washington County School District, Georgia","1305490",18740,5074,1814,11852,15870,4308,1577,9985,2469,553,222,1694,113,29,1,83,288,184,14,90
"Wayne County School District, Georgia","1305550",27469,5863,3379,18227,19981,3989,2391,13601,6510,1525,916,4069,263,40,27,196,715,309,45,361
