"","GEOID","B06011_001","B06011_002","B06011_003","B06011_004","B06011_005"
"Manchester Township School District, New Jersey","3409450",25359,26434,25284,24198,20599
"Maple Shade Township School District, New Jersey","3409660",32516,30710,36780,19625,35807
"Manasquan Borough School District, New Jersey","3409420",44938,46444,67594,15313,24722
"Manville Borough School District, New Jersey","3409630",31385,33821,30475,18295,29135
"Matawan-Aberdeen Regional School District, New Jersey","3409750",42989,37071,52329,43750,41104
"Maywood Borough School District, New Jersey","3409810",41638,44107,50417,32188,34735
"Middle Township School District, New Jersey","3410020",30286,30751,30034,13878,22011
"Middlesex Borough School District, New Jersey","3410050",30543,32998,36206,65455,27399
"Middletown Township School District, New Jersey","3410110",44288,40564,50957,32130,42554
"Millville City School District, New Jersey","3410320",25545,25751,26341,20164,29291
"Monroe Township School District (Middlesex County), New Jersey","3410500",40001,36005,37536,18041,56368
"Montclair Town School District, New Jersey","3410560",56628,50618,69789,61250,46978
"Montgomery Township School District, New Jersey","3410590",70820,44653,71275,97586,102031
"Moorestown Township School District, New Jersey","3410710",55095,45355,56742,76250,79732
"Morris Township School District, New Jersey","3410810",51167,52578,68659,25519,32917
"Mount Olive Township School District, New Jersey","3410980",44072,41912,53355,25938,40371
"New Providence Borough School District, New Jersey","3411310",67091,58578,78333,53816,77333
"Neptune Township School District, New Jersey","3411160",31614,33017,29010,38176,31291
"New Brunswick City School District, New Jersey","3411220",19290,17721,20475,19441,19541
"New Milford Borough School District, New Jersey","3411280",41599,40539,41146,45865,48973
"Newark City School District, New Jersey","3411340",20388,18535,20559,16192,22336
"North Arlington Borough School District, New Jersey","3411430",37297,37149,44444,88250,35692
"North Bergen Township School District, New Jersey","3411460",26691,30413,43767,25177,24785
"North Brunswick Township School District, New Jersey","3411490",39962,34439,46494,34070,40538
"North Plainfield Borough School District, New Jersey","3411640",31683,31673,36794,38702,29658
"Nutley Town School District, New Jersey","3411880",46121,44710,49471,26800,49606
"Oaklyn Borough School District, New Jersey","3411940",36048,35506,36927,2499,29688
"Palmyra Borough School District, New Jersey","3412390",35861,37299,34808,41324,26422
"Orange City Township School District, New Jersey","3412270",23950,24344,23597,16229,24255
"Palisades Park Borough School District, New Jersey","3412360",31001,26060,43733,58750,29740
"Paramus Borough School District, New Jersey","3412420",36174,34683,35427,17370,44003
"Parsippany-Troy Hills Township School District, New Jersey","3412480",42635,37426,47629,36719,49038
"Passaic City School District, New Jersey","3412540",20539,18733,28154,17468,20240
"Paterson City School District, New Jersey","3412690",20417,20866,23563,15026,20914
"Pemberton Township School District, New Jersey","3412810",31109,28291,36791,26667,28552
"Penns Grove-Carneys Point Regional School District, New Jersey","3412840",24342,24421,27180,21230,23759
"Pennsauken Township School District, New Jersey","3412870",30373,28906,33901,29264,28657
