"","GEOID","B06009_001","B06009_002","B06009_003","B06009_004","B06009_005","B06009_006","B06009_007","B06009_008","B06009_009","B06009_010","B06009_011","B06009_012","B06009_013","B06009_014","B06009_015","B06009_016","B06009_017","B06009_018","B06009_019","B06009_020","B06009_021","B06009_022","B06009_023","B06009_024","B06009_025","B06009_026","B06009_027","B06009_028","B06009_029","B06009_030"
"Aiken County, South Carolina","45003",115170,15950,36457,32992,18831,10940,43506,8171,16303,11041,5303,2688,64010,5894,17937,20317,12262,7600,1429,77,384,453,361,154,6225,1808,1833,1181,905,498
"Allendale County, South Carolina","45005",6676,1723,2678,1646,457,172,5128,1264,2307,1261,227,69,1359,405,340,349,211,54,76,25,20,11,0,20,113,29,11,25,19,29
"Newberry County, South Carolina","45071",25802,5044,9638,6696,3004,1420,19152,3751,7178,5189,2090,944,5039,513,1851,1349,878,448,184,22,99,49,14,0,1427,758,510,109,22,28
"Edgefield County, South Carolina","45037",19340,3579,6963,5030,2372,1396,8723,1952,3543,1880,952,396,9385,1046,3237,2896,1333,873,250,55,42,94,30,29,982,526,141,160,57,98
"Chester County, South Carolina","45023",22373,4447,8674,6055,2266,931,15934,3268,6595,4000,1554,517,6067,1068,2033,1982,607,377,59,14,28,16,1,0,313,97,18,57,104,37
"Clarendon County, South Carolina","45027",23956,4859,8897,6628,2357,1215,17108,3814,6706,4445,1458,685,6162,779,2014,2079,841,449,204,30,91,35,9,39,482,236,86,69,49,42
"Colleton County, South Carolina","45029",26057,3691,10665,7700,2701,1300,18945,2819,7979,5591,1683,873,6463,607,2404,2045,984,423,78,0,22,43,13,0,571,265,260,21,21,4
"Marion County, South Carolina","45067",21698,4616,7745,5768,2431,1138,16894,3657,6100,4464,1866,807,4016,784,1403,1138,420,271,77,0,0,62,0,15,711,175,242,104,145,45
"Sumter County, South Carolina","45085",69550,11658,21503,22818,8504,5067,41942,8609,14389,12401,4438,2105,23749,1921,6159,9430,3552,2687,941,173,144,463,102,59,2918,955,811,524,412,216
"Lexington County, South Carolina","45063",192759,20804,55400,58503,37529,20523,101462,11790,32733,30120,17995,8824,76094,4653,19300,24783,17353,10005,2770,192,624,1219,493,242,12433,4169,2743,2381,1688,1452
"Oconee County, South Carolina","45073",54468,8675,16793,15827,7719,5454,28321,5326,10664,8189,2617,1525,23161,2303,5519,7067,4716,3556,658,5,100,269,211,73,2328,1041,510,302,175,300
"Barnwell County, South Carolina","45011",14386,2904,5032,4769,1187,494,10101,2202,3821,3010,766,302,3958,579,1138,1653,421,167,95,4,60,14,0,17,232,119,13,92,0,8
"Berkeley County, South Carolina","45015",134623,15712,40346,47161,20946,10458,57888,8736,20073,18860,6613,3606,65232,4605,17048,24906,12440,6233,2426,211,655,1128,233,199,9077,2160,2570,2267,1660,420
"Charleston County, South Carolina","45019",272967,24540,61727,72365,72787,41548,123379,14959,37991,34020,24837,11572,129033,5030,19727,34594,43502,26180,3615,267,773,873,1029,673,16940,4284,3236,2878,3419,3123
"Darlington County, South Carolina","45031",46063,8583,16355,12914,5290,2921,34365,6908,12916,9225,3590,1726,10432,1318,3089,3505,1506,1014,235,5,95,76,45,14,1031,352,255,108,149,167
"Georgetown County, South Carolina","45043",44790,6062,12846,13739,7486,4657,23995,4061,8681,7097,2665,1491,18965,1377,3870,6283,4593,2842,428,120,43,70,119,76,1402,504,252,289,109,248
"Marlboro County, South Carolina","45069",19603,5063,8105,4695,1137,603,13756,3655,5796,3065,837,403,5031,1065,2063,1485,246,172,190,38,72,47,33,0,626,305,174,98,21,28
"York County, South Carolina","45091",167738,18331,44567,52750,35168,16922,61429,9201,19054,19157,9402,4615,93757,6382,22884,30969,22943,10579,2044,176,440,634,586,208,10508,2572,2189,1990,2237,1520
"Anderson County, South Carolina","45007",132734,20711,41818,42651,17584,9970,82356,14612,28212,25751,9166,4615,44930,4842,12320,15713,7348,4707,1057,143,221,259,355,79,4391,1114,1065,928,715,569
"Cherokee County, South Carolina","45021",37714,8183,13786,10073,3656,2016,25315,5817,9715,6350,2128,1305,11190,2062,3557,3466,1442,663,229,0,115,64,10,40,980,304,399,193,76,8
"Chesterfield County, South Carolina","45025",31679,7452,12930,7732,2329,1236,20119,4784,8712,4867,1034,722,10204,1976,4001,2696,1065,466,104,24,32,35,13,0,1252,668,185,134,217,48
"Greenwood County, South Carolina","45047",47073,7820,14503,13779,7105,3866,31324,5677,10400,9540,3992,1715,13186,903,3622,3857,2840,1964,351,74,36,128,75,38,2212,1166,445,254,198,149
"Jasper County, South Carolina","45053",19161,4057,6692,5572,1894,946,8041,1817,3138,2225,613,248,8972,1168,2931,3012,1176,685,96,7,8,69,12,0,2052,1065,615,266,93,13
"Horry County, South Carolina","45051",226485,24276,74237,75939,34246,17787,63442,9349,22703,20041,7457,3892,143102,9860,45787,50987,24016,12452,2768,284,666,1122,484,212,17173,4783,5081,3789,2289,1231
"Kershaw County, South Carolina","45055",43847,6101,16033,12752,5489,3472,26710,4237,10705,7455,2632,1681,15504,1518,4742,4904,2674,1666,420,11,109,189,78,33,1213,335,477,204,105,92
"Lee County, South Carolina","45061",12389,2760,5260,2929,979,461,10098,2413,4311,2257,808,309,2162,333,881,635,166,147,33,11,8,9,5,0,96,3,60,28,0,5
"Orangeburg County, South Carolina","45075",59344,9440,19082,18872,7166,4784,45657,8195,15466,13744,4948,3304,11972,1014,3241,4820,1859,1038,262,10,15,99,55,83,1453,221,360,209,304,359
"Spartanburg County, South Carolina","45083",199413,30135,57998,63802,30238,17240,114678,19186,36163,37188,14210,7931,66599,5865,16719,22469,13546,8000,1981,324,390,710,307,250,16155,4760,4726,3435,2175,1059
"Abbeville County, South Carolina","45001",17110,3687,5864,5042,1708,809,12540,2763,4431,3708,1149,489,4437,883,1414,1312,539,289,5,0,5,0,0,0,128,41,14,22,20,31
"Bamberg County, South Carolina","45009",9902,2086,3156,2769,1245,646,8170,1739,2689,2284,1005,453,1479,198,432,454,221,174,5,0,3,0,2,0,248,149,32,31,17,19
"Beaufort County, South Carolina","45013",126904,9262,28276,38806,29771,20789,25287,3189,8738,7907,3163,2290,87161,2531,15771,27314,24471,17074,1649,72,370,573,442,192,12807,3470,3397,3012,1695,1233
"Calhoun County, South Carolina","45017",10738,1536,4190,3053,1260,699,7412,1106,2916,2039,855,496,2955,311,1145,937,383,179,50,0,48,2,0,0,321,119,81,75,22,24
"Dillon County, South Carolina","45033",20367,5416,7496,5181,1574,700,15335,3950,5989,3680,1245,471,4435,1065,1354,1473,314,229,63,51,0,0,12,0,534,350,153,28,3,0
"Saluda County, South Carolina","45081",14049,3090,4984,3686,1554,735,9796,1757,3898,2673,1105,363,2663,346,821,824,361,311,150,52,14,64,20,0,1440,935,251,125,68,61
"Richland County, South Carolina","45079",251220,23536,56087,76837,57016,37744,129602,14747,34433,39025,26242,15155,98491,4974,17877,32316,25813,17511,5476,331,929,2018,1453,745,17651,3484,2848,3478,3508,4333
"Fairfield County, South Carolina","45039",16425,2870,6370,4290,2103,792,12936,2414,5430,3278,1434,380,3079,356,843,945,543,392,79,0,25,14,38,2,331,100,72,53,88,18
"Hampton County, South Carolina","45049",13920,2574,6044,3677,1069,556,10416,1944,4824,2567,744,337,2926,434,1072,920,288,212,92,22,35,15,13,7,486,174,113,175,24,0
"Greenville County, South Carolina","45045",330804,42136,82263,96155,70027,40223,148644,23361,46249,43724,23038,12272,145721,8405,28674,44854,40430,23358,4129,383,683,1307,1137,619,32310,9987,6657,6270,5422,3974
"Lancaster County, South Carolina","45057",61355,8825,20171,16981,10066,5312,30332,6364,12227,7483,2673,1585,27487,1847,6853,8841,6558,3388,603,15,63,179,319,27,2933,599,1028,478,516,312
"Dorchester County, South Carolina","45035",100767,10089,28130,34920,17690,9938,41593,5401,13148,13674,5933,3437,51065,3127,12810,19179,10286,5663,1886,116,488,651,444,187,6223,1445,1684,1416,1027,651
"Florence County, South Carolina","45041",92623,14743,30457,26556,13549,7318,64361,12325,22990,17409,7782,3855,24376,1690,6766,8091,4992,2837,618,40,100,283,140,55,3268,688,601,773,635,571
"Laurens County, South Carolina","45059",45268,8975,15764,13911,4320,2298,31452,6561,11440,9431,2655,1365,12063,1825,3827,4138,1454,819,472,17,186,128,79,62,1281,572,311,214,132,52
"McCormick County, South Carolina","45065",7963,1599,2502,2323,1073,466,4089,1213,1471,1126,241,38,3647,360,993,1084,792,418,72,0,11,37,24,0,155,26,27,76,16,10
"Pickens County, South Carolina","45077",76092,11669,23033,23459,10740,7191,42785,7684,14845,13112,4629,2515,28777,3134,7327,9133,5498,3685,783,102,61,393,114,113,3747,749,800,821,499,878
"Union County, South Carolina","45087",19686,3717,7775,5729,1566,899,15836,3040,6491,4577,1062,666,3607,597,1214,1102,461,233,48,0,9,5,34,0,195,80,61,45,9,0
"Williamsburg County, South Carolina","45089",22550,4490,9229,5991,1910,930,18158,3767,7660,4648,1415,668,3655,480,1427,1229,268,251,176,43,44,74,15,0,561,200,98,40,212,11
