"","GEOID","B07001_001","B07001_002","B07001_003","B07001_004","B07001_005","B07001_006","B07001_007","B07001_008","B07001_009","B07001_010","B07001_011","B07001_012","B07001_013","B07001_014","B07001_015","B07001_016","B07001_017","B07001_018","B07001_019","B07001_020","B07001_021","B07001_022","B07001_023","B07001_024","B07001_025","B07001_026","B07001_027","B07001_028","B07001_029","B07001_030","B07001_031","B07001_032","B07001_033","B07001_034","B07001_035","B07001_036","B07001_037","B07001_038","B07001_039","B07001_040","B07001_041","B07001_042","B07001_043","B07001_044","B07001_045","B07001_046","B07001_047","B07001_048","B07001_049","B07001_050","B07001_051","B07001_052","B07001_053","B07001_054","B07001_055","B07001_056","B07001_057","B07001_058","B07001_059","B07001_060","B07001_061","B07001_062","B07001_063","B07001_064","B07001_065","B07001_066","B07001_067","B07001_068","B07001_069","B07001_070","B07001_071","B07001_072","B07001_073","B07001_074","B07001_075","B07001_076","B07001_077","B07001_078","B07001_079","B07001_080","B07001_081","B07001_082","B07001_083","B07001_084","B07001_085","B07001_086","B07001_087","B07001_088","B07001_089","B07001_090","B07001_091","B07001_092","B07001_093","B07001_094","B07001_095","B07001_096"
"Aiken County, South Carolina","45003",163747,7707,26972,3883,10015,10703,10189,9187,9933,10267,11855,11827,11709,9860,7829,11811,142231,6097,23050,2951,7441,8101,8417,7835,8635,9418,11096,10627,10853,9273,7414,11023,13208,1146,2418,314,1898,1747,1125,811,581,597,515,633,444,191,264,524,2603,107,525,246,376,233,105,115,292,105,61,107,77,136,55,63,5334,348,874,327,284,608,535,386,411,114,152,442,335,249,86,183,371,9,105,45,16,14,7,40,14,33,31,18,0,11,10,18
"Allendale County, South Carolina","45005",9359,423,1338,271,651,510,691,741,427,627,660,646,663,779,371,561,8367,405,1148,266,563,420,506,617,336,539,608,623,650,777,371,538,286,0,166,0,3,5,65,0,12,25,0,0,10,0,0,0,600,18,0,0,85,85,100,124,28,57,52,23,3,2,0,23,106,0,24,5,0,0,20,0,51,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Newberry County, South Carolina","45071",37468,1828,6123,1196,2519,2238,1903,1893,2467,2321,2684,2925,2423,2436,1693,2819,33793,1537,5441,923,2136,1944,1541,1703,2231,2167,2527,2833,2354,2305,1548,2603,2185,186,606,35,205,104,256,153,156,67,65,38,11,78,83,142,988,105,28,188,115,144,102,18,54,63,28,10,55,13,24,41,412,0,48,48,54,46,4,19,26,14,53,44,3,34,12,7,90,0,0,2,9,0,0,0,0,10,11,0,0,6,26,26
"Edgefield County, South Carolina","45037",26497,947,3947,583,1680,1490,1759,1875,1722,1905,2003,1976,2021,1605,1227,1757,22941,694,3372,492,1310,1166,1320,1474,1517,1607,1754,1901,1931,1517,1193,1693,1211,144,269,60,123,114,63,126,63,79,50,32,25,25,4,34,1510,74,244,26,210,122,271,136,36,118,130,2,55,46,10,30,737,25,62,5,37,74,80,129,106,87,69,16,10,17,20,0,98,10,0,0,0,14,25,10,0,14,0,25,0,0,0,0
"Chester County, South Carolina","45023",31922,1415,5570,608,1956,1919,1693,1735,1914,2205,2396,2630,2234,2008,1397,2242,30043,1320,5160,569,1774,1771,1520,1663,1821,2093,2272,2581,2123,1889,1342,2145,900,82,119,37,138,23,96,8,40,67,91,28,50,56,18,47,674,13,216,2,33,118,43,64,22,11,33,15,7,54,12,31,276,0,75,0,11,7,34,0,31,34,0,6,54,9,2,13,29,0,0,0,0,0,0,0,0,0,0,0,0,0,23,6
"Clarendon County, South Carolina","45027",33792,1313,5225,728,2570,1984,1774,1713,1781,1973,2427,2081,3044,2494,1892,2793,30468,1040,4692,593,2083,1549,1563,1498,1648,1792,2247,1927,2883,2433,1835,2685,1604,191,380,24,223,215,134,111,42,44,56,70,31,23,18,42,1120,45,94,64,211,160,33,56,50,96,77,60,81,16,28,49,519,37,51,47,53,60,29,38,31,41,47,24,18,15,11,17,81,0,8,0,0,0,15,10,10,0,0,0,31,7,0,0
"Colleton County, South Carolina","45029",37272,1851,6432,590,2342,2305,1978,2130,2095,2328,2786,2439,2946,2610,1677,2763,33951,1573,5907,575,1941,1874,1779,1990,1801,2142,2708,2303,2698,2528,1631,2501,1781,157,436,15,86,320,24,116,221,45,20,93,135,39,6,68,947,28,75,0,161,111,116,9,46,53,52,6,55,34,36,165,587,93,14,0,154,0,59,15,27,88,0,37,58,9,4,29,6,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0
"Marion County, South Carolina","45067",31390,1582,5525,690,1895,2006,1682,2119,1508,1859,2174,1867,2905,2259,1207,2112,28323,1406,5063,593,1522,1506,1428,2035,1387,1758,1752,1783,2831,2135,1160,1964,1749,124,233,72,282,255,153,24,94,24,254,50,35,89,41,19,409,27,51,20,66,53,13,19,15,34,16,34,30,0,6,25,611,16,135,0,25,21,88,41,12,43,85,0,9,35,0,101,298,9,43,5,0,171,0,0,0,0,67,0,0,0,0,3
"Sumter County, South Carolina","45085",105784,5722,18968,2811,8733,7791,6698,6121,5962,6411,7202,6567,6613,5603,3851,6731,89421,4332,15654,2017,6306,5475,5078,5168,5267,5643,6615,6145,6226,5386,3715,6394,9921,878,2378,337,1337,1495,973,639,361,412,280,250,180,94,79,228,2401,142,383,160,396,339,176,109,114,114,178,66,116,43,36,29,3305,320,407,289,608,430,396,91,205,186,71,96,72,70,8,56,736,50,146,8,86,52,75,114,15,56,58,10,19,10,13,24
"Lexington County, South Carolina","45063",278628,13760,49463,5933,16713,19001,18584,18804,18294,19433,20380,18983,18184,14154,11096,15846,238596,11025,42225,4856,11403,13976,15191,15889,15652,17275,18596,17321,16942,13205,10437,14603,21378,1596,4634,464,2479,2576,1631,1590,1503,1166,881,827,632,499,282,618,10906,461,1569,382,1938,1625,1018,702,674,537,554,383,346,237,167,313,6451,624,861,183,787,699,566,539,348,338,331,294,208,188,183,302,1297,54,174,48,106,125,178,84,117,117,18,158,56,25,27,10
"Oconee County, South Carolina","45073",75190,3269,11434,1536,4483,4244,4147,4313,3831,4707,5097,5427,6058,5802,4301,6541,64936,2633,10002,848,2736,3103,3605,3761,3438,4195,4548,4816,5466,5484,4032,6269,5263,318,806,133,684,667,332,339,292,351,308,390,263,124,79,177,2834,190,494,473,709,285,109,124,50,93,91,45,30,56,68,17,2044,128,121,82,354,176,71,89,51,52,139,160,283,138,122,78,113,0,11,0,0,13,30,0,0,16,11,16,16,0,0,0
