"","GEOID","B07002_001","B07002_002","B07002_003","B07002_004","B07002_005","B07002_006"
"Aiken County, South Carolina","45003",41.6,44.2,26.9,25.7,31.9,25.8
"Newberry County, South Carolina","45071",41.8,43.5,26.6,25.6,36.5,70.9
"Edgefield County, South Carolina","45037",42.8,45.5,25.3,30.9,36.4,34.5
"Chester County, South Carolina","45023",42.4,43,33.6,27.9,40.4,73.2
"Clarendon County, South Carolina","45027",44.2,46.7,24.7,29.5,34.1,40.8
"Marion County, South Carolina","45067",40.5,42.1,28.7,25.8,38.3,26.1
"Sumter County, South Carolina","45085",36.7,40.8,25.2,26.3,25.5,32.8
"Lexington County, South Carolina","45063",39.3,41.6,27.9,27.9,30.6,32.8
"Oconee County, South Carolina","45073",45.4,48,30.7,20.9,40.2,45.2
"Barnwell County, South Carolina","45011",41.2,44.3,24.7,25.8,33.8,48.6
"Berkeley County, South Carolina","45015",36.3,39.1,26.6,27.8,24.4,40.6
"Charleston County, South Carolina","45019",37.6,40.6,28.8,25.5,28.7,27
"Darlington County, South Carolina","45031",41.8,44,24.9,23.9,32.4,63.3
"Georgetown County, South Carolina","45043",48.9,49.8,30.6,33.9,56.3,57.2
"Marlboro County, South Carolina","45069",40.3,42.4,25.8,31.6,35.1,20.9
"York County, South Carolina","45091",38.7,40.9,27,23.6,34.9,31.2
"Anderson County, South Carolina","45007",41,43.5,28.9,26,33,31.7
"Cherokee County, South Carolina","45021",39.4,41.7,25.4,34,42.1,24.7
"Chesterfield County, South Carolina","45025",42.2,43.7,32.3,33.1,31.8,73.4
"Greenwood County, South Carolina","45047",39.6,42.5,24.6,24.3,31.6,40.7
"Horry County, South Carolina","45051",44.8,46.9,28.4,34.3,47.1,50.6
"Kershaw County, South Carolina","45055",42.2,42.9,33.7,27.2,35.2,13.1
"Orangeburg County, South Carolina","45075",40.1,42.9,24.6,22.7,27,16.4
"Spartanburg County, South Carolina","45083",38.8,41.8,26.8,27.3,29.7,28.6
"Abbeville County, South Carolina","45001",44.2,45.1,38.9,29.3,24.8,44.1
"Beaufort County, South Carolina","45013",44.5,49.2,26.1,25.8,28.7,29.2
"Saluda County, South Carolina","45081",41,41.6,24.4,35.3,45.6,23.5
"Richland County, South Carolina","45079",33.4,38.7,25.6,23.4,20.7,27
"Fairfield County, South Carolina","45039",45.5,46.2,37.1,51.4,40.3,34.8
"Greenville County, South Carolina","45045",38.5,40.7,28.6,26.8,30.1,31.4
"Lancaster County, South Carolina","45057",42.4,43.8,31.1,26.9,37.6,43.5
"Dorchester County, South Carolina","45035",36.6,39,25.8,27.1,35.5,48
"Florence County, South Carolina","45041",39.3,41.3,28.5,24.9,34.6,32.3
"Laurens County, South Carolina","45059",41.2,44.5,28.4,26.5,34.8,22.5
"McCormick County, South Carolina","45065",52.9,56.6,30.6,29.6,43.5,30.9
"Pickens County, South Carolina","45077",36.7,42.6,23.9,21.1,22.1,29
"Union County, South Carolina","45087",44,46.7,29.1,25.9,46.3,30.1
"Williamsburg County, South Carolina","45089",42.1,43.6,34.5,29.3,28.7,38.2
