"","GEOID","B07009_001","B07009_002","B07009_003","B07009_004","B07009_005","B07009_006","B07009_007","B07009_008","B07009_009","B07009_010","B07009_011","B07009_012","B07009_013","B07009_014","B07009_015","B07009_016","B07009_017","B07009_018","B07009_019","B07009_020","B07009_021","B07009_022","B07009_023","B07009_024","B07009_025","B07009_026","B07009_027","B07009_028","B07009_029","B07009_030","B07009_031","B07009_032","B07009_033","B07009_034","B07009_035","B07009_036"
"Aiken County, South Carolina","45003",115170,15950,36457,32992,18831,10940,102692,14108,32764,28860,16883,10077,7432,1155,2416,2215,1270,376,1349,216,355,500,163,115,3501,425,896,1358,481,341,196,46,26,59,34,31
"Allendale County, South Carolina","45005",6676,1723,2678,1646,457,172,5985,1465,2439,1521,399,161,117,70,22,25,0,0,497,182,193,100,11,11,77,6,24,0,47,0,0,0,0,0,0,0
"Newberry County, South Carolina","45071",25802,5044,9638,6696,3004,1420,23756,4595,9000,6014,2790,1357,1153,260,399,370,104,20,552,106,180,195,42,29,262,58,21,117,52,14,79,25,38,0,16,0
"Edgefield County, South Carolina","45037",19340,3579,6963,5030,2372,1396,17073,3137,5915,4587,2104,1330,615,131,313,99,53,19,956,234,413,191,92,26,608,67,285,136,113,7,88,10,37,17,10,14
"Chester County, South Carolina","45023",22373,4447,8674,6055,2266,931,21220,4102,8305,5746,2154,913,524,189,193,124,18,0,410,111,146,101,34,18,190,26,30,74,60,0,29,19,0,10,0,0
"Clarendon County, South Carolina","45027",23956,4859,8897,6628,2357,1215,22060,4451,8221,5961,2242,1185,786,110,331,321,24,0,706,191,252,191,46,26,331,74,93,129,35,0,73,33,0,26,10,4
"Colleton County, South Carolina","45029",26057,3691,10665,7700,2701,1300,23955,3555,9819,7018,2460,1103,1087,74,385,496,96,36,683,62,262,140,67,152,326,0,199,40,78,9,6,0,0,6,0,0
"Marion County, South Carolina","45067",21698,4616,7745,5768,2431,1138,19739,4167,7015,5198,2257,1102,1038,259,386,362,23,8,245,33,140,47,9,16,435,154,137,118,14,12,241,3,67,43,128,0
"Sumter County, South Carolina","45085",69550,11658,21503,22818,8504,5067,61112,10567,18927,19647,7531,4440,4991,610,1912,1738,548,183,1320,320,341,481,97,81,1681,88,293,735,253,312,446,73,30,217,75,51
"Lexington County, South Carolina","45063",192759,20804,55400,58503,37529,20523,169087,17814,48868,50703,33244,18458,12205,1851,3356,4072,2055,871,6556,597,1933,2118,1180,728,3996,310,1072,1412,859,343,915,232,171,198,191,123
"Oconee County, South Carolina","45073",54468,8675,16793,15827,7719,5454,48717,7629,15416,13852,7033,4787,3322,685,925,1296,168,248,968,212,157,250,209,140,1359,149,295,352,296,267,102,0,0,77,13,12
"Barnwell County, South Carolina","45011",14386,2904,5032,4769,1187,494,12968,2578,4601,4212,1160,417,702,221,220,258,1,2,364,51,135,125,2,51,320,52,76,151,24,17,32,2,0,23,0,7
"Berkeley County, South Carolina","45015",134623,15712,40346,47161,20946,10458,116673,13547,35779,40286,17872,9189,7057,982,2035,3001,746,293,5557,615,1253,2140,1116,433,4789,394,1215,1628,1112,440,547,174,64,106,100,103
