"","GEOID","B07010_001","B07010_002","B07010_003","B07010_004","B07010_005","B07010_006","B07010_007","B07010_008","B07010_009","B07010_010","B07010_011","B07010_012","B07010_013","B07010_014","B07010_015","B07010_016","B07010_017","B07010_018","B07010_019","B07010_020","B07010_021","B07010_022","B07010_023","B07010_024","B07010_025","B07010_026","B07010_027","B07010_028","B07010_029","B07010_030","B07010_031","B07010_032","B07010_033","B07010_034","B07010_035","B07010_036","B07010_037","B07010_038","B07010_039","B07010_040","B07010_041","B07010_042","B07010_043","B07010_044","B07010_045","B07010_046","B07010_047","B07010_048","B07010_049","B07010_050","B07010_051","B07010_052","B07010_053","B07010_054","B07010_055","B07010_056","B07010_057","B07010_058","B07010_059","B07010_060","B07010_061","B07010_062","B07010_063","B07010_064","B07010_065","B07010_066"
"Aiken County, South Carolina","45003",135567,19046,116521,22695,13289,20945,15723,15680,11048,4048,13093,118694,16088,102606,19302,11482,18322,13870,13887,9896,3696,12151,10269,1725,8544,2048,1310,1668,1178,1069,571,267,433,2015,423,1592,550,148,206,179,218,176,54,61,4260,658,3602,711,334,710,496,506,391,31,423,329,152,177,84,15,39,0,0,14,0,25
"Allendale County, South Carolina","45005",7886,2445,5441,1332,1109,1194,818,617,120,80,171,7073,1877,5196,1220,1102,1158,777,607,120,53,159,149,88,61,30,0,0,21,0,0,0,10,582,474,108,56,7,33,0,10,0,0,2,82,6,76,26,0,3,20,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0
"Newberry County, South Carolina","45071",30935,4556,26379,4938,3337,5617,3977,3766,2119,767,1858,28103,3958,24145,4481,3050,4986,3713,3427,1991,723,1774,1501,266,1235,239,155,369,173,210,70,11,8,857,177,680,117,114,198,55,121,20,15,40,384,128,256,78,12,51,25,8,38,18,26,90,27,63,23,6,13,11,0,0,0,10
"Edgefield County, South Carolina","45037",22612,4045,18567,3845,2565,3635,2584,2248,1369,623,1698,19736,3197,16539,3270,2335,3130,2255,2072,1288,595,1594,896,177,719,209,124,201,103,19,23,24,16,1219,430,789,194,52,207,135,91,51,0,59,673,226,447,141,44,97,59,66,7,4,29,88,15,73,31,10,0,32,0,0,0,0
"Chester County, South Carolina","45023",26268,4513,21755,4946,3178,4189,2861,2798,1847,426,1510,24798,4201,20597,4540,2920,4028,2759,2604,1835,420,1491,706,115,591,289,105,86,37,71,0,0,3,517,128,389,102,124,54,37,57,6,6,3,218,69,149,15,16,11,28,60,6,0,13,29,0,29,0,13,10,0,6,0,0,0
"Clarendon County, South Carolina","45027",28539,4902,23637,6341,3498,4075,3392,2876,1610,538,1307,25974,4328,21646,5767,3153,3675,3076,2709,1512,498,1256,1046,162,884,293,178,175,113,86,24,15,0,990,279,711,195,113,146,130,60,21,15,31,456,107,349,75,54,79,58,21,43,10,9,73,26,47,11,0,0,15,0,10,0,11
"Colleton County, South Carolina","45029",30656,4644,26012,5223,3764,5841,3669,3634,1772,435,1674,28073,4382,23691,4538,3406,5336,3355,3403,1671,409,1573,1253,118,1135,360,148,244,134,107,48,24,70,844,43,801,195,144,168,114,119,33,0,28,480,101,379,130,66,93,60,5,20,2,3,6,0,6,0,0,0,6,0,0,0,0
"Marion County, South Carolina","45067",25533,4366,21167,5193,3751,4187,3323,2267,1232,334,880,23025,3954,19071,4471,3316,3682,3054,2178,1190,329,851,1398,127,1271,491,218,286,231,7,33,5,0,338,106,232,86,59,42,25,6,9,0,5,489,142,347,55,69,110,13,76,0,0,24,283,37,246,90,89,67,0,0,0,0,0
"Sumter County, South Carolina","45085",85440,12550,72890,16448,9063,13387,10977,9247,6282,2222,5264,73186,10780,62406,14170,7550,11041,9333,7868,5556,2099,4789,7083,920,6163,1193,1032,1411,1043,829,416,71,168,1946,420,1526,496,179,375,219,153,30,32,42,2638,276,2362,541,284,497,317,313,190,10,210,587,154,433,48,18,63,65,84,90,10,55
"Lexington County, South Carolina","45063",226933,27268,199665,31948,19266,32793,28880,31732,22300,8146,24600,195211,23074,172137,26568,16124,27533,24271,28372,19680,7398,22191,16249,2478,13771,2621,1511,2733,2348,1836,1273,431,1018,9266,1040,8226,1593,1013,1519,1461,901,788,220,731,5100,523,4577,862,464,801,725,564,530,86,545,1107,153,954,304,154,207,75,59,29,11,115
