"","GEOID","B07204_001","B07204_002","B07204_003","B07204_004","B07204_005","B07204_006","B07204_007","B07204_008","B07204_009","B07204_010","B07204_011","B07204_012","B07204_013","B07204_014","B07204_015","B07204_016","B07204_017","B07204_018","B07204_019"
"Aiken County, South Carolina","45003",163747,142231,21145,4111,4095,16,17034,9113,7921,2587,5334,727,681,3519,407,371,1,0,370
"Allendale County, South Carolina","45005",9359,8367,992,286,286,0,706,0,706,600,106,0,0,106,0,0,0,0,0
"Newberry County, South Carolina","45071",37468,33793,3585,580,580,0,3005,1605,1400,988,412,68,11,333,0,90,2,0,88
"Edgefield County, South Carolina","45037",26497,22941,3458,530,530,0,2928,681,2247,1510,737,130,49,497,61,98,80,0,18
"Chester County, South Carolina","45023",31922,30043,1850,257,257,0,1593,643,950,674,276,19,7,203,47,29,0,0,29
"Clarendon County, South Carolina","45027",33792,30468,3243,238,238,0,3005,1366,1639,1120,519,23,9,465,22,81,0,0,81
"Colleton County, South Carolina","45029",37272,33951,3315,255,255,0,3060,1526,1534,947,587,69,16,475,27,6,0,0,6
"Marion County, South Carolina","45067",31390,28323,2769,444,444,0,2325,1305,1020,409,611,152,8,301,150,298,0,0,298
"Sumter County, South Carolina","45085",105784,89421,15627,3652,3652,0,11975,6269,5706,2401,3305,620,418,1793,474,736,0,43,693
"Lexington County, South Carolina","45063",278628,238596,38735,3329,3307,22,35406,18071,17335,10884,6451,1469,874,3605,503,1297,3,128,1166
"Oconee County, South Carolina","45073",75190,64936,10141,688,688,0,9453,4575,4878,2834,2044,335,229,1308,172,113,0,0,113
"Barnwell County, South Carolina","45011",21522,18750,2737,428,428,0,2309,1065,1244,667,577,42,69,466,0,35,0,0,35
"Berkeley County, South Carolina","45015",201889,168913,32268,3320,3197,123,28948,9549,19399,8964,10435,1434,1351,5248,2402,708,50,14,644
"Charleston County, South Carolina","45019",382933,320011,61502,20714,20506,208,40788,14941,25847,11200,14647,3198,2327,7626,1496,1420,8,40,1372
"Darlington County, South Carolina","45031",66802,58759,7997,744,744,0,7253,3500,3753,2871,882,176,110,579,17,46,0,4,42
"Georgetown County, South Carolina","45043",60599,53528,7019,936,936,0,6083,2454,3629,1969,1660,503,292,800,65,52,2,0,50
"Marlboro County, South Carolina","45069",27199,24234,2903,425,425,0,2478,1122,1356,777,579,43,19,493,24,62,19,0,43
"York County, South Carolina","45091",248659,211599,36225,7491,7491,0,28734,11727,17007,6074,10933,1705,1120,7067,1041,835,1,0,834
"Anderson County, South Carolina","45007",191882,166262,25080,2702,2702,0,22378,12074,10304,6091,4213,473,593,2660,487,540,4,0,536
"Cherokee County, South Carolina","45021",55925,49785,6042,872,872,0,5170,3014,2156,1403,753,73,35,621,24,98,0,12,86
"Chesterfield County, South Carolina","45025",45723,40997,4637,988,988,0,3649,1622,2027,1275,752,154,1,576,21,89,0,0,89
"Greenwood County, South Carolina","45047",69422,59322,10036,1806,1803,3,8230,4014,4216,2592,1624,341,133,1082,68,64,0,0,64
"Jasper County, South Carolina","45053",27158,23702,3428,316,316,0,3112,850,2262,1289,973,226,49,635,63,28,0,0,28
"Horry County, South Carolina","45051",307568,258379,47985,5034,5034,0,42951,23570,19381,4517,14864,5134,1648,7716,366,1204,87,0,1117
"Kershaw County, South Carolina","45055",63030,58310,4456,305,305,0,4151,2309,1842,985,857,169,117,495,76,264,124,0,140
"Lee County, South Carolina","45061",17717,16421,1290,46,46,0,1244,448,796,689,107,33,43,23,8,6,0,0,6
"Orangeburg County, South Carolina","45075",88299,79777,8272,1165,1165,0,7107,4140,2967,2126,841,55,51,642,93,250,103,0,147
"Spartanburg County, South Carolina","45083",294405,249691,43892,5167,5106,61,38725,22796,15929,8680,7249,1308,697,4578,666,822,129,0,693
"Abbeville County, South Carolina","45001",24492,21886,2588,482,482,0,2106,529,1577,1226,351,6,50,295,0,18,0,0,18
"Bamberg County, South Carolina","45009",14688,13484,1193,78,78,0,1115,255,860,527,333,59,8,266,0,11,0,0,11
"Beaufort County, South Carolina","45013",177523,143742,32675,4086,4086,0,28589,11227,17362,2824,14538,3184,2153,7400,1801,1106,5,0,1101
"Calhoun County, South Carolina","45017",14726,13919,807,37,37,0,770,274,496,383,113,29,8,76,0,0,0,0,0
"Dillon County, South Carolina","45033",30670,27650,2977,238,238,0,2739,1782,957,579,378,38,0,340,0,43,0,0,43
"Saluda County, South Carolina","45081",19986,18720,1152,87,87,0,1065,387,678,381,297,0,0,217,80,114,0,0,114
"Richland County, South Carolina","45079",400360,310600,86958,12153,12130,23,74805,27459,47346,20389,26957,4721,4019,14006,4211,2802,134,41,2627
"Fairfield County, South Carolina","45039",22760,21590,1086,66,66,0,1020,613,407,253,154,1,0,153,0,84,5,0,79
"Hampton County, South Carolina","45049",19902,18267,1607,583,583,0,1024,378,646,174,472,32,75,303,62,28,0,0,28
"Greenville County, South Carolina","45045",483771,412257,67820,8622,8416,206,59198,32713,26485,11232,15253,2913,2520,8432,1388,3694,187,8,3499
"Lancaster County, South Carolina","45057",85557,75621,9709,953,953,0,8756,4269,4487,1525,2962,495,178,2186,103,227,2,11,214
"Dorchester County, South Carolina","45035",150070,126283,23138,3366,3117,249,19772,6896,12876,8003,4873,719,776,2688,690,649,0,0,649
"Florence County, South Carolina","45041",136605,119640,16830,2589,2589,0,14241,8732,5509,3628,1881,502,314,898,167,135,1,0,134
"Laurens County, South Carolina","45059",65900,55060,10658,1936,1916,20,8722,4151,4571,3384,1187,324,22,714,127,182,0,0,182
"McCormick County, South Carolina","45065",9654,8466,1166,51,51,0,1115,236,879,648,231,58,30,142,1,22,4,0,18
"Pickens County, South Carolina","45077",120142,96435,23191,2727,2705,22,20464,8007,12457,8094,4363,624,526,2937,276,516,0,24,492
"Union County, South Carolina","45087",27472,24131,3312,1008,1008,0,2304,1355,949,892,57,12,3,19,23,29,0,0,29
"Williamsburg County, South Carolina","45089",32046,29358,2496,149,149,0,2347,1291,1056,785,271,47,11,213,0,192,13,0,179
