"","GEOID","B06011_001","B06011_002","B06011_003","B06011_004","B06011_005"
"State House District HD-084 (2016), South Carolina","45084",23843,21379,24991,41439,25085
"State House District HD-085 (2016), South Carolina","45085",37692,35740,41647,29718,31205
"State House District HD-087 (2016), South Carolina","45087",35733,34717,38495,32097,24604
"State House District HD-088 (2016), South Carolina","45088",30746,27595,35233,29500,30443
"State House District HD-089 (2016), South Carolina","45089",25666,25396,27023,30940,23347
"State House District HD-091 (2016), South Carolina","45091",19710,18932,21530,31516,21557
"State House District HD-092 (2016), South Carolina","45092",30746,27332,32730,39659,26585
"State House District HD-094 (2016), South Carolina","45094",31802,30672,32913,31439,30643
"State House District HD-095 (2016), South Carolina","45095",21501,21183,22914,13872,23654
"State House District HD-097 (2016), South Carolina","45097",26087,24465,30845,36786,23313
"State House District HD-098 (2016), South Carolina","45098",35587,30162,40484,30132,32801
"State House District HD-100 (2016), South Carolina","45100",30587,29196,31465,17813,32750
"State House District HD-101 (2016), South Carolina","45101",18422,18824,18355,11765,15573
"State House District HD-102 (2016), South Carolina","45102",21059,20617,22014,28500,24432
"State House District HD-104 (2016), South Carolina","45104",26773,19787,29578,28889,21917
"State House District HD-105 (2016), South Carolina","45105",19110,20449,17265,16356,24442
"State House District HD-106 (2016), South Carolina","45106",26371,24945,26911,16797,25836
"State House District HD-107 (2016), South Carolina","45107",23425,20587,26013,18590,21568
"State House District HD-108 (2016), South Carolina","45108",29605,23858,33837,55881,26250
"State House District HD-109 (2016), South Carolina","45109",23544,21271,27111,28567,23414
"State House District HD-111 (2016), South Carolina","45111",21133,18908,26076,11806,25625
"State House District HD-112 (2016), South Carolina","45112",44688,31462,49701,49094,48785
"State House District HD-113 (2016), South Carolina","45113",21087,19473,26984,18979,18599
"State House District HD-114 (2016), South Carolina","45114",36770,33226,40304,38919,30956
"State House District HD-115 (2016), South Carolina","45115",40232,31743,44611,37007,41655
"State House District HD-117 (2016), South Carolina","45117",27118,24181,30441,23151,28625
"State House District HD-118 (2016), South Carolina","45118",28335,22587,31399,34103,25701
"State House District HD-119 (2016), South Carolina","45119",33451,29248,37868,38750,31779
"State House District HD-120 (2016), South Carolina","45120",33454,24132,35875,24597,28563
"State House District HD-121 (2016), South Carolina","45121",20578,19342,22257,36688,24638
"State House District HD-123 (2016), South Carolina","45123",34007,22515,40599,26648,23640
"State House District HD-124 (2016), South Carolina","45124",27254,23204,29590,40612,25611
"State House District HD-035 (2016), South Carolina","45035",31780,26612,37497,32986,32378
"State House District HD-036 (2016), South Carolina","45036",24011,22604,26961,22845,20471
"State House District HD-037 (2016), South Carolina","45037",25493,24739,27890,25761,23728
"State House District HD-038 (2016), South Carolina","45038",24484,22653,28019,32366,20869
"State House District HD-039 (2016), South Carolina","45039",23113,22862,26966,38092,18737
"State House District HD-040 (2016), South Carolina","45040",23654,23347,28790,31694,16114
"State House District HD-041 (2016), South Carolina","45041",21630,19040,31709,54018,28880
"State House District HD-042 (2016), South Carolina","45042",20536,20266,21546,30074,7933
"State House District HD-043 (2016), South Carolina","45043",26047,23999,29666,52946,26250
"State House District HD-046 (2016), South Carolina","45046",30184,28057,31745,28519,19761
"State House District HD-047 (2016), South Carolina","45047",31132,30029,31627,34509,26485
"State House District HD-049 (2016), South Carolina","45049",20173,17506,25386,23667,26000
"State House District HD-050 (2016), South Carolina","45050",20054,18720,24665,17951,24688
"State House District HD-052 (2016), South Carolina","45052",26366,23849,31660,32031,23438
"State House District HD-054 (2016), South Carolina","45054",19545,19534,19745,12120,20372
"State House District HD-055 (2016), South Carolina","45055",18405,18434,18008,11441,21196
"State House District HD-056 (2016), South Carolina","45056",25037,17833,27834,27008,20429
"State House District HD-057 (2016), South Carolina","45057",17700,17535,19799,26103,13265
"State House District HD-058 (2016), South Carolina","45058",21532,20836,22003,27311,22611
"State House District HD-059 (2016), South Carolina","45059",19484,18194,22486,28636,19744
"State House District HD-062 (2016), South Carolina","45062",19313,18977,21527,14883,17135
"State House District HD-063 (2016), South Carolina","45063",31061,28522,36412,25694,30688
"State House District HD-064 (2016), South Carolina","45064",18904,17566,22621,28382,15614
"State House District HD-066 (2016), South Carolina","45066",17114,16451,21635,53750,16500
"State House District HD-067 (2016), South Carolina","45067",27170,24228,31853,30243,21678
"State House District HD-068 (2016), South Carolina","45068",23676,21279,25483,35417,18454
"State House District HD-069 (2016), South Carolina","45069",35680,33484,36770,37794,38530
"State House District HD-070 (2016), South Carolina","45070",22254,21786,25081,31985,16075
"State House District HD-071 (2016), South Carolina","45071",36318,33998,40877,30032,26498
"State House District HD-072 (2016), South Carolina","45072",17769,17219,18109,15833,20713
"State House District HD-073 (2016), South Carolina","45073",21240,19576,25774,31101,15539
"State House District HD-074 (2016), South Carolina","45074",20277,18831,22445,26414,20972
"State House District HD-076 (2016), South Carolina","45076",24455,22023,28412,30426,22625
"State House District HD-077 (2016), South Carolina","45077",29223,23983,36839,37313,27980
"State House District HD-078 (2016), South Carolina","45078",33446,34493,32608,25290,36187
"State House District HD-079 (2016), South Carolina","45079",35512,35340,36929,21250,30617
"State House District HD-080 (2016), South Carolina","45080",28020,25927,33284,27500,23432
"State House District HD-081 (2016), South Carolina","45081",31045,25382,34106,21895,33715
"State House District HD-082 (2016), South Carolina","45082",18103,16883,19963,18300,20559
"State House District HD-083 (2016), South Carolina","45083",29042,26439,29398,47627,26553
"State House District HD-001 (2016), South Carolina","45001",22679,20915,28160,15000,18544
"State House District HD-002 (2016), South Carolina","45002",22152,20783,26087,26964,22092
"State House District HD-004 (2016), South Carolina","45004",23655,22845,25692,33125,21084
"State House District HD-005 (2016), South Carolina","45005",26014,25296,28096,26376,20466
"State House District HD-007 (2016), South Carolina","45007",21124,21020,21695,27177,16104
"State House District HD-009 (2016), South Carolina","45009",25082,22817,28001,17841,26280
"State House District HD-014 (2016), South Carolina","45014",22260,21311,25533,31821,21765
"State House District HD-015 (2016), South Carolina","45015",25654,25868,26743,26932,22457
"State House District HD-017 (2016), South Carolina","45017",22975,20716,25847,43125,23605
"State House District HD-018 (2016), South Carolina","45018",27276,25988,30241,19868,21068
"State House District HD-019 (2016), South Carolina","45019",20964,20089,25051,16771,19922
"State House District HD-020 (2016), South Carolina","45020",28467,27026,31686,29615,24018
"State House District HD-022 (2016), South Carolina","45022",30405,30207,32156,25625,25487
"State House District HD-023 (2016), South Carolina","45023",18471,15895,25058,35230,18329
"State House District HD-024 (2016), South Carolina","45024",32165,29243,37341,41422,28315
"State House District HD-025 (2016), South Carolina","45025",21168,20188,23030,30349,22266
"State House District HD-026 (2016), South Carolina","45026",39843,27834,43478,47750,40430
"State House District HD-027 (2016), South Carolina","45027",33963,31772,36715,31509,27039
"State House District HD-028 (2016), South Carolina","45028",32900,30578,37198,37857,29088
"State House District HD-029 (2016), South Carolina","45029",22211,21672,23688,36250,21952
"State House District HD-030 (2016), South Carolina","45030",21606,20424,25087,37500,21406
"State House District HD-031 (2016), South Carolina","45031",15868,14842,16201,28333,21788
"State House District HD-032 (2016), South Carolina","45032",27011,25520,31498,38598,23907
"State House District HD-033 (2016), South Carolina","45033",24893,23961,29134,17386,21359
"State House District HD-034 (2016), South Carolina","45034",28130,26754,30947,23021,27683
