"","GEOID","B06001_001","B06001_002","B06001_003","B06001_004","B06001_005","B06001_006","B06001_007","B06001_008","B06001_009","B06001_010","B06001_011","B06001_012","B06001_013","B06001_014","B06001_015","B06001_016","B06001_017","B06001_018","B06001_019","B06001_020","B06001_021","B06001_022","B06001_023","B06001_024","B06001_025","B06001_026","B06001_027","B06001_028","B06001_029","B06001_030","B06001_031","B06001_032","B06001_033","B06001_034","B06001_035","B06001_036","B06001_037","B06001_038","B06001_039","B06001_040","B06001_041","B06001_042","B06001_043","B06001_044","B06001_045","B06001_046","B06001_047","B06001_048","B06001_049","B06001_050","B06001_051","B06001_052","B06001_053","B06001_054","B06001_055","B06001_056","B06001_057","B06001_058","B06001_059","B06001_060"
"Newberry County School District, South Carolina","4503030",37914,2274,6123,3715,4141,4360,5005,2925,1092,1331,4129,2819,29360,2253,5183,2772,3136,2903,3676,2112,832,1006,3167,2320,6688,21,921,707,651,778,1044,674,246,286,900,460,198,0,2,12,39,12,81,31,0,0,21,0,1668,0,17,224,315,667,204,108,14,39,41,39
"Oconee County School District, South Carolina","4503060",75926,4005,11434,6019,8391,8144,9804,5427,2188,3870,10103,6541,44579,3501,9144,3613,5474,4591,5207,2873,982,1939,3953,3302,27637,449,1819,2208,2217,2965,3891,2381,1098,1650,5930,3029,779,0,104,17,52,59,231,82,100,66,24,44,2931,55,367,181,648,529,475,91,8,215,196,166
"Marlboro County School District, South Carolina","4502970",27505,1460,4111,2331,3876,3719,3872,1763,793,1044,2885,1651,19896,1110,3200,1830,2441,2428,2766,1293,579,753,2137,1359,6707,344,899,433,1155,1044,970,435,201,278,679,269,190,0,0,0,75,27,33,12,0,2,21,20,712,6,12,68,205,220,103,23,13,11,48,3
"McCormick County School District, South Carolina","4503000",9694,296,932,503,1105,984,1270,699,379,524,1984,1018,5332,199,705,339,645,709,791,314,239,288,756,347,4121,97,213,164,431,257,451,346,134,207,1197,624,86,0,14,0,25,3,23,17,0,0,4,0,155,0,0,0,4,15,5,22,6,29,27,47
"Orangeburg School District 3, South Carolina","4503150",19885,1097,2881,1599,2305,1889,2489,1334,867,996,2456,1972,15647,1090,2587,1422,1867,1353,1877,942,502,735,1887,1385,3986,7,294,176,342,472,592,383,364,248,549,559,69,0,0,0,24,27,16,2,0,0,0,0,183,0,0,1,72,37,4,7,1,13,20,28
"Orangeburg School District 4, South Carolina","4503180",19598,1568,3597,1663,2340,1783,3066,1324,493,745,2007,1012,17411,1558,3444,1523,2160,1533,2496,1130,413,688,1667,799,1959,10,153,134,131,231,484,175,76,57,335,173,20,0,0,0,0,0,15,1,4,0,0,0,208,0,0,6,49,19,71,18,0,0,5,40
"Orangeburg School District 5, South Carolina","4503210",49633,2469,8377,6521,5831,5366,6061,3163,1387,1984,4980,3494,38396,2239,7228,4706,4359,3932,4371,2317,1089,1457,3881,2817,9539,230,975,1533,1257,1182,1373,735,251,452,938,613,255,0,76,6,65,6,16,1,13,10,62,0,1443,0,98,276,150,246,301,110,34,65,99,64
"Pickens County School District, South Carolina","4503330",121449,6105,17568,21684,14129,13223,15154,8055,2780,3889,11154,7708,74484,5272,14521,11906,7870,7987,8225,4128,1437,2193,6027,4918,41352,774,2792,9009,4816,4145,6164,3441,1200,1527,4779,2705,1006,30,52,141,140,70,201,173,92,63,44,0,4607,29,203,628,1303,1021,564,313,51,106,304,85
"Richland School District 1, South Carolina","4503360",202972,12006,26530,38564,33615,21246,22739,12043,4524,6469,14966,10270,130790,10633,21686,21211,19659,12194,14067,7966,2819,4350,9600,6605,59976,1103,4048,14856,10922,6910,7252,3510,1550,1832,4746,3247,2504,47,130,574,378,389,406,178,54,60,210,78,9702,223,666,1923,2656,1753,1014,389,101,227,410,340
"Richland School District 2, South Carolina","4503390",137543,8597,26708,12592,18274,20751,18556,8818,3360,4515,10193,5179,69971,6893,18576,6562,8272,9531,6853,3659,1262,2040,4367,1956,53513,1446,6882,4945,7493,8581,9272,4347,1619,1936,4542,2450,4195,122,539,496,1038,851,408,222,154,144,157,64,9864,136,711,589,1471,1788,2023,590,325,395,1127,709
"Spartanburg School District 3, South Carolina","4503540",15488,662,2693,1225,1601,1993,2578,1288,410,548,1531,959,11320,619,2236,843,1066,1449,1696,829,312,395,1136,739,3466,43,380,283,380,491,684,414,98,142,392,159,17,0,0,0,0,0,17,0,0,0,0,0,685,0,77,99,155,53,181,45,0,11,3,61
"Saluda County School District, South Carolina","4503460",15629,1033,2570,1303,1617,2155,1904,1139,418,499,1675,1316,11133,975,2146,843,803,1333,1393,759,310,381,1280,910,2759,42,387,147,216,281,397,370,68,102,364,385,150,0,0,14,84,6,19,0,0,16,11,0,1587,16,37,299,514,535,95,10,40,0,20,21
"Spartanburg School District 1, South Carolina","4503480",29891,1195,5120,1950,2787,3839,4178,2617,839,1413,3753,2200,17989,1113,3574,1268,1829,2323,1830,1533,411,747,2103,1258,10505,82,1479,592,860,1142,2011,967,382,657,1467,866,244,0,44,27,36,0,79,16,12,5,25,0,1153,0,23,63,62,374,258,101,34,4,158,76
"Spartanburg School District 2, South Carolina","4503510",59709,3370,10023,6661,6303,7883,8546,4189,1393,1770,5999,3572,37528,2988,7311,4599,3878,4215,4560,2413,927,1024,3414,2199,17775,382,2158,1573,1758,2814,3218,1367,435,662,2248,1160,657,0,83,111,60,81,103,125,18,14,62,0,3749,0,471,378,607,773,665,284,13,70,275,213
"Spartanburg School District 4, South Carolina","4503570",20093,1325,3551,1694,2708,2509,2733,1143,495,771,2015,1149,14543,1136,3028,1229,2010,1644,1774,764,374,442,1333,809,4775,189,462,434,578,664,770,351,121,314,591,301,61,0,0,0,43,9,0,9,0,0,0,0,714,0,61,31,77,192,189,19,0,15,91,39
"Spartanburg School District 5, South Carolina","4503600",45670,3198,8416,3862,6355,5930,6213,2998,1019,1625,3703,2351,27151,2913,6160,2401,3672,3125,2750,1417,480,770,1984,1479,15329,247,2122,1214,2259,1965,2811,1144,483,827,1469,788,325,38,39,0,73,41,70,13,36,10,5,0,2865,0,95,247,351,799,582,424,20,18,245,84
"Spartanburg School District 6, South Carolina","4503630",66971,4151,12415,6849,9694,7878,9381,4445,1432,2015,5181,3530,41655,3877,9902,3978,5346,4365,4533,2402,808,1249,3375,1820,18254,266,2125,2172,2543,2020,3644,1579,507,622,1524,1252,754,8,112,33,135,91,136,100,46,22,59,12,6308,0,276,666,1670,1402,1068,364,71,122,223,446
"Spartanburg School District 7, South Carolina","4503660",51472,3461,7914,5468,6775,5372,6551,3350,1386,1919,4891,4385,34275,3036,6339,3553,4487,3045,4058,1847,752,1209,3128,2821,14198,362,1332,1668,1814,1747,2002,1120,552,628,1531,1442,482,54,114,29,42,52,125,25,13,0,22,6,2517,9,129,218,432,528,366,358,69,82,210,116
"Union County School District, South Carolina","4503750",27772,1512,4415,2159,2978,3266,3949,2028,1125,1042,3082,2216,23338,1502,4108,1892,2459,2481,3174,1784,886,786,2596,1670,4162,10,303,242,465,676,749,244,239,256,475,503,48,0,0,0,0,5,5,0,0,0,4,34,224,0,4,25,54,104,21,0,0,0,7,9
"Williamsburg County School District, South Carolina","4503780",32256,1651,5296,2759,3844,3709,4222,2532,1078,1224,3658,2283,26730,1570,4791,2211,2894,2557,3330,2120,891,1030,3249,2087,4677,56,497,469,679,901,787,388,187,194,329,190,274,25,8,65,54,101,12,0,0,0,9,0,575,0,0,14,217,150,93,24,0,0,71,6
"York School District 1, South Carolina","4503810",32555,1982,5315,2782,4233,3885,5221,2235,705,1306,3045,1846,17693,1225,3596,1589,2064,1906,2433,1229,284,713,1598,1056,13635,757,1690,1132,1625,1812,2562,975,413,542,1375,752,191,0,0,0,70,18,56,9,0,13,18,7,1036,0,29,61,474,149,170,22,8,38,54,31
"York School District 2, South Carolina","4503840",39986,2299,7929,2702,4451,5288,6373,2806,1186,1446,3489,2017,9317,860,2107,825,934,756,1092,440,256,382,972,693,28636,1428,5622,1728,3243,4172,4938,2175,801,926,2356,1247,541,11,148,36,106,54,39,24,43,21,30,29,1492,0,52,113,168,306,304,167,86,117,131,48
"York School District 3, South Carolina","4503870",116548,7308,18912,12854,16078,15346,14561,7466,3452,4083,10063,6425,61287,4855,11947,7277,8213,7008,6838,3668,1405,2308,4662,3106,49120,2384,6527,4982,6806,6692,6860,3596,1709,1691,4821,3052,1160,46,160,174,186,126,222,46,53,14,120,13,4981,23,278,421,873,1520,641,156,285,70,460,254
"York School District 4, South Carolina","4503900",62575,4199,14076,3568,6328,10436,10487,3547,1224,1961,4523,2226,11651,1043,2274,921,1390,1468,1656,506,412,451,1049,481,45152,2952,11220,2364,4272,7344,7406,2741,739,1378,3217,1519,833,0,57,49,79,271,231,59,8,21,39,19,4939,204,525,234,587,1353,1194,241,65,111,218,207
"Remainder of South Carolina, South Carolina","4599999",17425,692,1434,10827,2736,991,196,126,33,106,208,76,1581,399,287,252,162,93,52,78,14,92,95,57,14196,293,1005,9827,1953,802,112,48,14,14,113,15,615,0,122,362,82,17,28,0,0,0,0,4,1033,0,20,386,539,79,4,0,5,0,0,0
"Dillon School District 4, South Carolina","4501920",23724,1722,4350,1999,3237,2636,3039,1795,707,678,2100,1461,18445,1653,3568,1636,2462,1703,2281,1408,577,542,1544,1071,4346,20,497,287,464,824,715,333,130,135,551,390,175,49,66,0,0,9,0,51,0,0,0,0,758,0,219,76,311,100,43,3,0,1,5,0
"Marion School District 10, South Carolina","4503908",31765,1957,5525,2585,3688,3627,4033,1867,1303,1602,3466,2112,25913,1891,4929,2199,2926,2944,2716,1507,1067,1207,2951,1576,4991,52,539,384,518,551,1114,327,178,316,476,536,91,14,0,0,17,0,21,11,7,21,0,0,770,0,57,2,227,132,182,22,51,58,39,0
"Sumter County Consolidated School District, South Carolina","4503902",107379,7317,18968,11544,14489,12083,13613,6567,3006,3607,9454,6731,70507,6289,14710,7566,8279,7049,7848,4004,2063,2457,5688,4554,31709,875,3581,3504,5249,4098,4910,2212,910,1109,3310,1951,1668,140,324,263,272,189,289,115,0,7,40,29,3495,13,353,211,689,747,566,236,33,34,416,197
"Aiken County School District, South Carolina","4500720",168214,9856,27265,14082,21285,19308,22580,11987,4873,7070,17960,11948,68131,4830,11925,6468,6803,7001,9119,5284,1830,2622,7367,4882,90608,4856,14657,6780,12454,10236,11871,6131,2883,4239,9876,6625,1904,35,236,190,407,427,333,56,65,39,77,39,7571,135,447,644,1621,1644,1257,516,95,170,640,402
"Anderson School District 1, South Carolina","4500780",53669,3503,10670,3493,5920,7272,8180,3589,1178,1959,5036,2869,36159,3200,8875,2448,3619,4259,4533,2141,747,1339,3039,1959,15414,286,1664,915,1972,2481,3290,1254,370,540,1800,842,509,17,56,0,43,173,83,120,0,17,0,0,1587,0,75,130,286,359,274,74,61,63,197,68
"Dorchester School District 4, South Carolina","4500002",18105,1201,2520,1382,2743,1970,2576,1321,650,747,1824,1171,14156,1148,2195,1147,2180,1297,1670,904,569,621,1436,989,3652,53,325,235,511,541,847,400,64,126,388,162,96,0,0,0,0,55,22,6,13,0,0,0,201,0,0,0,52,77,37,11,4,0,0,20
"Abbeville County School District, South Carolina","4500690",23617,1283,3745,2381,2250,2694,3062,1523,675,1349,2884,1771,18001,1217,3250,1711,1771,1960,2033,1123,517,1028,2059,1332,5322,66,407,597,456,668,1003,400,158,313,820,434,63,0,19,39,0,0,0,0,0,0,0,5,231,0,69,34,23,66,26,0,0,8,5,0
"Allendale County School District, South Carolina","4500750",9402,466,1338,922,1201,1168,1287,646,234,429,1150,561,7471,430,1099,814,974,816,955,521,192,411,803,456,1742,36,239,108,181,298,293,119,42,15,306,105,76,0,0,0,0,17,34,6,0,0,19,0,113,0,0,0,46,37,5,0,0,3,22,0
"Anderson School District 2, South Carolina","4500810",22972,1315,4080,1746,2474,2959,2861,1670,771,1037,2282,1777,17612,1173,3510,1468,2072,2104,1892,1098,651,825,1513,1306,5165,142,570,278,364,807,942,554,120,212,769,407,42,0,0,0,0,25,9,0,0,0,0,8,153,0,0,0,38,23,18,18,0,0,0,56
"Anderson School District 3, South Carolina","4500840",14684,909,2844,1011,1796,1942,1809,1210,437,475,1360,891,11424,820,2612,918,1524,1372,1260,810,289,342,875,602,3054,89,232,81,240,541,489,393,148,114,465,262,27,0,0,0,0,0,15,0,0,0,0,12,179,0,0,12,32,29,45,7,0,19,20,15
"Anderson School District 4, South Carolina","4500870",21360,1208,2839,1812,2476,2758,3028,1594,543,901,2584,1617,13923,1103,2364,1443,1392,1893,1776,967,296,504,1283,902,6740,105,404,343,925,733,1189,582,247,337,1187,688,133,0,0,0,40,55,0,0,0,38,0,0,564,0,71,26,119,77,63,45,0,22,114,27
"Bamberg School District 2, South Carolina","4500960",6693,393,759,1305,662,598,668,566,133,271,934,404,5361,346,644,767,486,540,553,505,127,245,786,362,1194,47,115,521,66,58,111,54,6,26,148,42,9,0,0,9,0,0,0,0,0,0,0,0,129,0,0,8,110,0,4,7,0,0,0,0
