"","GEOID","B07001_001","B07001_002","B07001_003","B07001_004","B07001_005","B07001_006","B07001_007","B07001_008","B07001_009","B07001_010","B07001_011","B07001_012","B07001_013","B07001_014","B07001_015","B07001_016","B07001_017","B07001_018","B07001_019","B07001_020","B07001_021","B07001_022","B07001_023","B07001_024","B07001_025","B07001_026","B07001_027","B07001_028","B07001_029","B07001_030","B07001_031","B07001_032","B07001_033","B07001_034","B07001_035","B07001_036","B07001_037","B07001_038","B07001_039","B07001_040","B07001_041","B07001_042","B07001_043","B07001_044","B07001_045","B07001_046","B07001_047","B07001_048","B07001_049","B07001_050","B07001_051","B07001_052","B07001_053","B07001_054","B07001_055","B07001_056","B07001_057","B07001_058","B07001_059","B07001_060","B07001_061","B07001_062","B07001_063","B07001_064","B07001_065","B07001_066","B07001_067","B07001_068","B07001_069","B07001_070","B07001_071","B07001_072","B07001_073","B07001_074","B07001_075","B07001_076","B07001_077","B07001_078","B07001_079","B07001_080","B07001_081","B07001_082","B07001_083","B07001_084","B07001_085","B07001_086","B07001_087","B07001_088","B07001_089","B07001_090","B07001_091","B07001_092","B07001_093","B07001_094","B07001_095","B07001_096"
"Newberry County School District, South Carolina","4503030",37468,1828,6123,1196,2519,2238,1903,1893,2467,2321,2684,2925,2423,2436,1693,2819,33793,1537,5441,923,2136,1944,1541,1703,2231,2167,2527,2833,2354,2305,1548,2603,2185,186,606,35,205,104,256,153,156,67,65,38,11,78,83,142,988,105,28,188,115,144,102,18,54,63,28,10,55,13,24,41,412,0,48,48,54,46,4,19,26,14,53,44,3,34,12,7,90,0,0,2,9,0,0,0,0,10,11,0,0,6,26,26
"Oconee County School District, South Carolina","4503060",75190,3269,11434,1536,4483,4244,4147,4313,3831,4707,5097,5427,6058,5802,4301,6541,64936,2633,10002,848,2736,3103,3605,3761,3438,4195,4548,4816,5466,5484,4032,6269,5263,318,806,133,684,667,332,339,292,351,308,390,263,124,79,177,2834,190,494,473,709,285,109,124,50,93,91,45,30,56,68,17,2044,128,121,82,354,176,71,89,51,52,139,160,283,138,122,78,113,0,11,0,0,13,30,0,0,16,11,16,16,0,0,0
"Marlboro County School District, South Carolina","4502970",27199,1154,4111,597,1734,1892,1984,2002,1717,1819,2053,1763,1837,1920,965,1651,24234,867,3936,525,1212,1433,1716,1707,1485,1709,1884,1679,1696,1825,938,1622,1547,241,102,41,355,166,88,142,77,57,122,2,81,34,16,23,777,44,12,25,77,160,133,106,71,27,25,65,1,14,11,6,579,2,46,6,73,114,47,47,84,23,20,17,53,47,0,0,62,0,15,0,17,19,0,0,0,3,2,0,6,0,0,0
"McCormick County School District, South Carolina","4503000",9654,256,932,93,410,578,527,581,403,557,713,699,903,1003,981,1018,8466,177,789,38,307,422,387,527,338,445,657,653,826,972,936,992,287,16,38,12,36,25,56,10,4,19,19,6,30,6,0,10,648,60,83,39,27,126,38,43,41,85,26,16,33,12,16,3,231,3,22,4,40,5,30,1,20,8,11,24,14,13,23,13,22,0,0,0,0,0,16,0,0,0,0,0,0,0,6,0
"Orangeburg School District 3, South Carolina","4503150",19611,823,2881,483,1116,1272,1033,1003,886,994,1495,1334,1863,1440,1016,1972,17794,632,2503,476,954,938,901,867,833,994,1333,1267,1828,1337,1004,1927,1264,155,284,4,108,275,91,93,9,0,112,57,16,37,2,21,403,36,91,0,54,27,34,43,24,0,36,9,5,34,10,0,140,0,3,0,0,32,7,0,20,0,14,1,14,25,0,24,10,0,0,3,0,0,0,0,0,0,0,0,0,7,0,0
"Orangeburg School District 4, South Carolina","4503180",19369,1339,3597,367,1296,1117,1223,874,909,1552,1514,1324,1238,1000,1007,1012,17935,1077,3164,346,1094,941,1105,836,859,1528,1452,1316,1238,991,1000,988,1262,253,389,21,151,159,93,38,37,17,61,7,0,9,7,20,126,9,44,0,39,1,25,0,0,7,1,0,0,0,0,0,46,0,0,0,12,16,0,0,13,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Orangeburg School District 5, South Carolina","4503210",49319,2155,8377,1982,4539,3300,2531,2788,2578,2770,3291,3163,3371,2930,2050,3494,44048,1711,7356,1389,3764,2845,2224,2436,2406,2628,3057,3006,3192,2818,1890,3326,2779,380,498,66,427,303,180,192,80,71,101,96,135,58,119,73,1597,40,195,444,249,102,101,100,55,55,118,41,14,41,3,39,655,24,183,66,82,50,26,51,35,6,15,6,30,13,38,30,240,0,145,17,17,0,0,9,2,10,0,14,0,0,0,26
"Pickens County School District, South Carolina","4503330",120142,4798,17568,6849,14835,7736,6393,5894,7329,7192,7962,8055,6669,6187,4967,7708,96435,3827,15188,2794,7623,5639,5253,4943,6178,6552,7054,7355,6208,5865,4718,7238,10712,513,1343,439,3888,1306,627,423,373,337,404,333,236,127,140,223,8116,169,674,2304,2432,528,290,251,327,208,295,180,85,122,80,171,4363,271,349,1305,739,174,185,268,337,64,201,187,124,73,29,57,516,18,14,7,153,89,38,9,114,31,8,0,16,0,0,19
"Richland School District 1, South Carolina","4503360",200779,9813,26530,11632,26932,18742,14873,11188,10058,10675,12064,12043,10993,8981,5985,10270,149832,7564,20910,3104,13978,12527,10528,8749,8534,8977,10436,10703,10101,8515,5626,9580,25825,1524,3106,1739,7356,3489,2338,1201,776,979,1038,905,483,235,201,455,14322,495,1356,3328,3619,1508,1262,709,466,426,279,248,222,156,132,116,9108,187,947,3280,1514,922,609,353,228,279,306,155,131,68,26,103,1692,43,211,181,465,296,136,176,54,14,5,32,56,7,0,16
"Richland School District 2, South Carolina","4503390",135962,7016,26708,2997,9595,8482,9792,9621,11130,9260,9296,8818,7875,5944,4249,5179,115912,5635,23027,2587,7106,5873,7777,8585,9396,8303,8189,7882,7254,5597,3922,4779,11566,882,2108,261,1435,1553,950,674,1112,617,601,466,421,125,187,174,3727,74,812,46,601,587,351,102,246,147,144,169,102,119,112,115,3957,343,618,98,410,457,600,185,268,159,229,288,90,81,28,103,800,82,143,5,43,12,114,75,108,34,133,13,8,22,0,8
"Spartanburg School District 3, South Carolina","4503540",15422,596,2693,390,835,847,754,887,1106,1198,1380,1288,958,1056,475,959,13345,353,2203,368,636,627,596,704,938,1083,1325,1182,923,1014,462,931,1270,158,276,22,65,142,149,115,118,37,25,62,22,38,13,28,274,42,59,0,38,37,9,37,19,17,16,0,0,0,0,0,512,43,155,0,92,24,0,31,31,61,14,44,13,4,0,0,21,0,0,0,4,17,0,0,0,0,0,0,0,0,0,0
