"","GEOID","B07009_001","B07009_002","B07009_003","B07009_004","B07009_005","B07009_006","B07009_007","B07009_008","B07009_009","B07009_010","B07009_011","B07009_012","B07009_013","B07009_014","B07009_015","B07009_016","B07009_017","B07009_018","B07009_019","B07009_020","B07009_021","B07009_022","B07009_023","B07009_024","B07009_025","B07009_026","B07009_027","B07009_028","B07009_029","B07009_030","B07009_031","B07009_032","B07009_033","B07009_034","B07009_035","B07009_036"
"Newberry County School District, South Carolina","4503030",25802,5044,9638,6696,3004,1420,23756,4595,9000,6014,2790,1357,1153,260,399,370,104,20,552,106,180,195,42,29,262,58,21,117,52,14,79,25,38,0,16,0
"Oconee County School District, South Carolina","4503060",54468,8675,16793,15827,7719,5454,48717,7629,15416,13852,7033,4787,3322,685,925,1296,168,248,968,212,157,250,209,140,1359,149,295,352,296,267,102,0,0,77,13,12
"Marlboro County School District, South Carolina","4502970",19603,5063,8105,4695,1137,603,17694,4497,7274,4269,1090,564,808,190,433,153,17,15,619,246,216,107,30,20,452,107,176,165,0,4,30,23,6,1,0,0
"McCormick County School District, South Carolina","4503000",7963,1599,2502,2323,1073,466,7155,1334,2268,2202,923,428,185,12,77,33,63,0,439,239,104,50,46,0,162,14,53,34,41,20,22,0,0,4,0,18
"Orangeburg School District 3, South Carolina","4503150",14308,2755,6007,3577,1278,691,13229,2600,5376,3394,1184,675,713,118,443,133,12,7,222,16,104,50,50,2,137,21,77,0,32,7,7,0,7,0,0,0
"Orangeburg School District 4, South Carolina","4503180",12770,1901,4199,4628,1314,728,12254,1783,4070,4428,1300,673,448,109,98,183,9,49,34,9,18,0,1,6,34,0,13,17,4,0,0,0,0,0,0,0
"Orangeburg School District 5, South Carolina","4503210",32266,4784,8876,10667,4574,3365,29828,4281,8129,10036,4247,3135,1408,333,590,277,118,90,669,91,113,224,186,55,300,55,44,118,23,60,61,24,0,12,0,25
"Pickens County School District, South Carolina","4503330",76092,11669,23033,23459,10740,7191,67003,10058,20569,20891,9393,6092,4529,1018,1396,1095,647,373,2537,442,630,889,418,158,1699,132,374,459,269,465,324,19,64,125,13,103
"Richland School District 1, South Carolina","4503360",125872,15851,31180,36105,24401,18335,104276,12602,25982,29621,20240,15831,12100,1566,2674,4218,2362,1280,5524,1320,1646,1343,825,390,3180,279,774,724,768,635,792,84,104,199,206,199
"Richland School District 2, South Carolina","4503390",89646,6281,18186,29166,22233,13780,77557,5573,15889,24463,19512,12120,6880,547,1448,2653,1577,655,2194,79,403,692,493,527,2488,46,441,1159,514,328,527,36,5,199,137,150
"Spartanburg School District 3, South Carolina","4503540",10908,2043,4148,2965,1110,642,9785,1912,3775,2645,936,517,749,93,239,188,131,98,135,16,32,67,20,0,222,22,102,65,23,10,17,0,0,0,0,17
"Saluda County School District, South Carolina","4503460",10723,2493,3738,2823,1202,467,10234,2328,3572,2709,1171,454,201,45,99,48,9,0,117,14,41,35,14,13,138,89,26,15,8,0,33,17,0,16,0,0
"Spartanburg School District 1, South Carolina","4503480",21626,3652,6455,6894,2960,1665,19440,3279,5769,6073,2750,1569,1467,240,472,570,115,70,356,102,106,115,12,21,340,31,108,124,72,5,23,0,0,12,11,0
"Spartanburg School District 2, South Carolina","4503510",39655,5305,11729,14061,5675,2885,35351,4635,10632,12357,5036,2691,2429,350,699,1108,232,40,787,94,120,358,100,115,864,77,203,238,307,39,224,149,75,0,0,0
"Spartanburg School District 4, South Carolina","4503570",13523,2606,4355,4317,1467,778,11344,2105,3680,3409,1393,757,964,220,308,376,50,10,876,197,214,453,12,0,310,84,135,68,12,11,29,0,18,11,0,0
"Spartanburg School District 5, South Carolina","4503600",30194,3427,8558,10484,5041,2684,26638,3092,7518,9149,4415,2464,2144,203,684,943,207,107,764,73,166,202,222,101,630,53,190,181,194,12,18,6,0,9,3,0
"Spartanburg School District 6, South Carolina","4503630",43556,6280,12818,13970,6358,4130,37461,5211,10997,12026,5496,3731,4033,869,1296,1307,330,231,981,126,277,265,295,18,927,36,219,348,184,140,154,38,29,24,53,10
