"","GEOID","B07010_001","B07010_002","B07010_003","B07010_004","B07010_005","B07010_006","B07010_007","B07010_008","B07010_009","B07010_010","B07010_011","B07010_012","B07010_013","B07010_014","B07010_015","B07010_016","B07010_017","B07010_018","B07010_019","B07010_020","B07010_021","B07010_022","B07010_023","B07010_024","B07010_025","B07010_026","B07010_027","B07010_028","B07010_029","B07010_030","B07010_031","B07010_032","B07010_033","B07010_034","B07010_035","B07010_036","B07010_037","B07010_038","B07010_039","B07010_040","B07010_041","B07010_042","B07010_043","B07010_044","B07010_045","B07010_046","B07010_047","B07010_048","B07010_049","B07010_050","B07010_051","B07010_052","B07010_053","B07010_054","B07010_055","B07010_056","B07010_057","B07010_058","B07010_059","B07010_060","B07010_061","B07010_062","B07010_063","B07010_064","B07010_065","B07010_066"
"Newberry County School District, South Carolina","4503030",30935,4556,26379,4938,3337,5617,3977,3766,2119,767,1858,28103,3958,24145,4481,3050,4986,3713,3427,1991,723,1774,1501,266,1235,239,155,369,173,210,70,11,8,857,177,680,117,114,198,55,121,20,15,40,384,128,256,78,12,51,25,8,38,18,26,90,27,63,23,6,13,11,0,0,0,10
"Oconee County School District, South Carolina","4503060",63217,7334,55883,11424,7962,10363,7793,6903,4196,1824,5418,54700,6210,48490,8895,6911,9169,6730,6406,3709,1691,4979,4362,626,3736,1040,640,805,583,243,200,103,122,2197,296,1901,949,225,206,228,59,146,10,78,1856,186,1670,513,186,170,234,195,113,20,239,102,16,86,27,0,13,18,0,28,0,0
"Marlboro County School District, South Carolina","4502970",23020,5383,17637,4470,2802,3652,2632,2201,912,384,584,20506,4672,15834,3907,2554,3317,2297,2013,873,342,531,1211,177,1034,266,212,168,282,74,0,0,32,722,288,434,177,12,72,20,89,31,33,0,531,220,311,102,24,95,33,19,8,9,21,50,26,24,18,0,0,0,6,0,0,0
"McCormick County School District, South Carolina","4503000",8723,1955,6768,1285,1184,1405,846,782,558,250,458,7726,1621,6105,987,1123,1291,777,725,540,240,422,242,21,221,56,46,59,18,39,3,0,0,527,270,257,159,1,31,45,5,0,0,16,206,39,167,83,14,6,6,13,15,10,20,22,4,18,0,0,18,0,0,0,0,0
"Orangeburg School District 3, South Carolina","4503150",16609,3040,13569,3874,2215,2497,1565,1723,754,274,667,15361,2758,12603,3545,1976,2284,1534,1643,707,264,650,825,228,597,250,138,110,31,54,14,0,0,276,47,229,47,58,38,0,26,33,10,17,137,4,133,32,43,58,0,0,0,0,0,10,3,7,0,0,7,0,0,0,0,0
"Orangeburg School District 4, South Carolina","4503180",15395,2779,12616,2870,1561,2379,1843,1934,1058,290,681,14605,2608,11997,2575,1536,2285,1742,1856,1057,289,657,670,141,529,261,24,76,66,78,0,0,24,74,5,69,34,1,1,31,0,1,1,0,46,25,21,0,0,17,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Orangeburg School District 5, South Carolina","4503210",40574,6962,33612,8801,4740,6432,4260,4034,2313,900,2132,36618,5958,30660,7602,4351,5919,4013,3840,2037,856,2042,1980,339,1641,725,140,313,192,97,118,31,25,1391,412,979,368,170,145,55,67,125,0,49,456,163,293,93,56,55,0,27,33,13,16,129,90,39,13,23,0,0,3,0,0,0
"Pickens County School District, South Carolina","4503330",102007,13067,88940,22782,10196,16532,11737,11166,6501,2329,7697,81315,10285,71030,14073,8498,13513,10176,9742,5892,2113,7023,9057,980,8077,3258,946,1767,962,618,335,92,99,7356,1134,6222,3494,430,992,372,446,170,40,278,3795,578,3217,1875,209,252,203,231,79,84,284,484,90,394,82,113,8,24,129,25,0,13
"Richland School District 1, South Carolina","4503360",170590,20280,150310,36940,17990,26629,20513,19497,11465,4234,13042,126247,14553,111694,24347,12156,18897,15342,15919,9773,3652,11608,21690,2264,19426,6084,2784,3837,2915,2059,924,306,517,12866,2201,10665,3803,2068,1993,1206,651,442,155,347,8342,850,7492,2407,873,1787,905,650,315,121,434,1445,412,1033,299,109,115,145,218,11,0,136
"Richland School District 2, South Carolina","4503390",108386,13367,95019,16994,7393,12392,12553,16315,10139,4695,14538,92586,11501,81085,14307,5938,10547,10609,13704,8573,4226,13181,9061,939,8122,1735,739,1284,1138,1364,998,254,610,2898,368,2530,349,332,245,248,734,166,70,386,3227,437,2790,497,376,289,395,480,381,113,259,614,122,492,106,8,27,163,33,21,32,102
