"","GEOID","B07011_001","B07011_002","B07011_003","B07011_004","B07011_005","B07011_006"
"Newberry County School District, South Carolina","4503030",23654,24002,21623,22682,21863,17981
"Oconee County School District, South Carolina","4503060",22361,23787,16673,10025,21494,30417
"Orangeburg School District 5, South Carolina","4503210",20185,20653,13517,13834,14769,13207
"Richland School District 1, South Carolina","4503360",22076,25234,16605,13442,17005,24188
"Richland School District 2, South Carolina","4503390",33369,34115,27569,37230,30824,31610
"Spartanburg School District 2, South Carolina","4503510",25798,26368,22524,18000,32172,7213
"Spartanburg School District 5, South Carolina","4503600",29376,29854,26652,31152,25556,26204
"Spartanburg School District 7, South Carolina","4503660",22062,23081,16617,12399,24032,13500
"Williamsburg County School District, South Carolina","4503780",17561,17820,13264,35410,12935,16525
"Marion School District 10, South Carolina","4503908",18452,19501,13807,11974,16225,10959
"Sumter County Consolidated School District, South Carolina","4503902",22622,23143,21151,18114,21451,40503
"Aiken County School District, South Carolina","4500720",25660,26255,19904,19716,26181,13368
"Anderson School District 1, South Carolina","4500780",28142,28848,23271,26472,16910,25221
"Anderson School District 2, South Carolina","4500810",21732,21673,22500,20357,22803,26250
"Anderson School District 5, South Carolina","4500900",23692,24072,23158,11592,21331,34821
"Beaufort County School District, South Carolina","4501110",29689,30457,26657,20000,26465,32456
"Berkeley County School District, South Carolina","4501170",28728,29782,24441,29302,23119,26189
"Charleston County School District, South Carolina","4501440",30777,31400,26828,23564,30653,22296
"Chester County School District, South Carolina","4501530",20918,21440,11083,13393,40433,22875
"Darlington County School District, South Carolina","4501860",20682,21340,13135,17393,20864,73333
"Dorchester School District 2, South Carolina","4502010",31227,31867,25957,27179,31834,30609
"Georgetown County School District, South Carolina","4502280",23168,23267,20522,19536,34656,21923
"Greenville County School District, South Carolina","4502310",27191,27627,26422,21563,25187,14864
"Kershaw County School District, South Carolina","4502550",26560,26634,26088,30833,24495,36287
"Lancaster County School District, South Carolina","4502580",26167,26412,19087,21158,40931,2499
"Lexington School District 1, South Carolina","4502700",32812,34280,28590,24042,30533,17128
"Lexington School District 2, South Carolina","4502730",25587,26718,21213,19911,21518,13469
"Lexington School District 3, South Carolina","4502760",23318,23854,18945,22984,18958,13646
"Lexington School District 5, South Carolina","4502820",35424,36141,27300,33228,32048,23043
