"","GEOID","B07204_001","B07204_002","B07204_003","B07204_004","B07204_005","B07204_006","B07204_007","B07204_008","B07204_009","B07204_010","B07204_011","B07204_012","B07204_013","B07204_014","B07204_015","B07204_016","B07204_017","B07204_018","B07204_019"
"Newberry County School District, South Carolina","4503030",37468,33793,3585,580,580,0,3005,1605,1400,988,412,68,11,333,0,90,2,0,88
"Oconee County School District, South Carolina","4503060",75190,64936,10141,688,688,0,9453,4575,4878,2834,2044,335,229,1308,172,113,0,0,113
"Marlboro County School District, South Carolina","4502970",27199,24234,2903,425,425,0,2478,1122,1356,777,579,43,19,493,24,62,19,0,43
"McCormick County School District, South Carolina","4503000",9654,8466,1166,51,51,0,1115,236,879,648,231,58,30,142,1,22,4,0,18
"Orangeburg School District 3, South Carolina","4503150",19611,17794,1807,104,104,0,1703,1160,543,403,140,11,0,70,59,10,0,0,10
"Orangeburg School District 4, South Carolina","4503180",19369,17935,1434,80,80,0,1354,1182,172,126,46,0,0,45,1,0,0,0,0
"Orangeburg School District 5, South Carolina","4503210",49319,44048,5031,981,981,0,4050,1798,2252,1597,655,44,51,527,33,240,103,0,137
"Pickens County School District, South Carolina","4503330",120142,96435,23191,2727,2705,22,20464,8007,12457,8094,4363,624,526,2937,276,516,0,24,492
"Richland School District 1, South Carolina","4503360",200779,149832,49255,11007,10984,23,38248,14841,23407,14299,9108,1930,750,5773,655,1692,3,16,1673
"Richland School District 2, South Carolina","4503390",135962,115912,19250,698,698,0,18552,10868,7684,3727,3957,575,685,1901,796,800,0,0,800
"Spartanburg School District 3, South Carolina","4503540",15422,13345,2056,108,108,0,1948,1162,786,274,512,258,138,116,0,21,0,0,21
"Saluda County School District, South Carolina","4503460",15397,14542,767,67,67,0,700,375,325,117,208,0,0,192,16,88,0,0,88
"Spartanburg School District 1, South Carolina","4503480",29674,26372,3279,101,101,0,3178,2091,1087,595,492,32,22,394,44,23,0,0,23
"Spartanburg School District 2, South Carolina","4503510",59082,51662,7098,411,411,0,6687,4003,2684,1455,1229,223,64,825,117,322,112,0,210
"Spartanburg School District 4, South Carolina","4503570",19867,16053,3777,407,407,0,3370,1606,1764,1241,523,69,52,391,11,37,0,0,37
"Spartanburg School District 5, South Carolina","4503600",45051,38726,6243,244,223,21,5999,3398,2601,1160,1441,300,189,848,104,82,0,0,82
"Spartanburg School District 6, South Carolina","4503630",66076,54678,11229,1393,1393,0,9836,6578,3258,1713,1545,176,87,1120,162,169,15,0,154
"Spartanburg School District 7, South Carolina","4503660",50956,41500,9337,2191,2191,0,7146,3944,3202,1837,1365,194,145,806,220,119,2,0,117
"Union County School District, South Carolina","4503750",27472,24131,3312,1008,1008,0,2304,1355,949,892,57,12,3,19,23,29,0,0,29
"Williamsburg County School District, South Carolina","4503780",32046,29358,2496,149,149,0,2347,1291,1056,785,271,47,11,213,0,192,13,0,179
"York School District 1, South Carolina","4503810",32197,29339,2840,421,421,0,2419,1289,1130,235,895,194,166,529,6,18,0,0,18
"York School District 2, South Carolina","4503840",39641,33735,5761,635,635,0,5126,2130,2996,458,2538,208,465,1731,134,145,1,0,144
"York School District 3, South Carolina","4503870",115074,97195,17575,5441,5441,0,12134,5222,6912,4082,2830,559,248,1883,140,304,0,0,304
"York School District 4, South Carolina","4503900",61747,51330,10049,994,994,0,9055,3086,5969,1299,4670,744,241,2924,761,368,0,0,368
"Remainder of South Carolina, South Carolina","4599999",17248,3446,13535,187,187,0,13348,320,13028,520,12508,1916,2295,5550,2747,267,131,25,111
