"","GEOID","B06011_001","B06011_002","B06011_003","B06011_004","B06011_005"
"Census Tract 405, Horry County, South Carolina","45051040500",26142,20208,29046,38542,19779
"Census Tract 502, Horry County, South Carolina","45051050200",29732,18533,31919,16500,48500
"Census Tract 106.03, Dorchester County, South Carolina","45035010603",25048,30915,25519,45714,8797
"Census Tract 106.05, Dorchester County, South Carolina","45035010605",29873,28638,29271,29098,60275
"Census Tract 304.02, Oconee County, South Carolina","45073030402",24856,25980,29875,17273,19113
"Census Tract 9709.03, Kershaw County, South Carolina","45055970903",31123,25048,35864,35184,22560
"Census Tract 2.01, Sumter County, South Carolina","45085000201",28571,22142,32607,41875,30170
"Census Tract 3, Sumter County, South Carolina","45085000300",24554,23750,25508,26209,17847
"Census Tract 210.14, Lexington County, South Carolina","45063021014",50310,42409,54158,51471,53125
"Census Tract 202.02, Lexington County, South Carolina","45063020202",20508,21058,23214,26125,12194
"Census Tract 206.04, Lexington County, South Carolina","45063020604",32101,29489,36125,21786,43313
"Census Tract 205.06, Lexington County, South Carolina","45063020506",30177,32185,25278,32096,22868
"Census Tract 205.10, Lexington County, South Carolina","45063020510",29131,25565,33417,22045,39785
"Census Tract 25.03, Greenville County, South Carolina","45045002503",30259,29369,31471,35188,28125
"Census Tract 28.08, Greenville County, South Carolina","45045002808",35074,20750,37668,43333,57647
"Census Tract 17, Greenville County, South Carolina","45045001700",22229,24563,21907,2499,21424
"Census Tract 18.03, Greenville County, South Carolina","45045001803",23544,23953,24149,30455,17411
"Census Tract 11.01, Greenville County, South Carolina","45045001101",39320,29877,45493,41897,12054
"Census Tract 516.01, Horry County, South Carolina","45051051601",25542,25880,26521,34250,18015
"Census Tract 203, Horry County, South Carolina","45051020300",17057,21158,13021,11778,23583
"Census Tract 9707, Kershaw County, South Carolina","45055970700",27247,30047,29868,25341,16875
"Census Tract 102, Orangeburg County, South Carolina","45075010200",16360,16476,13882,38889,16458
"Census Tract 114, Orangeburg County, South Carolina","45075011400",19267,16914,25560,25529,11053
"Census Tract 211, Spartanburg County, South Carolina","45083021100",23592,21250,23785,46667,32377
"Census Tract 218.02, Spartanburg County, South Carolina","45083021802",12341,10865,12813,20353,19265
"Census Tract 7, Beaufort County, South Carolina","45013000700",30319,25101,32356,250001,31936
"Census Tract 3, Beaufort County, South Carolina","45013000300",27362,21458,29577,18879,38523
"Census Tract 29.04, Greenville County, South Carolina","45045002904",31488,30884,34864,35641,19146
"Census Tract 232.01, Spartanburg County, South Carolina","45083023201",25078,23305,28305,25455,20762
"Census Tract 224.04, Spartanburg County, South Carolina","45083022404",29733,30442,32589,30787,9827
"Census Tract 214.02, Spartanburg County, South Carolina","45083021402",30810,25500,33167,31311,57159
"Census Tract 220.05, Spartanburg County, South Carolina","45083022005",35260,34926,37813,13750,33214
"Census Tract 220.06, Spartanburg County, South Carolina","45083022006",23651,22807,26917,8688,22716
"Census Tract 17.03, Sumter County, South Carolina","45085001703",32964,25760,37750,52500,33281
"Census Tract 204.03, Berkeley County, South Carolina","45015020403",60704,51736,60965,69844,64808
"Census Tract 30.15, Greenville County, South Carolina","45045003015",42979,40446,46223,65313,24271
"Census Tract 37.07, Greenville County, South Carolina","45045003707",17323,20595,18056,16250,15871
"Census Tract 26.11, Greenville County, South Carolina","45045002611",30614,26495,35574,43548,28681
"Census Tract 18.09, Greenville County, South Carolina","45045001809",29591,25406,33722,27917,21814
"Census Tract 44, Greenville County, South Carolina","45045004400",25540,18088,31146,32292,27188
"Census Tract 12.03, Greenville County, South Carolina","45045001203",5199,4862,5190,8173,3884
"Census Tract 9202.01, Laurens County, South Carolina","45059920201",28356,29236,19578,40644,36696
"Census Tract 9204, Laurens County, South Carolina","45059920400",20876,20951,18944,31712,21048
"Census Tract 46.14, Charleston County, South Carolina","45019004614",52023,32694,59500,112790,56477
"Census Tract 46.12, Charleston County, South Carolina","45019004612",44392,43929,43500,48255,60074
"Census Tract 9705.02, Edgefield County, South Carolina","45037970502",32442,18900,34375,28611,57292
"Census Tract 9705.01, Edgefield County, South Carolina","45037970501",22944,23953,23375,24554,21543
"Census Tract 9702.02, Edgefield County, South Carolina","45037970202",18778,16742,22597,2499,23269
"Census Tract 602.07, Horry County, South Carolina","45051060207",28220,23276,31828,53050,16439
"Census Tract 25.04, Greenville County, South Carolina","45045002504",23010,22628,37692,6518,20489
"Census Tract 29.03, Greenville County, South Carolina","45045002903",27370,29186,26486,30966,22188
"Census Tract 8, Beaufort County, South Carolina","45013000800",30191,21898,31887,40408,16302
"Census Tract 103, Beaufort County, South Carolina","45013010300",38152,23523,40517,25441,46080
"Census Tract 212.03, Aiken County, South Carolina","45003021203",31921,21700,36301,55476,26139
"Census Tract 210.01, Aiken County, South Carolina","45003021001",22059,21004,25380,2499,22700
"Census Tract 119.01, Richland County, South Carolina","45079011901",26051,25871,26951,16367,26250
"Census Tract 114.07, Richland County, South Carolina","45079011407",45671,36667,52891,39375,70375
"Census Tract 21, Richland County, South Carolina","45079002100",26313,27301,25476,2499,19500
"Census Tract 207.02, Aiken County, South Carolina","45003020702",21396,22848,19682,47024,21141
"Census Tract 9503, Newberry County, South Carolina","45071950300",23238,23034,22557,36000,45913
"Census Tract 9704, Edgefield County, South Carolina","45037970400",22179,21250,21389,2499,27372
"Census Tract 113.05, Richland County, South Carolina","45079011305",20508,18594,20674,34167,23232
"Census Tract 28, Richland County, South Carolina","45079002800",12252,13326,11327,12875,18281
"Census Tract 23, Richland County, South Carolina","45079002300",54773,51932,62917,126875,50500
"Census Tract 101.02, Richland County, South Carolina","45079010102",35889,24788,44050,60625,27906
"Census Tract 103.07, Richland County, South Carolina","45079010307",40091,37064,42226,53068,26042
"Census Tract 104.07, Richland County, South Carolina","45079010407",23810,21879,28169,30714,18750
"Census Tract 113.01, Richland County, South Carolina","45079011301",40493,44279,41105,32391,22500
"Census Tract 113.04, Richland County, South Carolina","45079011304",26992,26617,27280,40226,21640
"Census Tract 4, Richland County, South Carolina","45079000400",24643,21912,30774,45313,24792
"Census Tract 602.03, Horry County, South Carolina","45051060203",25373,20658,26402,46250,18603
"Census Tract 516.04, Horry County, South Carolina","45051051604",31287,34716,31235,9688,39516
"Census Tract 515.01, Horry County, South Carolina","45051051501",21452,16609,25115,37212,17174
"Census Tract 28.15, Greenville County, South Carolina","45045002815",49569,32366,52473,83906,76806
"Census Tract 31.04, Greenville County, South Carolina","45045003104",23072,18893,24091,19750,28000
"Census Tract 33.04, Greenville County, South Carolina","45045003304",29508,26428,36270,39196,25294
"Census Tract 29.05, Greenville County, South Carolina","45045002905",39680,40545,39512,41364,36282
"Census Tract 28.16, Greenville County, South Carolina","45045002816",35545,32092,37500,110199,25368
