"","GEOID","B06011_001","B06011_002","B06011_003","B06011_004","B06011_005"
"State Senate District 4 (2016), South Carolina","45004",21673,21068,24062,25446,17406
"State Senate District 5 (2016), South Carolina","45005",25296,22656,28572,35268,23111
"State Senate District 6 (2016), South Carolina","45006",24861,23358,28855,24199,20805
"State Senate District 7 (2016), South Carolina","45007",21282,19066,26458,32289,19758
"State Senate District 8 (2016), South Carolina","45008",34331,31755,36702,33160,30623
"State Senate District 9 (2016), South Carolina","45009",23031,21458,26866,31644,23331
"State Senate District 11 (2016), South Carolina","45011",21588,19980,24919,27870,21952
"State Senate District 12 (2016), South Carolina","45012",31612,27879,36886,34340,28449
"State Senate District 13 (2016), South Carolina","45013",25141,23421,29118,25658,25859
"State Senate District 14 (2016), South Carolina","45014",24016,22234,27261,33266,24875
"State Senate District 15 (2016), South Carolina","45015",30839,26572,33816,31479,24935
"State Senate District 16 (2016), South Carolina","45016",30942,24174,36451,38234,30811
"State Senate District 17 (2016), South Carolina","45017",21969,19943,27228,48269,23229
"State Senate District 18 (2016), South Carolina","45018",32114,28433,40754,41863,26167
"State Senate District 19 (2016), South Carolina","45019",23941,21225,29880,31147,22048
"State Senate District 20 (2016), South Carolina","45020",29529,27819,31199,28511,27803
"State Senate District 21 (2016), South Carolina","45021",19106,20356,17270,12430,18632
"State Senate District 22 (2016), South Carolina","45022",34969,33012,38081,31463,27866
"State Senate District 23 (2016), South Carolina","45023",28239,26552,31123,39306,26018
"State Senate District 24 (2016), South Carolina","45024",28921,25843,30636,32708,26387
"State Senate District 25 (2016), South Carolina","45025",24554,22323,27268,30412,23050
"State Senate District 26 (2016), South Carolina","45026",23664,21919,27391,22647,22272
"State Senate District 28 (2016), South Carolina","45028",22788,20083,26012,19358,21980
"State Senate District 29 (2016), South Carolina","45029",19873,19278,21703,14692,23207
"State Senate District 30 (2016), South Carolina","45030",17647,17369,19304,12731,18171
"State Senate District 31 (2016), South Carolina","45031",26483,25189,30651,24453,24758
"State Senate District 33 (2016), South Carolina","45033",23391,19976,25347,26153,21136
"State Senate District 34 (2016), South Carolina","45034",26847,23453,28813,33087,22402
"State Senate District 35 (2016), South Carolina","45035",27786,25338,32733,30816,24361
"State Senate District 36 (2016), South Carolina","45036",20208,18638,25769,29450,18706
"State Senate District 37 (2016), South Carolina","45037",32121,28167,37157,30542,31260
"State Senate District 38 (2016), South Carolina","45038",31327,28306,34128,30372,27243
"State Senate District 39 (2016), South Carolina","45039",19881,18774,22646,37794,20417
"State Senate District 40 (2016), South Carolina","45040",21977,21620,22752,27614,25831
"State Senate District 41 (2016), South Carolina","45041",36120,31268,40396,38532,35500
"State Senate District 42 (2016), South Carolina","45042",21270,19611,25797,19128,20389
"State Senate District 43 (2016), South Carolina","45043",32852,28663,36616,39583,31213
"State Senate District 44 (2016), South Carolina","45044",29751,26181,32226,31067,26925
"State Senate District 45 (2016), South Carolina","45045",21653,19997,24729,23036,23640
"State Senate District 46 (2016), South Carolina","45046",32160,23227,36136,32734,25576
"State Senate District 1 (2016), South Carolina","45001",19963,18649,21516,15133,22715
"State Senate District 2 (2016), South Carolina","45002",23715,22976,25750,26140,19982
"State Senate District 3 (2016), South Carolina","45003",28148,27096,30151,24101,25414
